City,Year,Index
Aachen,2002,0.2034688796680498
Aachen,2003,0.2417722772277227
Aachen,2004,0.213863070539419
Aachen,2005,0.3467227722772277
Aachen,2006,0.1701016597510373
Aachen,2007,0.2619504950495049
Aachen,2008,0.1744488448844884
Aachen,2009,0.2125684647302904
Aachen,2010,0.2795560165975104
Aachen,2011,0.2123402489626556
Aachen,2012,0.2508298755186722
Aachen,2013,0.1876887966804979
Aachen,2014,0.2442871287128712
Aachen,2015,0.1865145228215767
Aachen,2016,0.2036172199170124
Aachen,2017,0.2478672199170124
Aachen,2018,0.1850041493775933
Aachen,2019,0.1796930693069307
Aachen,2020,0.2579861386138614
Aachen,2021,0.2184315352697095
Aachen,2022,0.2847051705170517
Aachen,2023,0.2228811881188119
Aachen,2024,0.202228855721393
Aachen,2025,0.2038132780082987
Aalen,1998,0.1852240663900415
Aalen,1999,0.2213069306930693
Aalen,2000,0.2041244813278008
Aalen,2001,0.2806514522821576
Aalen,2002,0.163521438450899
Aalen,2003,0.3087425742574257
Aalen,2004,0.1913443983402489
Aalen,2005,0.2587759336099585
Aalen,2006,0.231655601659751
Aalen,2007,0.2340622406639004
Aalen,2008,0.3024854771784232
Aalen,2009,0.2172240663900415
Aalen,2010,0.211448132780083
Aalen,2011,0.254519801980198
Aalen,2012,0.2021534653465346
Aalen,2013,0.2312448132780082
Aalen,2014,0.4582574257425742
Aalen,2015,0.1960041493775933
Aalen,2016,0.1850891089108911
Aalen,2017,0.269253112033195
Aalen,2018,0.1992821576763485
Aalen,2019,0.3276732673267327
Aalen,2020,0.2318755186721991
Aalen,2021,0.2111078838174274
Aalen,2022,0.2119801980198019
Aalen,2023,0.310746887966805
Aalen,2024,0.204269801980198
Aalen,2025,0.2661254125412541
Altenberg,2002,0.2015394190871369
Altenburg,1999,0.2481742738589211
Altenburg,2000,0.2179253112033195
Altenburg,2001,0.2540792079207921
Altenburg,2002,0.2332623762376237
Altenburg,2003,0.1963069306930693
Altenburg,2004,0.2262301980198019
Altenburg,2005,0.1919294605809128
Altenburg,2006,0.2682722772277228
Altenburg,2007,0.2379336099585062
Altenburg,2008,0.1786473029045643
Altenburg,2009,0.2349751037344398
Altenburg,2010,0.2170331950207469
Altenburg,2011,0.2383775933609958
Altenburg,2012,0.3001089108910891
Altenburg,2013,0.2985544554455445
Altenburg,2014,0.2635841584158416
Altenburg,2015,0.2736952736318408
Altenburg,2016,0.2135544554455445
Altenburg,2017,0.3520414937759336
Altenburg,2018,0.2186386138613861
Altenburg,2019,0.2667524752475247
Altenburg,2020,0.2595269709543568
Altenburg,2021,0.245480198019802
Altenburg,2022,0.2681188118811881
Altenburg,2023,0.2773663366336633
Altenburg,2024,0.1918257261410788
Altenburg,2025,0.3126804979253111
Andechs,2003,0.2900290456431535
Andechs,2004,0.2359356846473029
Andechs,2005,0.2588713692946058
Andechs,2006,0.1603880597014925
Andechs,2007,0.2336386138613861
Andechs,2008,0.2059427860696517
Andechs,2009,0.3143811881188119
Andechs,2010,0.2434771784232365
Andechs,2011,0.3909108910891089
Andechs,2012,0.2308672102504367
Andechs,2013,0.2714398340248963
Andechs,2014,0.2009801980198019
Andechs,2015,0.2010871369294606
Andechs,2016,0.3336930693069307
Andechs,2017,0.2051244813278008
Andechs,2018,0.2387425742574257
Andechs,2019,0.2449801980198019
Andechs,2020,0.2845020746887967
Andechs,2021,0.2548879668049792
Andechs,2022,0.3831650165016501
Andechs,2023,0.2867227722772277
Andechs,2024,0.2259668049792531
Andechs,2025,0.2091659751037344
Annaberg-Buchholz,2012,0.2594766619519094
Annaberg-Buchholz,2013,0.1987966804979253
Annaberg-Buchholz,2014,0.2456680497925311
Annaberg-Buchholz,2016,0.2711203319502074
Annaberg-Buchholz,2017,0.2870742574257426
Annaberg-Buchholz,2018,0.3502079207920792
Annaberg-Buchholz,2019,0.220850622406639
Annaberg-Buchholz,2020,0.2650124481327801
Annaberg-Buchholz,2021,0.1901485148514851
Annaberg-Buchholz,2022,0.3133858921161825
Annaberg-Buchholz,2023,0.2057717842323651
Annaberg-Buchholz,2024,0.2362572614107884
Annaberg-Buchholz,2025,0.2227326732673267
Ansbach,2000,0.3094455445544554
Ansbach,2001,0.197402489626556
Ansbach,2002,0.2397551867219917
Ansbach,2003,0.239228855721393
Ansbach,2004,0.2628069306930693
Ansbach,2005,0.1995228215767635
Ansbach,2006,0.2517029702970297
Ansbach,2007,0.2255850622406639
Ansbach,2008,0.2865394190871369
Ansbach,2009,0.2641435643564356
Ansbach,2010,0.4194158415841584
Ansbach,2011,0.2153319502074689
Ansbach,2012,0.2184273858921162
Arnstadt,2000,0.3208257261410788
Arnstadt,2001,0.2766584158415841
Arnstadt,2002,0.235976897689769
Arnstadt,2003,0.2561485148514851
Arnstadt,2004,0.2667623762376238
Arzberg,2000,0.2426419141914191
Arzberg,2001,0.2188008298755187
Arzberg,2002,0.2534771784232365
Arzberg,2003,0.3078962655601659
Arzberg,2004,0.24975
Arzberg,2005,0.3173996683250414
Arzberg,2006,0.2868340248962655
Arzberg,2007,0.1957136929460581
Arzberg,2008,0.3448267326732673
Arzberg,2009,0.2191327800829875
Arzberg,2010,0.1983029045643153
Arzberg,2011,0.1807261410788381
Arzberg,2012,0.2106473029045643
Aschaffenburg,2000,0.2405544554455445
Aschaffenburg,2001,0.197059405940594
Aschaffenburg,2002,0.2077344398340249
Aschaffenburg,2003,0.2467128712871287
Aschaffenburg,2004,0.228029702970297
Aschaffenburg,2005,0.2391336633663366
Aschaffenburg,2006,0.2483267326732673
Aschaffenburg,2007,0.2739504950495049
Aschaffenburg,2008,0.1955643153526971
Aschaffenburg,2009,0.2254678217821782
Aschaffenburg,2010,0.2690207468879668
Aschaffenburg,2011,0.3157747524752475
Aschaffenburg,2012,0.2100041493775933
Aue,2000,0.2241386138613861
Aue,2001,0.2069958506224066
Aue,2002,0.2238217821782178
Aue,2003,0.2177053941908713
Aue,2004,0.2563960396039604
Aue,2005,0.1813526970954357
Aue,2006,0.2660373443983402
Aue,2007,0.2015544554455445
Aue,2008,0.2085049504950495
Aue,2009,0.1799709543568464
Aue,2010,0.2744477611940298
Aue,2011,0.2325975103734439
Aue,2012,0.312990099009901
Aue,2013,0.3474149414941494
Aue,2014,0.2367510373443983
Aue,2015,0.2580891089108911
Aue,2016,0.2319585062240663
Aue,2017,0.1903983402489626
Aue,2018,0.1843960396039604
Aue,2019,0.2250995850622406
Aue,2020,0.2728118811881188
Aue,2021,0.280460580912863
Aue,2022,0.197019801980198
Aue,2023,0.2647842323651452
Aue,2024,0.2409170124481327
Aue,2025,0.3549211618257261
Augsburg,2000,0.1938415841584158
Augsburg,2001,0.295569306930693
Augsburg,2002,0.2099585062240664
Augsburg,2003,0.2496348547717842
Augsburg,2004,0.2019128630705394
Augsburg,2005,0.2610693069306931
Augsburg,2006,0.2238415841584158
Augsburg,2007,0.2115841584158416
Augsburg,2008,0.2163287128712871
Augsburg,2009,0.1879668049792531
Augsburg,2010,0.1920539419087136
Augsburg,2011,0.2159702970297029
Augsburg,2012,0.3545841584158416
Augsburg,2013,0.1815684647302904
Augsburg,2014,0.1858257261410788
Augsburg,2015,0.2112821782178218
Augsburg,2016,0.3113514851485148
Augsburg,2017,0.2243817427385892
Augsburg,2018,0.2458143564356435
Augsburg,2019,0.2440622406639004
Augsburg,2020,0.3241203319502074
Augsburg,2021,0.2768547717842323
Augsburg,2022,0.1984504950495049
Augsburg,2023,0.2322033195020746
Augsburg,2024,0.2755742574257425
Augsburg,2025,0.2408633663366336
Bad Arolsen,2000,0.3543960396039604
Bad Arolsen,2001,0.2892376237623763
Bad Arolsen,2002,0.2271452282157676
Bad Arolsen,2003,0.2768415841584158
Bad Arolsen,2004,0.2266141078838174
Bad Arolsen,2005,0.2408712871287128
Bad Arolsen,2006,0.2376485148514851
Bad Arolsen,2007,0.2246336633663366
Bad Arolsen,2008,0.3411336633663366
Bad Arolsen,2009,0.1904356846473029
Bad Arolsen,2010,0.389402489626556
Bad Arolsen,2011,0.2103485477178423
Bad Arolsen,2012,0.231079207920792
Bad Arolsen,2013,0.2565544554455445
Bad Arolsen,2014,0.2348713692946058
Bad Arolsen,2015,0.201414937759336
Bad Arolsen,2016,0.2206141078838174
Bad Arolsen,2017,0.2243267326732673
Bad Arolsen,2018,0.1948613861386138
Bad Arolsen,2019,0.2064854771784232
Bad Arolsen,2020,0.2858811881188119
Bad Arolsen,2021,0.2215020746887966
Bad Arolsen,2022,0.1913319502074688
Bad Arolsen,2023,0.2018174273858921
Bad Belzig,2004,0.2927883817427386
Bad Belzig,2005,0.3668174273858921
Bad Belzig,2006,0.4785940594059406
Bad Belzig,2007,0.2274439834024896
Bad Belzig,2008,0.2316431535269709
Bad Belzig,2009,0.2091327800829875
Bad Belzig,2010,0.3513319502074689
Bad Belzig,2011,0.2378962655601659
Bad Belzig,2012,0.216009900990099
Bad Belzig,2013,0.1731410788381742
Bad Belzig,2014,0.3008415841584158
Bad Belzig,2015,0.2007136929460581
Bad Belzig,2016,0.221908713692946
Bad Belzig,2017,0.1990041493775933
Bad Belzig,2018,0.2725186721991701
Bad Belzig,2019,0.1716514522821577
Bad Belzig,2020,0.0759009900990099
Bad Belzig,2021,0.255049504950495
Bad Belzig,2022,0.2525222772277228
Bad Belzig,2023,0.1973118811881188
Bad Belzig,2024,0.1771867219917012
Bad Belzig,2025,0.1934149377593361
Bad Berka,2001,0.2175394190871369
Bad Hindelang,2010,0.197448132780083
Bad Hindelang,2011,0.2753817427385892
Bad Hindelang,2012,0.1719306930693069
Bad Hindelang,2013,0.2286431535269709
Bad Hindelang,2014,0.1917821782178217
Bad Hindelang,2015,0.2895809128630705
Bad Hindelang,2016,0.433628712871287
Bad Hindelang,2017,0.2171749174917492
Bad Hindelang,2018,0.2227842323651452
Bad Hindelang,2019,0.1988755186721992
Bad Hindelang,2020,0.2580970149253731
Bad Hindelang,2021,0.2050829875518672
Bad Hindelang,2022,0.1596435643564356
Bad Hindelang,2023,0.1878448844884488
Bad Hindelang,2024,0.3261442715700142
Bad Hindelang,2025,0.1644554455445544
Bad Kreuznach(Verbandsfreie Geme,2000,0.227039603960396
Bad Kreuznach(Verbandsfreie Geme,2001,0.1943440594059406
Bad Kreuznach(Verbandsfreie Geme,2002,0.2126307053941908
Bad Kreuznach(Verbandsfreie Geme,2003,0.2595683168316832
Bad Kreuznach(Verbandsfreie Geme,2004,0.2688008298755187
Bad Kreuznach(Verbandsfreie Geme,2005,0.2592376237623762
Bad Kreuznach(Verbandsfreie Geme,2006,0.2591452282157676
Bad Kreuznach(Verbandsfreie Geme,2007,0.2116016597510373
Bad Kreuznach(Verbandsfreie Geme,2008,0.2194149377593361
Bad Kreuznach(Verbandsfreie Geme,2009,0.2874356846473029
Bad Kreuznach(Verbandsfreie Geme,2010,0.1710954356846473
Bad Kreuznach(Verbandsfreie Geme,2011,0.2670594059405941
Bad Kreuznach(Verbandsfreie Geme,2012,0.2247676348547717
Bad Kreuznach(Verbandsfreie Geme,2013,0.1969751037344398
Bad Kreuznach(Verbandsfreie Geme,2014,0.2202351485148514
Bad Kreuznach(Verbandsfreie Geme,2015,0.2201369294605809
Bad Kreuznach(Verbandsfreie Geme,2016,0.2444066390041493
Bad Kreuznach(Verbandsfreie Geme,2017,0.3243203677510608
Bad Kreuznach(Verbandsfreie Geme,2018,0.2073960396039603
Bad Kreuznach(Verbandsfreie Geme,2019,0.1920248962655601
Bad Kreuznach(Verbandsfreie Geme,2020,0.2917584158415841
Bad Kreuznach(Verbandsfreie Geme,2021,0.231996699669967
Bad Kreuznach(Verbandsfreie Geme,2022,0.1853564356435643
Bad Kreuznach(Verbandsfreie Geme,2023,0.2610705394190871
Bad Waldsee,2000,0.1910247524752475
Bad Waldsee,2001,0.1845186721991701
Bad Waldsee,2002,0.2354554455445544
Bad Waldsee,2003,0.323551867219917
Baden-Baden,1998,0.2687634854771784
Baden-Baden,1999,0.2206804979253112
Baden-Baden,2000,0.2463775933609958
Baden-Baden,2001,0.3023443983402489
Baden-Baden,2002,0.2286016597510373
Baden-Baden,2003,0.1896336633663366
Baden-Baden,2004,0.2889383092155369
Baden-Baden,2005,0.3267722772277227
Baden-Baden,2006,0.2281701244813277
Baden-Baden,2007,0.1972572614107884
Baden-Baden,2008,0.2608811881188119
Baden-Baden,2009,0.1362572614107884
Baden-Baden,2010,0.2355445544554455
Baden-Baden,2011,0.2516039603960396
Baden-Baden,2012,0.2321336633663366
Baden-Baden,2013,0.2731576763485477
Baden-Baden,2014,0.2011410788381742
Baden-Baden,2015,0.2208713692946058
Baden-Baden,2016,0.2420990099009901
Baden-Baden,2017,0.2515560165975103
Baden-Baden,2018,0.1806182572614108
Baden-Baden,2019,0.2513168316831683
Baden-Baden,2020,0.2192655601659751
Baden-Baden,2021,0.2050705394190871
Baden-Baden,2022,0.22550622406639
Baden-Baden,2023,0.1976058091286306
Baden-Baden,2024,0.1983316831683168
Baden-Baden,2025,0.2166016597510373
Balingen,1998,0.2111782178217821
Balingen,1999,0.2973278008298755
Balingen,2000,0.3398085808580857
Bassum,2001,0.2359983498349834
Bassum,2002,0.2091881188118811
Bassum,2003,0.2463465346534653
Bassum,2004,0.227045643153527
Bautzen,2002,0.2314771784232365
Bautzen,2003,0.2488547717842323
Bautzen,2004,0.2592178217821782
Bautzen,2005,0.1927524752475247
Bautzen,2006,0.2469333333333333
Bautzen,2007,0.2519253112033195
Bautzen,2008,0.2267676348547718
Bautzen,2009,0.2788796680497925
Bautzen,2010,0.2227425742574257
Bautzen,2011,0.1885684647302904
Bautzen,2012,0.2098590381426202
Bautzen,2013,0.2918132780082987
Bautzen,2014,0.2427623762376237
Bautzen,2015,0.195009900990099
Bautzen,2016,0.2644752475247525
Bautzen,2017,0.2723795379537954
Bautzen,2018,0.2747376237623762
Bautzen,2019,0.2289917012448132
Bautzen,2020,0.2322780082987552
Bautzen,2021,0.1916265560165975
Bautzen,2022,0.2624950495049505
Bautzen,2023,0.2951782178217821
Bautzen,2024,0.2365767326732673
Bautzen,2025,0.2287128712871287
Bebra,2000,0.2207676348547717
Bebra,2001,0.2503900414937759
Bebra,2002,0.2065352697095435
Bebra,2003,0.1873811881188118
Bebra,2004,0.1732323651452282
Bebra,2005,0.1952985074626866
Bebra,2006,0.1828132780082987
Bebra,2007,0.2640373443983402
Bebra,2008,0.1673143564356435
Bebra,2009,0.258009900990099
Bebra,2010,0.1738464730290456
Bebra,2011,0.2039751037344398
Bebra,2012,0.2595544554455445
Bebra,2013,0.192042904290429
Bebra,2014,0.2236831683168316
Bebra,2015,0.2551659751037344
Bebra,2016,0.2059585062240664
Bebra,2017,0.2078879668049792
Bebra,2018,0.4371089108910891
Bebra,2019,0.1966178217821781
Bebra,2020,0.2321485148514851
Bebra,2021,0.2296237623762376
Bebra,2022,0.2289702970297029
Bebra,2023,0.2487757716948165
Bebra,2024,0.1843236514522821
Bebra,2025,0.2174719471947195
Bergen auf Rügen,2015,0.2791980198019802
Bergen auf Rügen,2016,0.2102904564315352
Bergen auf Rügen,2017,0.1744950495049504
Bergen auf Rügen,2018,0.2256431535269709
Bergen auf Rügen,2019,0.2412033195020747
Bergen auf Rügen,2020,0.2692871287128713
Bergen auf Rügen,2021,0.1712863070539419
