City,Year,Index
Aachen,2008,0.249235294117647
Aachen,2009,0.3282572614107883
Aachen,2010,0.2496470588235294
Aachen,2011,0.368078431372549
Aachen,2012,0.2842352941176471
Aachen,2013,0.2652323651452282
Aachen,2014,0.2998547717842323
Aachen,2015,0.2753070539419087
Aachen,2016,0.4115686274509804
Aachen,2017,0.2276970954356846
Aachen,2018,0.2171960784313725
Aachen,2019,0.2178298755186722
Aachen,2020,0.210804979253112
Aachen,2021,0.3387178423236514
Aachen,2022,0.2075881742738589
Aachen,2023,0.2284730290456431
Aachen,2024,0.3339803921568627
Aachen,2025,0.309078431372549
Aalen,2021,0.2773267973856209
Aalen,2022,0.1982282157676348
Aalen,2023,0.2218174273858921
Aalen,2024,0.2590980392156863
Aalen,2025,0.3273725490196079
Altenburg,2019,0.2712941176470588
Altenburg,2020,0.2039917012448132
Altenburg,2021,0.2135294117647058
Altenburg,2022,0.3509215686274509
Altenburg,2023,0.2281372549019608
Altenburg,2024,0.2741029411764705
Altenburg,2025,0.2932178423236514
Andechs,2012,0.2543725490196079
Andechs,2013,0.2600980392156863
Andechs,2014,0.2905020746887967
Andechs,2015,0.2394705882352941
Andechs,2016,0.3754248366013071
Andechs,2017,0.2596307053941908
Andechs,2018,0.2108381742738589
Andechs,2019,0.2125392156862745
Andechs,2020,0.2850414937759336
Andechs,2021,0.3219336099585062
Andechs,2022,0.2682549019607843
Andechs,2023,0.2852549019607843
Andechs,2024,0.2692352941176471
Andechs,2025,0.3358039215686275
Annaberg-Buchholz,2012,0.2151659751037344
Annaberg-Buchholz,2013,0.2704509803921568
Annaberg-Buchholz,2014,0.2164607843137255
Annaberg-Buchholz,2021,0.2237759336099585
Annaberg-Buchholz,2022,0.2239803921568627
Annaberg-Buchholz,2023,0.2385643153526971
Annaberg-Buchholz,2024,0.2190746887966805
Annaberg-Buchholz,2025,0.4500792079207921
Arzberg,2012,0.1755294117647058
Aschaffenburg,2011,0.2230207468879668
Aschaffenburg,2012,0.3576666666666666
Aue,2003,0.220850622406639
Aue,2004,0.2703465346534653
Aue,2005,0.3207058823529412
Aue,2006,0.2774937759336099
Aue,2007,0.2758823529411764
Aue,2008,0.2506862745098039
Aue,2009,0.2648921161825726
Aue,2010,0.232759336099585
Aue,2011,0.329921568627451
Aue,2012,0.3150980392156863
Aue,2013,0.2177053941908713
Aue,2014,0.2120165975103734
Aue,2015,0.2744117647058823
Aue,2016,0.3023725490196078
Aue,2017,0.2476307053941908
Aue,2018,0.2306265560165975
Aue,2019,0.3611618257261411
Aue,2020,0.2483734439834024
Aue,2021,0.2449917012448133
Aue,2022,0.232609958506224
Aue,2023,0.2120788381742738
Aue,2024,0.1901452282157676
Aue,2025,0.244713692946058
Augsburg,2008,0.2347254901960784
Augsburg,2009,0.2219004149377593
Augsburg,2010,0.2243817427385892
Augsburg,2011,0.2172614107883817
Augsburg,2012,0.2408215767634854
Augsburg,2013,0.2383775933609958
Augsburg,2014,0.2518506224066389
Augsburg,2015,0.1951369294605809
Augsburg,2016,0.5032745098039216
Augsburg,2017,0.2436666666666666
Augsburg,2018,0.211308713692946
Augsburg,2019,0.2631490196078432
Augsburg,2020,0.2404273858921161
Augsburg,2021,0.2338627450980392
Augsburg,2022,0.1932581699346405
Augsburg,2023,0.2208235294117647
Augsburg,2024,0.2335098039215686
Augsburg,2025,0.2263333333333333
