Borken,2020,3
Eisenach,2022,2
Walsrode,2024,3
Wittenberg,2005,3
Raunheim,2018,1
Burg,2022,3
Mannheim,2009,2
Fürth,2010,2
Aschaffenburg,2003,1
Neubrandenburg,2012,3
Nürnberg,2023,2
Wesel,2012,2
Bremerhaven,2024,3
Leipzig,2017,2
Frankfurt am Main,2002,3
Lieberose/Oberspreewald,2005,3
Jork,2007,2
Bautzen,2018,3
Rinteln,2007,3
Ludwigshafen am Rhein,2010,3
Mainz,2024,4
Krefeld,2006,3
Freudenstadt,2000,3
Osternienburger Land,2021,3
Greiz,2016,2
Bokhorst-Wankendorf,2003,1
Bremen,2007,2
Ansbach,2008,2
Dallgow-Döberitz,2022,1
Bad Belzig,2011,1
Göttingen,2020,1
Osnabrück,2007,2
Hamburg,2010,1
Freudenstadt,2001,1
Kehl,2020,2
Brandenburg an der Havel,2008,2
Rodalben,2006,2
Klingenthal,2006,2
Bernau bei Berlin,2010,2
Aschaffenburg,2010,2
Bitterfeld-Wolfen,2017,2
Zella-Mehlis,2003,2
Düsseldorf,2013,2
Oberes Geratal,2021,2
Hügelland/Täler,2013,2
Biberach an der Riß,2013,2
Braunlage,2023,2
Solingen,2005,2
Neuhausen/Erzgeb.,2020,2
Regensburg,2011,2
Trier,2013,2
Nettetal,2023,2
Norderney,2003,1
Greiz,1998,1
Nordhausen,2015,1
Bokhorst-Wankendorf,2010,1
Jork,2004,2
Friedrichshafen,2000,1
Ansbach,2009,1
Bebra,2015,1
Rinteln,2004,1
Kassel,2005,1
Cottbus,2021,1
Neuenburg am Rhein,2025,1
Berlin,2021,1
Borken,2016,1
Brandenburg an der Havel,2009,2
Solling (Landkreis Northeim),2018,2
Dillingen/Saar,2024,2
Bad Arolsen,2013,2
Osnabrück,2004,1
Zella-Mehlis,2010,1
Pirmasens,2008,1
Bebra,2019,2
Horn-Bad Meinberg,2005,2
Duisburg,2015,1
Borken,2014,2
Braunschweig,2007,1
Herdorf-Daaden,2012,2
Netzschkau-Limbach,2021,2
Norderney,2010,1
Potsdam,2007,1
Limburg a.d. Lahn,2015,1
Halberstadt,2016,1
Düsseldorf,2007,1
Jork,2002,1
Hanau,2015,1
Garmisch-Partenkirchen,2022,1
Rinteln,2002,1
Bad Kreuznach(Verbandsfreie Geme,2023,1
Hermeskeil,2002,1
Wörth am Rhein,2011,1
Leuna,2001,1
Duisburg,2019,1
Neuhaus am Rennweg,2025,1
Freiburg im Breisgau,2015,1
Kaiserslautern,2020,1
Wolfsburg,2018,1
Schwedt/Oder,2019,1
Itzehoe,2023,1
Göttingen,2016,1
Stendal,2012,1
Kehl,2016,1
Osnabrück,2002,1
Weil am Rhein,2007,2
Pfullendorf,2009,1
Essen,2011,1
Diehsa,2017,1
Freiburg im Breisgau,2019,1
Göttingen,2014,1
Gera,2017,1
Neuhausen/Erzgeb.,2016,1
Mönchengladbach,2011,1
Neuenburg am Rhein,2013,1
Mülheim an der Ruhr,2020,1
Potsdam,2004,2
Halle (Saale),2024,2
Ulm,2008,2
Düsseldorf,2004,3
Darmstadt,2015,3
Hügelland/Täler,2004,2
Biberach an der Riß,2004,3
Göttingen,1998,3
Münster,2007,3
Spremberg,2021,3
Brunsbüttel,2015,3
Altenburg,2021,3
Göppingen,1998,3
Kehl,1998,2
Neuhausen/Erzgeb.,2014,2
Rottweil,2003,1
Eisenhüttenstadt,2020,1
Aachen,2021,2
Schleswig,2000,2
Bielefeld,2017,2
Hagen,2006,2
Bebra,2003,2
Darmstadt,2019,1
Röbel-Müritz,2024,2
Brunsbüttel,2019,2
Gransee und Gemeinden,2001,2
Fulda,2017,2
Neu-Ulm,2024,2
Waiblingen,2005,2
Schwerte,2007,2
Nordhausen,2022,2
Bad Arolsen,2004,1
Braunschweig,2002,3
Potsdam,2002,3
Neuhaus am Rennweg,2013,3
Ulm,2009,3
Düsseldorf,2002,3
Berlin,2024,3
Stralsund,2006,2
Hügelland/Täler,2002,3
Wittenberg,2020,2
Lüchow (Wendland),2011,2
Rostock,2012,2
Waldmohr,2006,2
Schwedt/Oder,2003,2
Saarbrücken,2011,1
Leipzig,2001,1
Kaiserslautern,2016,1
Hürth,2008,1
Birkenfeld,2018,1
Eggenstein-Leopoldshafen,2018,1
Calw,1999,1
Lieberose/Oberspreewald,2020,1
Bebra,2010,1
Duisburg,2022,1
Pforzheim,2006,1
Koblenz,2003,1
Erfurt,2012,1
Lünen,2005,1
Dresden,2021,1
Reutlingen,2025,1
München,2006,1
Ludwigsburg,2022,1
Bösel,2024,1
Wuppertal,2008,1
Limburg a.d. Lahn,2022,1
Bitterfeld-Wolfen,2000,1
Suhl,2000,1
Frankfurt am Main,2003,1
Hanau,2022,1
Bremen,2015,1
Mülheim an der Ruhr,2016,2
Freiburg im Breisgau,2022,2
Leuna,2012,2
Osnabrück,2015,2
Schwedt/Oder,2010,2
Wetzlar,2015,2
Bitterfeld-Wolfen,2001,2
Jork,2019,2
Neuhaus am Rennweg,2007,2
Hürth,2009,2
Suhl,2001,1
Wiesbaden,2023,2
Wittenberg,2022,1
Rinteln,2019,3
Gärtringen/Ehningen,2025,3
Rehlingen-Siersburg,2021,3
Witten,2005,3
Köln,2022,3
Solingen,2020,3
Kiel,2011,3
