Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,State,District,City,Yearly Difference,Yearly Mean Difference,Normalized Difference
DEUB022,SO2,1991,19.337,ug/m3,Background,rural,13.9906,53.0301,BB,Uckermark,Angermünde,,0.557659375,
DEUB022,SO2,1992,16.545,ug/m3,Background,rural,13.9906,53.0301,BB,Uckermark,Angermünde,-2.791999999999998,-4.076051470588236,0.6849766299926213
DEUB022,SO2,1993,14.551,ug/m3,Background,rural,13.9906,53.0301,BB,Uckermark,Angermünde,-1.9940000000000015,-0.5780514541387024,3.4495199099032883
DEUB022,SO2,1994,10.035,ug/m3,Background,rural,13.9906,53.0301,BB,Uckermark,Angermünde,-4.516,-3.604141818181818,1.2530028583276414
DEUB022,SO2,1995,9.995,ug/m3,Background,rural,13.9906,53.0301,BB,Uckermark,Angermünde,-0.040000000000000924,-3.681575313807531,0.01086491422570748
DEUB022,SO2,1996,11.332,ug/m3,Background,rural,13.9906,53.0301,BB,Uckermark,Angermünde,1.3370000000000015,0.18959964412811386,7.0517009994838435
DEUB022,SO2,1997,6.903,ug/m3,Background,rural,13.9906,53.0301,BB,Uckermark,Angermünde,-4.429000000000001,-2.4013371900826446,1.8443890421934341
DEUB022,SO2,1998,5.106,ug/m3,Background,rural,13.9906,53.0301,BB,Uckermark,Angermünde,-1.7969999999999997,-1.3280461285008238,1.3531156497015344
DEUB022,SO2,1999,8.017,ug/m3,Background,rural,13.9906,53.0301,BB,Uckermark,Angermünde,2.9109999999999996,-0.9107466063348416,-3.196278723139982
DEBE031,SO2,1990,40.905,ug/m3,Background,suburban,13.4042,52.377,BB,Teltow-Fläming,Blankenfelde-Mahlow,,-0.6867511111111111,
DEBE031,SO2,1991,35.251,ug/m3,Background,suburban,13.4042,52.377,BB,Teltow-Fläming,Blankenfelde-Mahlow,-5.6540000000000035,0.557659375,-10.13880561050373
DEBE031,SO2,1992,28.194,ug/m3,Background,suburban,13.4042,52.377,BB,Teltow-Fläming,Blankenfelde-Mahlow,-7.056999999999999,-4.076051470588236,1.7313324061095743
DEBB003,SO2,1992,43.278,ug/m3,Traffic,urban,12.5444,52.4121,BB,Brandenburg an der Havel,Brandenburg an der Havel,,-4.076051470588236,
DEBB003,SO2,1993,37.321,ug/m3,Traffic,urban,12.5444,52.4121,BB,Brandenburg an der Havel,Brandenburg an der Havel,-5.957000000000001,-0.5780514541387024,10.30531098460074
