Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City,Normalized Pollution Level
DEBB086,CO,2010,0.249,mg/m3,Background,suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.28649635036496346
DEBB086,CO,2011,0.254,mg/m3,Background,suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.22270742358078607
DEBB086,CO,2012,0.274,mg/m3,Background,suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.25586854460093905
DEBB086,CO,2013,0.26,mg/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.17455621301775154
DEBB086,CO,2014,0.287,mg/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.40353982300884955
DEBB086,CO,2015,0.239,mg/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.2657952069716775
DEBB086,CO,2016,0.239,mg/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.24096385542168666
DEBB086,CO,2017,0.255,mg/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.3510392609699769
DEBB086,CO,2018,0.262,mg/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.3479212253829322
DEBB086,CO,2019,0.224,mg/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.0008289856639544418
DEBB086,CO,2020,0.216,mg/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.33219178082191786
DEBB086,CO,2021,0.249,mg/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.40863787375415284
DEBB086,CO,2022,0.187,mg/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.2142857142857143
DEBB086,CO,2023,0.202,mg/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.22388059701492546
DEBB086,CO,2024,0.22,mg/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.21311475409836064
DEBB086,CO,2025,0.208,mg/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.18934081346423562
DEBB003,CO,1999,0.527,mg/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.17681401167639704
DEBB003,CO,2000,0.473,mg/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.22882427307206066
DEBB055,CO,2001,0.405,mg/m3,Background,suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.2374100719424461
DEBB003,CO,2001,0.508,mg/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.319744204636291
DEBB055,CO,2002,0.43,mg/m3,Background,suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.28154506437768245
DEBB055,CO,2003,0.4,mg/m3,Background,suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.2610229276895944
DEBB055,CO,2004,0.343,mg/m3,Background,suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.23686818632309223
DEBB055,CO,2005,0.408,mg/m3,Background,suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.3441704035874439
DEBB055,CO,2006,0.436,mg/m3,Background,suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.41132075471698115
DEBB055,CO,2007,0.385,mg/m3,Background,suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.33928571428571436
DEBB084,CO,2009,0.299,mg/m3,Industrial,suburban,BB,Oder-Spree,Brieskow-Finkenheerd,0.27251461988304093
DEBB084,CO,2010,0.325,mg/m3,Industrial,suburban,BB,Oder-Spree,Brieskow-Finkenheerd,0.4251824817518248
DEBB084,CO,2011,0.314,mg/m3,Industrial,suburban,BB,Oder-Spree,Brieskow-Finkenheerd,0.35371179039301315
