CityStation,Variable,ObsCount,DataStatus
Aachen_Background,Average,17,Sufficient
Aachen_Traffic,Average,17,Sufficient
Aalen_Background,Average,18,Sufficient
Altenburg_Background,Average,8,Insufficient
Altenburg_Traffic,Average,10,Sufficient
Ansbach_Traffic,Average,17,Sufficient
Arnstadt_Background,Average,2,Insufficient
Aschaffenburg_Background,Average,17,Sufficient
Aschersleben_Traffic,Average,18,Sufficient
Augsburg_Background,Average,17,Sufficient
Augsburg_Traffic,Average,17,Sufficient
Backnang_Traffic,Average,6,Insufficient
Bad Salzuflen_Traffic,Average,1,Insufficient
Bad Waldsee_Background,Average,1,Insufficient
Baden-Baden_Background,Average,18,Sufficient
Balingen_Traffic,Average,6,Insufficient
Bamberg_Background,Average,17,Sufficient
Bayreuth_Traffic,Average,17,Sufficient
Berlin_Background,Average,18,Sufficient
Berlin_Industrial,Average,10,Sufficient
Berlin_Traffic,Average,18,Sufficient
Bernau bei Berlin_Background,Average,8,Insufficient
Bernau bei Berlin_Traffic,Average,15,Sufficient
Bernburg (Saale)_Background,Average,8,Insufficient
Bernburg (Saale)_Traffic,Average,10,Sufficient
Biberach an der Riß_Background,Average,18,Sufficient
Bielefeld_Background,Average,17,Sufficient
Bielefeld_Traffic,Average,15,Sufficient
Bietigheim-Bissingen_Traffic,Average,10,Sufficient
Bitterfeld-Wolfen_Industrial,Average,14,Sufficient
Bochum_Traffic,Average,11,Sufficient
Bonn_Background,Average,17,Sufficient
Bonn_Traffic,Average,12,Sufficient
Borken_Background,Average,17,Sufficient
Bottrop_Industrial,Average,17,Sufficient
Bottrop_Traffic,Average,12,Sufficient
Brandenburg an der Havel_Background,Average,18,Sufficient
Brandenburg an der Havel_Traffic,Average,18,Sufficient
Braunschweig_Background,Average,18,Sufficient
Braunschweig_Traffic,Average,16,Sufficient
Bremen_Background,Average,18,Sufficient
Bremen_Industrial,Average,11,Sufficient
Bremen_Traffic,Average,18,Sufficient
Bremerhaven_Background,Average,18,Sufficient
Bremerhaven_Traffic,Average,14,Sufficient
Burg_Background,Average,18,Sufficient
Burgdorf_Traffic,Average,6,Insufficient
Böblingen_Background,Average,3,Insufficient
Calw_Background,Average,1,Insufficient
Castrop-Rauxel_Industrial,Average,2,Insufficient
Castrop-Rauxel_Traffic,Average,2,Insufficient
Celle_Traffic,Average,3,Insufficient
Coburg_Traffic,Average,10,Sufficient
Cottbus_Background,Average,18,Sufficient
Cottbus_Traffic,Average,18,Sufficient
Cuxhaven_Background,Average,18,Sufficient
Darmstadt_Background,Average,18,Sufficient
Darmstadt_Traffic,Average,18,Sufficient
Datteln_Background,Average,17,Sufficient
Dessau-Roßlau_Traffic,Average,13,Sufficient
Dinslaken_Traffic,Average,12,Sufficient
Dormagen_Background,Average,4,Insufficient
Dortmund_Background,Average,17,Sufficient
Dortmund_Traffic,Average,17,Sufficient
Duderstadt_Background,Average,18,Sufficient
Duisburg_Background,Average,4,Insufficient
Duisburg_Industrial,Average,17,Sufficient
Duisburg_Traffic,Average,17,Sufficient
Düren_Traffic,Average,11,Sufficient
Düsseldorf_Background,Average,17,Sufficient
Düsseldorf_Traffic,Average,17,Sufficient
Eberswalde_Traffic,Average,15,Sufficient
Eisenach_Background,Average,18,Sufficient
Eisenhüttenstadt_Industrial,Average,18,Sufficient
Elsdorf_Industrial,Average,7,Insufficient
Emden_Background,Average,18,Sufficient
Erfurt_Background,Average,18,Sufficient
Erfurt_Traffic,Average,18,Sufficient
Erlangen_Background,Average,17,Sufficient
Erlangen_Traffic,Average,8,Insufficient
Eschweiler_Industrial,Average,1,Insufficient
Eschweiler_Traffic,Average,11,Sufficient
Essen_Background,Average,17,Sufficient
Essen_Industrial,Average,1,Insufficient
Essen_Traffic,Average,17,Sufficient
Esslingen am Neckar_Background,Average,1,Insufficient
Esslingen am Neckar_Traffic,Average,6,Insufficient
Fellbach_Background,Average,1,Insufficient
Filderstadt_Background,Average,18,Sufficient
Flensburg_Traffic,Average,13,Sufficient
Frankenthal (Pfalz)_Traffic,Average,5,Insufficient
Frankfurt (Oder)_Background,Average,18,Sufficient
Frankfurt (Oder)_Traffic,Average,18,Sufficient
Frankfurt am Main_Background,Average,18,Sufficient
Frankfurt am Main_Traffic,Average,18,Sufficient
Freiburg im Breisgau_Background,Average,18,Sufficient
Freiburg im Breisgau_Traffic,Average,18,Sufficient
Freudenstadt_Background,Average,8,Insufficient
Friedrichshafen_Background,Average,8,Insufficient
Friedrichshafen_Traffic,Average,11,Sufficient
Fulda_Background,Average,16,Sufficient
Fulda_Traffic,Average,18,Sufficient
Fürth_Background,Average,17,Sufficient
Fürth_Traffic,Average,11,Sufficient
Garmisch-Partenkirchen_Background,Average,17,Sufficient
Geislingen an der Steige_Traffic,Average,3,Insufficient
Gelsenkirchen_Background,Average,17,Sufficient
Gelsenkirchen_Traffic,Average,11,Sufficient
