City,Min P-Value,Significant
Aachen,0.43803126150212107,No
Aschersleben,0.416805910834647,No
Augsburg,0.10307304662146745,No
Baden-Baden,0.50731602143955,No
Berlin,0.5475282205358172,No
Bernau bei Berlin,0.8726204318573358,No
Bernburg (Saale),0.17020309835722267,No
Bonn,0.3991440806255714,No
Bottrop,0.11741619563614086,No
Braunschweig,0.9262119454269069,No
Bremen,0.22608767709613,No
Bremerhaven,0.9306807363419222,No
Cuxhaven,0.30983645092543294,No
Dortmund,0.2612948900806532,No
Duisburg,0.7241874849882024,No
Eberswalde,0.0693505897833217,No
Essen,0.5860764870975659,No
Frankfurt (Oder),0.11107485977836973,No
Frankfurt am Main,0.09613219725312819,No
Gelsenkirchen,0.05861094834002641,No
Gera,0.7747588792790139,No
Goslar,0.47313891206286485,No
Greiz,0.28751126440798963,No
Hagen,0.9339432339098088,No
Halberstadt,0.7612802051069687,No
Hannover,0.44563965645794956,No
Herne,0.7006799636403782,No
Jena,0.3894905062581966,No
Kassel,0.023171948890501306,Yes
Krefeld,0.3670556827624788,No
Köln,0.3894912895269621,No
Meiningen,0.3673509115923004,No
Mönchengladbach,0.6573844335004904,No
Mühlacker,0.0021830749161902445,Yes
Mülheim an der Ruhr,0.09594274136846252,No
München,0.23146927735847825,No
Nettetal,0.20616601646570712,No
Neuruppin,0.03289585044675644,Yes
Nordhausen,0.2652326352960366,No
Offenbach am Main,0.8988449470077519,No
Paderborn,0.3052044047201958,No
Pforzheim,0.609086850854164,No
Ratingen,0.0009327913418466879,Yes
Reutlingen,0.6470327057732095,No
Schwedt/Oder,0.18333497435785226,No
Soest,0.20151523168030783,No
Solingen,0.33681932018974253,No
Sondershausen,0.0735656190008408,No
Spremberg,0.15445006769196173,No
Stendal,0.16894501153817426,No
Villingen-Schwenningen,0.3561512387360834,No
Weimar,0.12488591114659772,No
Wernigerode,0.37343135135727334,No
Wiesbaden,0.2195483015959044,No
Wilhelmshaven,0.413095463954433,No
Wolfsburg,0.0004623024935583387,Yes
Wuppertal,0.008098625190856846,Yes
