City,Min P-Value,Significant
Aachen,0.4248628612704701,No
Augsburg,0.4539429963782131,No
Baden-Baden,0.02826516743150061,Yes
Berlin,0.07860911073583013,No
Bitterfeld-Wolfen,0.028037909648080464,Yes
Bottrop,0.1911358674247992,No
Bremen,0.683160235944353,No
Burg,0.021792108286110563,Yes
Cuxhaven,0.28122735244249697,No
Darmstadt,0.1941647821325837,No
Düsseldorf,0.2256630836235032,No
Essen,0.706350431535478,No
Frankfurt am Main,0.11781853088732566,No
Freiburg im Breisgau,0.05123925156453956,No
Gera,0.06396798385751906,No
Goslar,0.23180927456010642,No
Greiz,0.11100236876510272,No
Halberstadt,0.07572726202352052,No
Heidelberg,0.205924660131681,No
Heilbronn,0.024946075231104925,Yes
Jena,0.04750144009494924,Yes
Karlsruhe,0.02122911221624014,Yes
Kehl,0.011079232283449269,Yes
Kiel,0.5472597245260413,No
Krefeld,0.22153283275747002,No
Köln,0.3356082646277049,No
Lübeck,0.327286326976898,No
Lüneburg,0.4910260740996254,No
Mannheim,0.005786067598928885,Yes
Meiningen,0.04852655312543546,Yes
Mülheim an der Ruhr,0.2351916083875348,No
Nordhausen,0.03141296576917883,Yes
Pforzheim,0.19312867179941687,No
Ratingen,0.4637306436120955,No
Schwedt/Oder,0.28870649489092687,No
Soest,0.3416807674168811,No
Spremberg,0.15899855346409666,No
Stendal,0.06618417057443313,No
Stuttgart,0.012282112489785545,Yes
Ulm,0.01425595344326855,Yes
Villingen-Schwenningen,0.01138397101065693,Yes
Wernigerode,0.26817681443740876,No
Wiesbaden,0.1803632211367705,No
Wilhelmshaven,0.26712614417851055,No
Wuppertal,0.5413351584090972,No
