City,Min P-Value,Significant
Aachen,0.5510527143689223,No
Aalen,0.14035275872061653,No
Aschersleben,0.3493188130227751,No
Augsburg,0.19533915032042692,No
Baden-Baden,0.22556309940767189,No
Berlin,0.12096660107701362,No
Bernau bei Berlin,0.40621316975932936,No
Bonn,0.05867467481788267,No
Bottrop,0.01868875939330196,Yes
Braunschweig,0.2506885460123961,No
Düsseldorf,0.004728294557639401,Yes
Eberswalde,0.2710284067133985,No
Frankfurt (Oder),0.07617393725672261,No
Freiburg im Breisgau,0.13535423042077904,No
Gelsenkirchen,0.5051197217104441,No
Goslar,0.21380581048691252,No
Greiz,0.3583758432519917,No
Hagen,0.44506685536224544,No
Halberstadt,0.2206300192242057,No
Hannover,0.26079459955193757,No
Heidelberg,0.09428244974251992,No
Kassel,0.2321700789889791,No
Kiel,0.17430519038385237,No
Krefeld,0.10766656287296404,No
Köln,0.07915398658995963,No
Lübeck,0.12033747657636858,No
Lüneburg,0.3319300142061808,No
Mannheim,0.1464385166696988,No
Meiningen,0.36140736970477794,No
Mülheim an der Ruhr,0.07180825683149811,No
München,0.050662664346298514,No
Münster,0.5495857652957388,No
Nettetal,0.1984462119254736,No
Neuruppin,0.315705647741011,No
Nordhausen,0.3229911074169866,No
Offenbach am Main,0.29389818118275113,No
Saarbrücken,0.22985840795123957,No
Saarlouis,0.06731400754222958,No
Schwedt/Oder,0.19812659416471573,No
Soest,0.019066148466592457,Yes
Solingen,0.4036263378438479,No
Sondershausen,0.1555099530567267,No
Spremberg,0.4205175912162357,No
Stendal,0.17540907132273748,No
Stuttgart,0.11288559862767532,No
Villingen-Schwenningen,0.27509424175859215,No
Völklingen,0.2635031398337193,No
Weimar,0.19550379079144295,No
Wernigerode,0.19746398540505256,No
Wiesbaden,0.13445619723696803,No
Wilhelmshaven,0.25852461476698746,No
Wuppertal,0.06563074752106432,No
