City,Min P-Value,Significant
Aachen,0.5836904533593683,No
Altenburg,0.36790703854064943,No
Aschaffenburg,0.2882844079363033,No
Aschersleben,0.2754536464854517,No
Augsburg,0.5300248754387078,No
Baden-Baden,0.5060303572367605,No
Berlin,0.6408837130102758,No
Bernau bei Berlin,0.8726204318573355,No
Bernburg (Saale),0.00012182161857634834,Yes
Biberach an der Riß,0.7887787781351988,No
Bielefeld,0.3105325468546034,No
Bonn,0.5605442378219188,No
Borken,1.3513821321753686e-05,Yes
Bottrop,0.06359580233200711,No
Brandenburg an der Havel,0.05172072856339559,No
Braunschweig,0.8517975722465477,No
Bremen,0.6123797972582382,No
Bremerhaven,0.015549884400653514,Yes
Cottbus,0.4886108431681593,No
Cuxhaven,0.3269666920728265,No
Datteln,0.12262972265634306,No
Dessau-Roßlau,0.07482619964356374,No
Dortmund,0.05577750069028164,No
Duderstadt,0.14285375560310196,No
Duisburg,0.016720811956100277,Yes
Eisenhüttenstadt,0.4950941013799337,No
Erlangen,0.08043215634717192,No
Eschweiler,0.29845753692290844,No
Essen,0.38588015108788254,No
Filderstadt,0.3930567090025955,No
Flensburg,0.22003567507938895,No
Frankfurt (Oder),0.08734139668829455,No
Frankfurt am Main,0.10027073047922604,No
Friedrichshafen,0.3003846792075914,No
Gelsenkirchen,0.0888193875739123,No
Gera,0.06824995884221895,No
Goslar,0.20948333785417841,No
Greiz,0.028906369351445794,Yes
Hagen,0.0841989789601888,No
Halberstadt,0.4179714204855792,No
Halle (Saale),0.139771654288069,No
Hanau,0.5966232893806174,No
Hannover,0.15167452716334567,No
Hattingen,0.2466269619323832,No
Heidenheim an der Brenz,0.018654555997866074,Yes
Herne,0.013996813126164654,Yes
Hürth,0.24772434949745972,No
Jena,0.0370793284626445,Yes
Kassel,0.6854030661071078,No
Kempten (Allgäu),0.04980392827228495,Yes
Konstanz,0.4667698756672049,No
Krefeld,0.03380990036954541,Yes
Kulmbach,0.588132338852454,No
Köln,0.9334650690494393,No
Leonberg,0.415079923363064,No
Lindau (Bodensee),0.08344617257467374,No
Lingen (Ems),0.4650848514249173,No
Ludwigsburg,0.38494478812278654,No
Lünen,0.23054220472401285,No
Marburg,0.2859418641532533,No
Meiningen,0.588523390889726,No
Mönchengladbach,0.7373789599695997,No
Mühlacker,0.3557006639554877,No
Mülheim an der Ruhr,0.6263200715958824,No
München,0.0011063149358865579,Yes
Naumburg (Saale),0.24986384761587951,No
Netphen,0.5462126939336827,No
Nettetal,0.0029707610131442823,Yes
Neubrandenburg,0.0989826238431055,No
Neuruppin,0.8511819022298068,No
Nordhausen,0.029662962955125126,Yes
Nürnberg,0.014813349358446071,Yes
Offenbach am Main,0.4404815260692962,No
Osnabrück,0.5795069598685361,No
Overath,0.07779314629457486,No
Passau,0.6812006560606072,No
Pforzheim,0.0168521314950758,Yes
Ratingen,0.055317246988662944,No
Recklinghausen,0.03467655956175852,Yes
Regensburg,0.14878546424959377,No
Remscheid,0.002404047687020241,Yes
Reutlingen,0.034078831698485613,Yes
Rinteln,0.060541044520742424,No
Rostock,0.40558993915010766,No
Salzgitter,0.056851344304308604,No
Salzwedel,0.27756557652314434,No
Schwedt/Oder,0.16254609023964062,No
Schweinfurt,0.13552462186547992,No
Schwerin,0.41911449662016154,No
Schwerte,0.039114812543430626,Yes
Soest,0.20691671918722648,No
Solingen,0.12313637066050083,No
Sondershausen,0.7726904329503128,No
Spremberg,0.3227570786823168,No
Stendal,0.19883536970195545,No
Stralsund,0.37203251590107267,No
Tübingen,0.020957746050008098,Yes
Unna,0.019536621564110356,Yes
Villingen-Schwenningen,0.45434982251029843,No
Waiblingen,0.3725626502191162,No
Warstein,0.14730331048404122,No
Weimar,0.41369514945554187,No
Weißenfels,0.09540136821401121,No
Wernigerode,0.09774430183256198,No
Wesel,0.008681416976992854,Yes
Wiesbaden,0.38085904899726863,No
Wilhelmshaven,0.4311732275658469,No
Witten,0.0916713480150378,No
Wolfsburg,0.7861194452013023,No
Wuppertal,0.2422751560762837,No
Zeitz,0.2785038957963508,No
