City,Min P-Value,Significant
Aachen,0.15424872984439994,No
Altenburg,0.5795945578367087,No
Ansbach,0.08038781616706865,No
Aschaffenburg,0.1596481497811084,No
Augsburg,0.3494681391109614,No
Baden-Baden,0.21761611384638604,No
Berlin,0.7368912924808172,No
Biberach an der Riß,0.6286470870917986,No
Bielefeld,0.04250307875880943,Yes
Bitterfeld-Wolfen,0.2166385830296615,No
Bottrop,0.6280196003617591,No
Bremen,0.32599718128250665,No
Burg,5.655437046357122e-05,Yes
Cottbus,0.06747625012431292,No
Cuxhaven,0.2296598892497436,No
Darmstadt,0.5479629206721015,No
Duderstadt,0.6414315688952782,No
Düsseldorf,0.2925740288289237,No
Eisenhüttenstadt,0.4116240809140492,No
Emden,0.06820835971157793,No
Erlangen,0.012296392418892818,Yes
Essen,0.4379446105758874,No
Filderstadt,0.15067747381136234,No
Frankfurt am Main,0.1517891633981283,No
Freiburg im Breisgau,0.10774142207046149,No
Friedrichshafen,0.032519621698213645,Yes
Fulda,0.5420593798667459,No
Garmisch-Partenkirchen,0.6767118404007879,No
Gera,0.557731188135524,No
Goslar,0.45370544590745254,No
Greiz,0.8355020010085952,No
Halberstadt,0.472450641253889,No
Halle (Saale),0.5943853872639397,No
Heidelberg,0.03658510602921444,Yes
Heilbronn,0.23080543933365413,No
Hürth,0.3061109986648486,No
Jena,0.7153726566839025,No
Karlsruhe,0.704671955886979,No
Kehl,0.2903723196911092,No
Kempten (Allgäu),0.5166202735944544,No
Kiel,0.43226742284095226,No
Konstanz,0.12838834526941326,No
Krefeld,0.4657858901601106,No
Köln,0.709481209490442,No
Leverkusen,0.8923288649816832,No
Lingen (Ems),0.8267878591894788,No
Ludwigsburg,0.1582390224982904,No
Lübeck,0.5420102532291134,No
Lüneburg,0.7560608430127695,No
Mannheim,0.27701585037860804,No
Marburg,0.5211809009859131,No
Meiningen,0.33053018221091135,No
Mülheim an der Ruhr,0.26895696328033614,No
Netphen,0.008196396255038098,Yes
Neu-Ulm,0.6245276316994137,No
Neubrandenburg,0.2081839059330609,No
Nordhausen,0.0056403156791436804,Yes
Nürnberg,0.7898740805917012,No
Osnabrück,0.8591522777936634,No
Pforzheim,0.01214085591027755,Yes
Ratingen,0.23449150458413254,No
Regensburg,0.3279197383777151,No
Rostock,0.4929977068680778,No
Salzwedel,0.007583917967271743,Yes
Schwedt/Oder,0.2975433889079083,No
Schwerte,0.8158949961492313,No
Soest,0.08204730216872329,No
Spremberg,0.04663750927374523,Yes
Stendal,0.7940147487428442,No
Stuttgart,0.7985827743383487,No
Tübingen,0.09514416986566013,No
Ulm,0.5324766364542242,No
Villingen-Schwenningen,0.008141567092592982,Yes
Waiblingen,0.16529046286781585,No
Wernigerode,0.3567670605151146,No
Wesel,0.569897515103885,No
Wiesbaden,0.30259129692148723,No
Wiesloch,0.4318245199194387,No
Wilhelmshaven,0.7167051848723294,No
Wuppertal,0.009523840778756563,Yes
Würzburg,0.6646927756963334,No
Zeitz,0.12402927525317427,No
