City,Min P-Value,Significant
Altenburg,0.06159540783799214,No
Aschersleben,0.48550086587679736,No
Augsburg,0.21714228739183977,No
Berlin,0.16525160196341965,No
Bernburg (Saale),0.49001518567168567,No
Biberach an der Riß,0.3313997947250673,No
Borken,0.13644020075227775,No
Brandenburg an der Havel,0.7990095780006403,No
Braunschweig,0.8849866050795115,No
Cuxhaven,0.4314195908999763,No
Dessau-Roßlau,0.29866046759787773,No
Eberswalde,0.06935058978332197,No
Eisenhüttenstadt,0.20090411076094947,No
Eschweiler,0.4427221089725931,No
Filderstadt,0.056925768062079996,No
Flensburg,0.6471624485617622,No
Frankfurt am Main,0.04578307045631649,Yes
Friedrichshafen,0.006607354858818559,Yes
Gera,0.3416732671922024,No
Goslar,0.11297418993769372,No
Hagen,0.9151474957940715,No
Halberstadt,0.21997141874294765,No
Halle (Saale),0.5496664911269138,No
Hanau,0.16312938088334755,No
Hannover,0.42631467634997344,No
Herne,0.450705584636765,No
Hof,0.2927351588045134,No
Jena,0.03867115003725336,Yes
Köln,0.3926008497243686,No
Leonberg,0.3857205537027786,No
Lingen (Ems),0.3284853687019205,No
Ludwigsburg,0.6831501097198406,No
München,0.11472389216409333,No
Naumburg (Saale),0.8249577079661095,No
Nettetal,0.2061660164657066,No
Neubrandenburg,0.04756013056194054,Yes
Neuruppin,0.03289585044675644,Yes
Nordhausen,0.8215984687257104,No
Offenbach am Main,0.5807458667582455,No
Osnabrück,0.2858489390424339,No
Overath,0.1163105462326524,No
Paderborn,0.3052044047201965,No
Pforzheim,0.6090868508541625,No
Ratingen,0.0009327913418466896,Yes
Recklinghausen,0.5235146662673269,No
Regensburg,0.06598069306450596,No
Remscheid,0.035843272852857024,Yes
Rinteln,0.09325018635142811,No
Rostock,0.19145705502755814,No
Salzgitter,0.05707456087234307,No
Salzwedel,0.4442198113543299,No
Schwedt/Oder,0.6239170266546079,No
Schweinfurt,0.04839835601599086,Yes
Schwerin,0.2990205546232948,No
Sondershausen,0.010424677330865216,Yes
Stendal,0.2844276957329376,No
Stralsund,0.1650090816075328,No
Warstein,0.17950112413646185,No
Weimar,0.037721808025435455,Yes
Wernigerode,0.5037745065433987,No
Wetzlar,0.7629118405308166,No
Wilhelmshaven,0.39779686594910213,No
Witten,0.08372188117914126,No
Wolfsburg,0.002830405824270627,Yes
Zeitz,0.07881383223123477,No
