City,Min P-Value,Significant
Aalen,0.1403527587206161,No
Aschersleben,0.34024908263356607,No
Augsburg,0.041601423344100594,Yes
Berlin,0.0329691633161113,Yes
Bochum,0.09972583666948523,No
Borken,0.15981924269526498,No
Brandenburg an der Havel,0.5829102197633025,No
Braunschweig,0.22370360978191514,No
Eberswalde,0.2710284067134,No
Eisenhüttenstadt,0.10405149800578982,No
Emden,0.4681759266142037,No
Erfurt,0.05483330211759951,No
Filderstadt,0.10478969347889681,No
Flensburg,0.20357212794459612,No
Friedrichshafen,0.12935847682217966,No
Fürth,0.133192665577182,No
Goslar,0.1453734266226566,No
Greiz,0.49785564457786036,No
Hagen,0.3679557348277539,No
Halberstadt,0.008774711558902366,Yes
Hannover,0.07398723906765618,No
Heidelberg,0.09428244974251962,No
Kiel,0.09546927188448417,No
Lüneburg,0.1942981075987118,No
Mannheim,0.14643851666969804,No
Nettetal,0.19844621192547343,No
Neubrandenburg,0.3543470653469226,No
Neuruppin,0.31570564774101184,No
Nordhausen,0.140123631430558,No
Osnabrück,0.4564055996558589,No
Saarbrücken,0.15659753136701543,No
Saarlouis,0.5723332537221618,No
Salzgitter,0.0013165012608989028,Yes
Schwedt/Oder,0.12669517161825977,No
Sondershausen,0.08147507903891457,No
Stendal,0.06995884747878214,No
Stuttgart,0.11288559862767589,No
Völklingen,0.17312970088724083,No
Weißenfels,0.5881035992316495,No
Wernigerode,0.0015670734900280672,Yes
Wetzlar,0.45247130354422416,No
Wilhelmshaven,0.29745818706097005,No
Wittenberg,0.014565532290071828,Yes
