City,Min P-Value,Significant
Altenburg,0.1273799946736044,No
Ansbach,0.549165269691304,No
Aschaffenburg,0.050732304216198405,No
Augsburg,0.5467579051927213,No
Baden-Baden,0.0007370149239086891,Yes
Berlin,0.08355871941694237,No
Bitterfeld-Wolfen,0.3643064181797621,No
Bottrop,0.20662366832210974,No
Burg,0.772931667757189,No
Cottbus,0.005127962399871786,Yes
Cuxhaven,0.769726480281259,No
Duderstadt,0.5419571228808882,No
Eisenhüttenstadt,0.5279104678636924,No
Emden,0.12159605934592536,No
Erlangen,0.3069203061058713,No
Essen,0.5264692891145414,No
Filderstadt,0.004594098755562693,Yes
Frankfurt am Main,0.11360722526698064,No
Friedrichshafen,0.0031656830219547517,Yes
Garmisch-Partenkirchen,0.35759439094143264,No
Gera,0.006256759099682953,Yes
Goslar,0.44637304754102725,No
Güstrow,0.5002673008201682,No
Halberstadt,0.00019606025378976813,Yes
Halle (Saale),0.00043924122699575004,Yes
Heidelberg,0.02683903459670789,Yes
Hof,0.1348337080199623,No
Jena,0.019882796020955048,Yes
Kehl,0.20320240359054112,No
Kempten (Allgäu),0.11643083398237178,No
Kiel,0.3182210796943147,No
Konstanz,0.0001733259818888475,Yes
Krefeld,0.18173705451498587,No
Lingen (Ems),0.8107149442131049,No
Ludwigsburg,0.014298141266601486,Yes
Lübeck,0.8829455356964819,No
Lüneburg,0.5605564812580665,No
Marburg,0.23405814089209134,No
Meiningen,0.26552785488769653,No
Netphen,0.4723657672524918,No
Neu-Ulm,0.22072979640484258,No
Neubrandenburg,0.5884206992900023,No
Nordhausen,0.003170253480639802,Yes
Nürnberg,0.8111027468224687,No
Passau,0.5462015081951429,No
Riedstadt,0.37542923701330844,No
Salzwedel,0.003445888995822915,Yes
Schwedt/Oder,0.3961749461495089,No
Schwerte,0.3424327600425655,No
Schwäbisch Hall,0.017933022497768014,Yes
Soest,0.5482830903833771,No
Stuttgart,0.42374540283284823,No
Tübingen,0.1921517045615848,No
Ulm,0.003894355339219483,Yes
Villingen-Schwenningen,0.0010683887542487097,Yes
Waiblingen,0.018849350905422932,Yes
Wernigerode,0.07127241154854987,No
Wesel,0.295244431308521,No
Würzburg,0.1592752353822356,No
Zeitz,0.008457337585814705,Yes
