City,Year,Average,Air Quality Station Type
Aachen,1999,43.978,Background
Aachen,2000,47.816,Background
Aachen,2001,47.178,Background
Aachen,2002,45.133,Background
Aachen,2003,49.939,Background
Aachen,2004,44.075,Background
Aachen,2005,43.515,Background
Aachen,2006,49.06,Background
Aachen,2007,43.683,Background
Aachen,2008,44.815,Background
Aachen,2009,46.951,Background
Aachen,2010,47.022,Background
Aachen,2011,47.058,Background
Aachen,2012,47.849,Background
Aachen,2013,48.005,Background
Aachen,2014,47.533,Background
Aachen,2015,48.545,Background
Aachen,2016,46.347,Background
Aachen,2017,50.452,Background
Aachen,2018,52.933,Background
Aachen,2019,53.81,Background
Aachen,2020,56.546,Background
Aachen,2021,50.875,Background
Aachen,2022,57.011,Background
Aachen,2023,58.902,Background
Aachen,2024,53.488,Background
Aachen,2025,59.497,Background
Aalen,1990,44.48,Background
Aalen,1991,46.102,Background
Aalen,1992,41.42,Background
Aalen,1993,35.376,Background
Aalen,1994,44.672,Background
Aalen,1995,39.605,Background
Aalen,1996,37.317,Background
Aalen,1997,44.299,Background
Aalen,1998,48.834,Background
Aalen,1999,40.185,Background
Aalen,2000,43.39,Background
Aalen,2001,48.171,Background
Aalen,2002,45.534,Background
Aalen,2003,54.753,Background
Aalen,2004,50.611,Background
Aalen,2005,48.139,Background
Aalen,2006,47.758,Background
Aalen,2007,43.561,Background
Aalen,2008,48.027,Background
Aalen,2009,45.283,Background
Aalen,2010,47.402,Background
Aalen,2011,47.9,Background
Aalen,2012,48.563,Background
Aalen,2013,48.783,Background
Aalen,2014,47.998,Background
Aalen,2015,49.445,Background
Aalen,2016,47.395,Background
Aalen,2017,51.148,Background
Aalen,2018,53.512,Background
Aalen,2019,52.378,Background
Aalen,2020,48.924,Background
Aalen,2021,47.375,Background
Aalen,2022,54.366,Background
Aalen,2023,54.256,Background
Aalen,2024,51.673,Background
Aalen,2025,46.08,Background
Altenberg,1995,57.764,Background
Altenberg,1996,59.871,Background
Altenberg,1997,70.24,Background
Altenberg,1998,69.765,Background
Altenberg,1999,72.923,Background
Altenberg,2000,69.923,Background
Altenberg,2001,68.55,Background
Altenberg,2002,72.865,Background
Altenberg,2003,78.872,Background
Altenberg,2004,71.664,Background
Altenberg,2005,72.984,Background
Altenberg,2006,75.76,Background
Altenberg,2007,69.064,Background
Altenberg,2008,67.21,Background
Altenberg,2009,66.589,Background
Altenberg,2010,70.653,Background
Altenberg,2011,72.152,Background
Altenberg,2012,70.746,Background
Altenberg,2013,70.262,Background
Altenberg,2014,67.206,Background
Altenberg,2015,71.941,Background
Altenberg,2016,69.125,Background
Altenberg,2017,71.003,Background
