City,Year,Average,Air Quality Station Type
Aachen,2002,28.517,Traffic
Aachen,2003,32.039,Traffic
Aachen,2003,20.694,Background
Aachen,2004,28.959,Traffic
Aachen,2004,17.94,Background
Aachen,2005,28.0935,Traffic
Aachen,2005,18.667,Background
Aachen,2006,29.464,Traffic
Aachen,2006,21.47,Background
Aachen,2007,31.739666666666665,Traffic
Aachen,2007,19.91,Background
Aachen,2008,30.073999999999998,Traffic
Aachen,2008,17.619,Background
Aachen,2009,32.7345,Traffic
Aachen,2009,20.311,Background
Aachen,2010,31.7885,Traffic
Aachen,2010,20.184,Background
Aachen,2011,29.32,Traffic
Aachen,2011,18.996,Background
Aachen,2012,27.651999999999997,Traffic
Aachen,2012,16.503,Background
Aachen,2013,32.2425,Traffic
Aachen,2013,18.046,Background
Aachen,2014,27.3445,Traffic
Aachen,2014,14.974,Background
Aachen,2015,24.717,Traffic
Aachen,2015,15.049,Background
Aachen,2016,22.6345,Traffic
Aachen,2016,13.708,Background
Aachen,2017,21.262999999999998,Traffic
Aachen,2017,14.007,Background
Aachen,2018,20.979,Traffic
Aachen,2018,15.548,Background
Aachen,2019,19.696,Traffic
Aachen,2019,12.023,Background
Aachen,2020,16.335,Traffic
Aachen,2020,11.704,Background
Aachen,2021,17.122,Traffic
Aachen,2021,12.622,Background
Aachen,2022,18.8925,Traffic
Aachen,2022,15.586,Background
Aachen,2023,15.208,Traffic
Aachen,2023,14.572,Background
Aachen,2024,14.2935,Traffic
Aachen,2024,12.701,Background
Aachen,2025,6.588,Traffic
Aachen,2025,14.258,Background
Aalen,1998,28.004,Background
Aalen,1999,21.702,Background
Aalen,2000,21.037,Background
Aalen,2001,24.381,Background
Aalen,2002,21.453999999999997,Background
Aalen,2003,24.455,Background
Aalen,2004,18.9375,Background
Aalen,2005,23.3225,Background
Aalen,2006,23.268999999999995,Background
Aalen,2007,19.184,Background
Aalen,2008,17.319,Background
Aalen,2009,19.1075,Background
Aalen,2010,21.0465,Background
Aalen,2011,18.699,Background
Aalen,2012,16.9785,Background
Aalen,2013,17.6675,Background
Aalen,2014,17.536,Background
Aalen,2015,18.3735,Background
Aalen,2016,15.939,Background
Aalen,2017,16.073500000000003,Background
Aalen,2018,15.714,Background
Aalen,2019,13.6425,Background
Aalen,2020,12.2605,Background
Aalen,2021,11.9895,Background
Aalen,2022,12.633,Background
Aalen,2023,10.607,Background
Aalen,2024,11.829,Background
Aalen,2025,40.357,Background
Altenberg,2002,13.907,Background
Altenburg,1999,15.557,Traffic
Altenburg,2000,15.213,Traffic
Altenburg,2001,25.775,Traffic
Altenburg,2002,27.591,Traffic
Altenburg,2003,27.198,Traffic
Altenburg,2004,20.476,Traffic
Altenburg,2005,25.22,Traffic
Altenburg,2006,25.76,Traffic
Altenburg,2007,21.869,Traffic
Altenburg,2008,21.641,Traffic
Altenburg,2009,22.334,Traffic
Altenburg,2010,24.518,Traffic
Altenburg,2011,21.733,Traffic
Altenburg,2012,20.251,Traffic
Altenburg,2013,20.557,Background
Altenburg,2014,21.084,Background
Altenburg,2015,16.901,Background
Altenburg,2016,15.548,Background
Altenburg,2017,15.931,Background
Altenburg,2018,17.554,Background
Altenburg,2019,14.379,Background
Altenburg,2020,15.228,Background
Altenburg,2021,14.534,Background
Altenburg,2022,13.257,Background
Altenburg,2023,12.308,Background
Altenburg,2024,15.149,Background
Altenburg,2025,14.767,Background
Am Peenestrom,2020,13.575,Traffic
Am Peenestrom,2021,15.434,Traffic
Am Peenestrom,2022,15.877,Traffic
Am Peenestrom,2023,13.384,Traffic
Am Peenestrom,2024,14.317,Traffic
Andechs,2003,24.491,Background
Andechs,2004,18.488,Background
Andechs,2005,16.503,Background
Andechs,2006,18.154,Background
Andechs,2007,16.625,Background
Andechs,2008,14.099,Background
Andechs,2009,14.906,Background
Andechs,2010,16.494,Background
Andechs,2011,14.841,Background
Andechs,2012,14.096,Background
Andechs,2013,12.324,Background
Andechs,2014,10.313,Background
Andechs,2015,11.956,Background
Andechs,2016,11.581,Background
Andechs,2017,12.34,Background
Andechs,2018,13.789,Background
Andechs,2019,11.277,Background
Andechs,2020,10.998,Background
Andechs,2021,10.534,Background
Andechs,2022,10.764,Background
Andechs,2023,10.168,Background
Andechs,2024,10.136,Background
Andechs,2025,3.992,Background
Annaberg-Buchholz,2012,18.633,Background
Annaberg-Buchholz,2013,19.615,Background
Annaberg-Buchholz,2014,19.063,Background
Annaberg-Buchholz,2016,14.7,Background
Annaberg-Buchholz,2017,15.167,Background
Annaberg-Buchholz,2018,17.046,Background
Annaberg-Buchholz,2019,13.658,Background
Annaberg-Buchholz,2020,11.907,Background
Annaberg-Buchholz,2021,12.562,Background
Annaberg-Buchholz,2022,13.29,Background
Annaberg-Buchholz,2023,11.111,Background
Annaberg-Buchholz,2024,12.007,Background
Annaberg-Buchholz,2025,8.779,Background
