City,State,Date,Linke,Gruene,SPD,FDP,CDU,AfD,Others
Biberach an der Riß,BW,1999,-,6.666666666666667,20.0,6.666666666666667,50.0,-,16.66666666666667
Bad Krozingen (Kreis Breisgau-Hochschwarzwald),BW,1999,-,-,15.384615384615385,-,57.692307692307686,-,26.923076923076927
Rottenburg am Neckar,BW,1999,-,-,18.181818181818183,-,54.54545454545454,-,27.27272727272727
Calw,BW,1999,-,6.896551724137931,20.689655172413794,6.896551724137931,27.586206896551722,-,37.93103448275862
Nagold,BW,1999,-,3.8461538461538463,19.230769230769234,7.6923076923076925,38.46153846153847,-,30.76923076923077
Emmendingen,BW,1999,-,10.81081081081081,29.72972972972973,8.108108108108109,35.13513513513514,-,16.2162162162162
Waldkirch,BW,1999,-,-,30.0,-,43.333333333333336,-,26.66666666666666
Mühlacker,BW,1999,-,-,25.71428571428571,2.857142857142857,42.857142857142854,-,28.57142857142858
Esslingen am Neckar,BW,1999,-,-,32.55813953488372,2.3255813953488373,34.883720930232556,-,30.23255813953488
Filderstadt,BW,1999,-,12.5,21.875,6.25,31.25,-,28.125
Kirchheim unter Teck,BW,1999,-,-,26.47058823529412,2.941176470588235,35.294117647058826,-,35.29411764705882
Leinfelden-Echterdingen,BW,1999,-,11.538461538461538,23.076923076923077,3.8461538461538463,30.76923076923077,-,30.76923076923077
Laupheim,BW,1999,-,-,21.428571428571427,-,42.857142857142854,-,35.71428571428572
Nürtingen,BW,1999,-,-,18.91891891891892,-,32.432432432432435,-,48.64864864864864
Ostfildern,BW,1999,-,11.538461538461538,23.076923076923077,-,34.61538461538461,-,30.76923076923077
Freiburg im Breisgau,BW,1999,-,20.833333333333336,22.916666666666664,4.166666666666666,33.33333333333333,-,18.75
Freudenstadt,BW,1999,-,-,17.24137931034483,-,37.93103448275862,-,44.827586206896555
Horb am Neckar,BW,1999,-,-,18.75,-,52.083333333333336,-,29.166666666666657
Eislingen/Fils,BW,1999,-,8.333333333333332,25.0,-,45.83333333333333,-,20.83333333333333
Geislingen an der Steige,BW,1999,-,-,26.923076923076923,-,42.30769230769231,-,30.76923076923077
Göppingen,BW,1999,-,2.5,27.500000000000004,-,40.0,-,29.99999999999999
Heidelberg,BW,1999,-,-,25.0,5.0,35.0,-,35.00000000000001
Giengen an der Brenz,BW,1999,-,-,38.46153846153847,-,-,-,61.53846153846154
Böblingen,BW,1999,-,7.317073170731707,21.951219512195124,4.878048780487805,41.46341463414634,-,24.39024390243902
Heidenheim an der Brenz,BW,1999,-,8.571428571428571,34.285714285714285,-,37.142857142857146,-,19.99999999999999
Heilbronn,BW,1999,-,5.0,30.0,10.0,42.5,-,12.5
Bad Rappenau,BW,1999,-,-,37.03703703703704,-,51.85185185185185,-,11.11111111111111
Eppingen,BW,1999,-,6.666666666666667,26.666666666666668,-,43.333333333333336,-,23.33333333333334
Neckarsulm,BW,1999,-,3.8461538461538463,38.46153846153847,-,50.0,-,7.69230769230768
Öhringen,BW,1999,-,3.125,18.75,15.625,46.875,-,15.625
Karlsruhe,BW,1999,-,-,25.0,-,45.83333333333333,-,29.166666666666668
Bretten,BW,1999,-,7.6923076923076925,23.076923076923077,-,46.15384615384615,-,23.07692307692307
Bruchsal,BW,1999,-,-,19.444444444444446,2.7777777777777777,50.0,-,27.77777777777778
Ettlingen,BW,1999,-,8.823529411764707,26.47058823529412,5.88235294117647,58.82352941176471,-,0.0
Herrenberg,BW,1999,-,10.0,22.5,-,35.0,-,32.49999999999999
Rheinstetten,BW,1999,-,6.666666666666667,36.666666666666664,3.3333333333333335,46.666666666666664,-,6.66666666666666
Stutensee,BW,1999,-,10.0,26.666666666666668,3.3333333333333335,36.666666666666664,-,23.33333333333334
Waghäusel,BW,1999,-,-,35.714285714285715,-,42.857142857142854,-,21.42857142857143
Konstanz,BW,1999,-,-,20.0,7.5,30.0,-,42.5
Radolfzell am Bodensee,BW,1999,-,11.538461538461538,19.230769230769234,7.6923076923076925,46.15384615384615,-,15.384615384615369
Singen (Hohentwiel),BW,1999,-,5.405405405405405,29.72972972972973,5.405405405405405,48.64864864864865,-,10.81081081081081
Lörrach,BW,1999,-,11.11111111111111,24.444444444444443,2.2222222222222223,40.0,-,22.22222222222223
Rheinfelden (Baden),BW,1999,-,5.555555555555555,27.77777777777778,-,38.88888888888889,-,27.777777777777768
Schopfheim (Kreis Lörrach),BW,1999,-,6.451612903225806,25.806451612903224,-,-,-,67.74193548387098
Weil am Rhein,BW,1999,-,3.7037037037037033,25.925925925925924,-,29.629629629629626,-,40.74074074074074
Leonberg,BW,1999,-,-,25.0,6.8181818181818175,36.36363636363637,-,31.818181818181813
Bietigheim-Bissingen,BW,1999,-,-,25.0,9.375,40.625,-,25.0
Ditzingen,BW,1999,-,-,24.242424242424242,-,39.39393939393939,-,36.36363636363636
Korntal-Münchingen (Kreis Ludwigsburg),BW,1999,-,13.636363636363635,18.181818181818183,4.545454545454546,40.909090909090914,-,22.72727272727273
Kornwestheim,BW,1999,-,7.6923076923076925,26.923076923076923,-,42.30769230769231,-,23.07692307692308
Ludwigsburg,BW,1999,-,10.0,20.0,5.0,35.0,-,30.0
Remseck am Neckar,BW,1999,-,3.8461538461538463,23.076923076923077,15.384615384615385,38.46153846153847,-,19.23076923076923
Vaihingen an der Enz,BW,1999,-,8.108108108108109,18.91891891891892,8.108108108108109,29.72972972972973,-,35.13513513513513
Bad Mergentheim,BW,1999,-,6.896551724137931,13.793103448275861,-,55.172413793103445,-,24.137931034482758
Wertheim,BW,1999,-,4.166666666666666,25.0,-,54.166666666666664,-,16.66666666666667
Mannheim,BW,1999,-,6.25,35.41666666666667,2.083333333333333,47.91666666666667,-,8.33333333333332
Sindelfingen,BW,1999,-,9.090909090909092,22.727272727272727,4.545454545454546,38.63636363636363,-,25.0
Mosbach,BW,1999,-,-,26.31578947368421,5.263157894736842,44.73684210526316,-,23.68421052631579
