City,State,Date,Linke,Gruene,SPD,FDP,CDU,AfD,Others
München,BY,2008,3.75,13.750000000000002,41.25,6.25,28.749999999999996,-,6.25
Nürnberg,BY,2008,-,7.142857142857142,45.714285714285715,2.857142857142857,32.857142857142854,-,11.428571428571429
Augsburg,BY,2008,3.3333333333333335,10.0,31.666666666666664,1.6666666666666667,41.66666666666667,-,11.66666666666667
Regensburg,BY,2008,4.0,10.0,22.0,6.0,40.0,-,17.99999999999999
Ingolstadt,BY,2008,4.0,6.0,20.0,2.0,46.0,-,21.99999999999999
Fürth,BY,2008,4.0,8.0,56.00000000000001,2.0,26.0,-,3.99999999999999
Würzburg,BY,2008,4.0,18.0,18.0,6.0,36.0,-,17.99999999999999
Erlangen,BY,2008,-,-,26.0,8.0,42.0,-,24.0
Bamberg,BY,2008,-,-,22.727272727272727,2.272727272727273,34.090909090909086,-,40.909090909090914
Landshut,BY,2008,-,18.181818181818183,13.636363636363635,6.8181818181818175,36.36363636363637,-,25.0
Bayreuth,BY,2008,-,-,22.727272727272727,4.545454545454546,29.545454545454547,-,43.18181818181819
Aschaffenburg,BY,2008,-,11.363636363636363,31.818181818181817,6.8181818181818175,38.63636363636363,-,11.36363636363636
Kempten (Allgäu),BY,2008,-,13.636363636363635,13.636363636363635,6.8181818181818175,40.909090909090914,-,25.0
Rosenheim,BY,2008,-,11.363636363636363,18.181818181818183,2.272727272727273,45.45454545454545,-,22.72727272727273
Neu-Ulm,BY,2008,-,13.636363636363635,25.0,6.8181818181818175,45.45454545454545,-,9.09090909090909
Schweinfurt,BY,2008,9.090909090909092,4.545454545454546,20.454545454545457,-,40.909090909090914,-,25.0
Passau,BY,2008,-,6.8181818181818175,27.27272727272727,-,36.36363636363637,-,29.54545454545454
Freising,BY,2008,5.0,22.5,15.0,2.5,27.500000000000004,-,27.499999999999993
Straubing,BY,2008,-,2.5,30.0,2.5,47.5,-,17.5
Dachau,BY,2008,-,10.0,17.5,2.5,42.5,-,27.499999999999993
Hof,BY,2008,4.545454545454546,2.272727272727273,25.0,-,45.45454545454545,-,22.72727272727273
Memmingen,BY,2008,-,7.5,22.5,5.0,32.5,-,32.49999999999999
Kaufbeuren,BY,2008,-,7.5,10.0,7.5,47.5,-,27.500000000000004
Weiden in der Oberpfalz,BY,2008,-,7.5,42.5,2.5,32.5,-,14.999999999999991
Amberg,BY,2008,-,5.0,30.0,2.5,47.5,-,15.0
Ansbach,BY,2008,-,12.5,22.5,-,32.5,-,32.49999999999999
Coburg,BY,2008,-,7.5,40.0,5.0,25.0,-,22.49999999999999
Germering,BY,2008,-,15.0,27.500000000000004,2.5,42.5,-,12.5
