Stimmart,AGS,Kreis,Gemeinde,Gemeindename,"Kurzname","Wahlvorschlagsträger_Lang",Art des Wahlvorschlags-trägers,Stimmen,Sitze,darunter Sitze weiblich,Wahlberechtigte,Wähler,Wähler B1,Gültige Stimmen,Ungültige Stimmzettel
Gemeindevertretung,12051000,51,000,Brandenburg an der Havel                          ,AfD,Alternative für Deutschland,P,3778,3,0,61837,22471,3215,65058,591
Gemeindevertretung,12051000,51,000,Brandenburg an der Havel                          ,BVB/FREIE WÄHLER/GARTENFREUND,BVB / FREIE WÄHLER / GARTENFREUNDE,LV,1566,1,0,61837,22471,3215,65058,591
Gemeindevertretung,12051000,51,000,Brandenburg an der Havel                          ,CDU,Christlich Demokratische Union Deutschlands,P,24275,17,3,61837,22471,3215,65058,591
Gemeindevertretung,12051000,51,000,Brandenburg an der Havel                          ,DIE LINKE,DIE LINKE,P,11365,8,5,61837,22471,3215,65058,591
Gemeindevertretung,12051000,51,000,Brandenburg an der Havel                          ,FDP,Freie Demokratische Partei,P,1592,1,0,61837,22471,3215,65058,591
Gemeindevertretung,12051000,51,000,Brandenburg an der Havel                          ,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,P,4295,3,2,61837,22471,3215,65058,591
Gemeindevertretung,12051000,51,000,Brandenburg an der Havel                          ,pro Kirchmöser,"Bürgerverein ""pro Kirchmöser"" e. V.",WG,1940,1,1,61837,22471,3215,65058,591
Gemeindevertretung,12051000,51,000,Brandenburg an der Havel                          ,SPD,Sozialdemokratische Partei Deutschlands,P,16247,12,7,61837,22471,3215,65058,591
Gemeindevertretung,12052000,52,000,Cottbus                                           ,AfD,Alternative für Deutschland,P,7062,3,1,85331,33840,7780,98127,721
Gemeindevertretung,12052000,52,000,Cottbus                                           ,AUB-BVB/FREIE WÄHLER,Aktive Unabhängige Bürger e.V - BVB / FREIE WÄHLER,LV,6228,3,0,85331,33840,7780,98127,721
Gemeindevertretung,12052000,52,000,Cottbus                                           ,CDU,Christlich Demokratische Union Deutschlands,P,27226,13,3,85331,33840,7780,98127,721
Gemeindevertretung,12052000,52,000,Cottbus                                           ,DIE LINKE,DIE LINKE,P,20602,10,4,85331,33840,7780,98127,721
Gemeindevertretung,12052000,52,000,Cottbus                                           ,FDP,Freie Demokratische Partei,P,3027,1,0,85331,33840,7780,98127,721
Gemeindevertretung,12052000,52,000,Cottbus                                           ,FLC,Frauenliste Cottbus,WG,2448,1,1,85331,33840,7780,98127,721
Gemeindevertretung,12052000,52,000,Cottbus                                           ,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,P,6229,3,1,85331,33840,7780,98127,721
Gemeindevertretung,12052000,52,000,Cottbus                                           ,NPD,Nationaldemokratische Partei Deutschlands,P,2645,1,0,85331,33840,7780,98127,721
Gemeindevertretung,12052000,52,000,Cottbus                                           ,SPD,Sozialdemokratische Partei Deutschlands,P,20536,10,4,85331,33840,7780,98127,721
Gemeindevertretung,12052000,52,000,Cottbus                                           ,SUB,SUB,LV,2124,1,0,85331,33840,7780,98127,721
Gemeindevertretung,12053000,53,000,Frankfurt (Oder)                                  ,AfD,Alternative für Deutschland,P,6775,5,0,50007,20239,3912,58159,548
Gemeindevertretung,12053000,53,000,Frankfurt (Oder)                                  ,BürgerBündnis,BürgerBündnis freier Wähler e.V.,WG,1478,1,1,50007,20239,3912,58159,548
Gemeindevertretung,12053000,53,000,Frankfurt (Oder)                                  ,Bürgerinitiative Stadtumbau,Bürgerinitiative Stadtumbau,WG,1659,1,0,50007,20239,3912,58159,548
Gemeindevertretung,12053000,53,000,Frankfurt (Oder)                                  ,CDU,Christlich Demokratische Union Deutschlands,P,13697,11,1,50007,20239,3912,58159,548
Gemeindevertretung,12053000,53,000,Frankfurt (Oder)                                  ,DIE LINKE,DIE LINKE,P,17767,14,7,50007,20239,3912,58159,548
Gemeindevertretung,12053000,53,000,Frankfurt (Oder)                                  ,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",P,168,0,0,50007,20239,3912,58159,548
Gemeindevertretung,12053000,53,000,Frankfurt (Oder)                                  ,FDP,Freie Demokratische Partei,P,1136,1,0,50007,20239,3912,58159,548
Gemeindevertretung,12053000,53,000,Frankfurt (Oder)                                  ,GRÜNE/B 90&BI Stadtentw.,Bündnis 90/Die GRÜNEN&Bürgerinitiative Stadtentwicklung,LV,3582,3,2,50007,20239,3912,58159,548
Gemeindevertretung,12053000,53,000,Frankfurt (Oder)                                  ,PIRATEN,Piratenpartei Deutschland,P,1014,1,0,50007,20239,3912,58159,548
Gemeindevertretung,12053000,53,000,Frankfurt (Oder)                                  ,SPD,Sozialdemokratische Partei Deutschlands,P,10883,9,3,50007,20239,3912,58159,548
Gemeindevertretung,12054000,54,000,Potsdam                                           ,AfD,Alternative für Deutschland,P,8571,3,1,133137,65107,14582,189814,1113
Gemeindevertretung,12054000,54,000,Potsdam                                           ,Andere,Die Andere,WG,14686,4,1,133137,65107,14582,189814,1113
Gemeindevertretung,12054000,54,000,Potsdam                                           ,Bürgerbündnis,Bürgerbündnis freier Wähler e.V.,PV,11559,3,2,133137,65107,14582,189814,1113
Gemeindevertretung,12054000,54,000,Potsdam                                           ,BVB/FREIE WÄHLER/FAMILIE,BVB/FREIE WÄHLER/FAMILIE,LV,1797,1,1,133137,65107,14582,189814,1113
Gemeindevertretung,12054000,54,000,Potsdam                                           ,CDU/ANW,Christlich Demokratische Union Deutschland-Aktionsbündnis P,LV,29353,9,0,133137,65107,14582,189814,1113
Gemeindevertretung,12054000,54,000,Potsdam                                           ,DIE LINKE,DIE LINKE,P,47930,14,8,133137,65107,14582,189814,1113
Gemeindevertretung,12054000,54,000,Potsdam                                           ,EWKoop,Einzelwahlvorschlag Koop,EB,228,0,0,133137,65107,14582,189814,1113
Gemeindevertretung,12054000,54,000,Potsdam                                           ,FDP,Freie Demokratische Partei,P,4801,1,0,133137,65107,14582,189814,1113
Gemeindevertretung,12054000,54,000,Potsdam                                           ,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,P,22658,7,4,133137,65107,14582,189814,1113
