Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;ungueltige Stimmen;gueltige Stimmen;CDU;SPD;PDS;FDP;GRÜNE;NPD;PBC;Agrarb�ndnis;AfR;AMB;AU;AJL;Bv-L�ndlicher Raum;Bv;B�ndnis 90;BBLR;BFR;BfB;BfS;BB UER;BG;BMV;BUMV;GRAUE;Die Sozialen;ok;FORUM;Freie W�hlergemeinschaft;F-UER;HGR;MUG;RB;SAV;UWG Bansin;UWG Tramm;WG Bauernverband;Bauern;WGGM;WGK;WGLR;WG Prohn;"WG ""Rettet Prerow""";UR;WG Wittenhagen;Einzelbewerber
A;1;Greifswald;0;Kreisfreie Stadt;13001000;Greifswald, Hansestadt;55;55;44290;17054;38,5;1568;48772;17985;9145;10394;2665;3119;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3030;x;x;x;x;1536;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;898
P;1;Greifswald;0;Kreisfreie Stadt;13001000;Greifswald, Hansestadt;55;55;44290;17054;38,5;3,1;96,9;36,9;18,8;21,3;5,5;6,4;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;6,2;x;x;x;x;3,1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,8
A;2;Neubrandenburg;0;Kreisfreie Stadt;13002000;Neubrandenburg, Stadt;78;78;58828;22916;39;2042;65887;20814;13248;19754;3648;1896;x;x;x;x;x;4966;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1561
P;2;Neubrandenburg;0;Kreisfreie Stadt;13002000;Neubrandenburg, Stadt;78;78;58828;22916;39;3;97;31,6;20,1;30;5,5;2,9;x;x;x;x;x;7,5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;2,4
A;3;Rostock;0;Kreisfreie Stadt;13003000;Rostock, Hansestadt;188;188;167632;59767;35,7;5072;170606;41326;36452;40973;8302;x;x;x;x;3748;x;x;x;x;x;18030;x;x;x;x;x;x;x;962;1865;x;x;x;x;x;1299;x;9355;4222;x;x;x;x;x;x;x;x;x;x;x;4072
P;3;Rostock;0;Kreisfreie Stadt;13003000;Rostock, Hansestadt;188;188;167632;59767;35,7;2,9;97,1;24,2;21,4;24;4,9;x;x;x;x;2,2;x;x;x;x;x;10,6;x;x;x;x;x;x;x;0,6;1,1;x;x;x;x;x;0,8;x;5,5;2,5;x;x;x;x;x;x;x;x;x;x;x;2,4
A;4;Schwerin;0;Kreisfreie Stadt;13004000;Schwerin, Landeshauptstadt;103;103;80723;31182;38,6;2222;88762;27572;15434;21008;6065;8845;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;9838
P;4;Schwerin;0;Kreisfreie Stadt;13004000;Schwerin, Landeshauptstadt;103;103;80723;31182;38,6;2,4;97,6;31,1;17,4;23,7;6,8;10;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;11,1
A;5;Stralsund;0;Kreisfreie Stadt;13005000;Stralsund, Hansestadt;68;68;50676;20584;40,6;1658;58873;17560;7562;13129;2044;x;2304;x;x;x;x;x;x;x;x;x;x;x;x;6215;x;x;x;x;x;x;x;6402;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3657
P;5;Stralsund;0;Kreisfreie Stadt;13005000;Stralsund, Hansestadt;68;68;50676;20584;40,6;2,7;97,3;29,8;12,8;22,3;3,5;x;3,9;x;x;x;x;x;x;x;x;x;x;x;x;10,6;x;x;x;x;x;x;x;10,9;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;6,2
