Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;ungueltige Stimmen;gueltige Stimmen;CDU;DIE LINKE;SPD;FDP;GRÜNE;NPD;ABLR;APD;AUF;Bauernverband;B�NDNIS F�R R�GEN;BfL;BfS;BG;Freie  W�hler;Freie W�hler;Freie W�hler MSP;Freie W�hler NWM;Freie W�hler SWM;FWG Jarmen;KfV;LUL;Die PARTEI;PIRATEN;RENTNER;UWG;WG BV-LR;WGLR;Adomeit;Einzelbewerber;
A;71;Mecklenburgische Seenplatte;101;Neubrandenburg, Stadt;13071107;Neubrandenburg, Stadt;58;58;56220;28462;50,6;2116;80312;18361;18874;28263;2908;6414;3426;x;x;x;x;x;x;x;x;x;x;1300;x;x;x;x;x;x;x;x;x;x;294;x;472;
P;71;Mecklenburgische Seenplatte;101;Neubrandenburg, Stadt;13071107;Neubrandenburg, Stadt;58;58;56220;28462;50,6;2,6;97,4;22,9;23,5;35,2;3,6;8,0;4,3;x;x;x;x;x;x;x;x;x;x;1,6;x;x;x;x;x;x;x;x;x;x;0,4;x;0,6;
A;71;Mecklenburgische Seenplatte;111;Dargun, Stadt;13071027;Dargun, Stadt;9;9;3980;1976;49,6;289;5580;1723;1900;1053;186;211;263;x;x;x;x;x;x;x;x;x;x;116;x;x;x;x;x;x;x;x;x;x;128;x;x;
P;71;Mecklenburgische Seenplatte;111;Dargun, Stadt;13071027;Dargun, Stadt;9;9;3980;1976;49,6;4,9;95,1;30,9;34,1;18,9;3,3;3,8;4,7;x;x;x;x;x;x;x;x;x;x;2,1;x;x;x;x;x;x;x;x;x;x;2,3;x;x;
A;71;Mecklenburgische Seenplatte;112;Demmin, Hansestadt;13071029;Demmin, Hansestadt;11;11;10418;4292;41,2;565;12133;4231;3309;2582;282;368;968;x;x;x;x;x;x;x;x;x;x;137;x;x;x;x;x;x;x;x;x;x;136;x;120;
P;71;Mecklenburgische Seenplatte;112;Demmin, Hansestadt;13071029;Demmin, Hansestadt;11;11;10418;4292;41,2;4,4;95,6;34,9;27,3;21,3;2,3;3,0;8,0;x;x;x;x;x;x;x;x;x;x;1,1;x;x;x;x;x;x;x;x;x;x;1,1;x;1,0;
A;71;Mecklenburgische Seenplatte;113;Feldberger Seenlandschaft;13071033;Feldberger Seenlandschaft;10;10;4014;2049;51,0;145;5796;1686;947;2025;330;439;208;x;x;x;x;x;x;x;x;x;x;140;x;x;x;x;x;x;x;x;x;x;21;x;x;
P;71;Mecklenburgische Seenplatte;113;Feldberger Seenlandschaft;13071033;Feldberger Seenlandschaft;10;10;4014;2049;51,0;2,4;97,6;29,1;16,3;34,9;5,7;7,6;3,6;x;x;x;x;x;x;x;x;x;x;2,4;x;x;x;x;x;x;x;x;x;x;0,4;x;x;
A;71;Mecklenburgische Seenplatte;114;Neustrelitz, Stadt;13071110;Neustrelitz, Stadt;16;16;18027;9484;52,6;841;27202;6973;5764;8655;1043;1805;1343;x;x;x;x;x;x;x;x;x;x;1520;x;x;x;x;x;x;x;x;x;x;99;x;x;
P;71;Mecklenburgische Seenplatte;114;Neustrelitz, Stadt;13071110;Neustrelitz, Stadt;16;16;18027;9484;52,6;3,0;97,0;25,6;21,2;31,8;3,8;6,6;4,9;x;x;x;x;x;x;x;x;x;x;5,6;x;x;x;x;x;x;x;x;x;x;0,4;x;x;
A;71;Mecklenburgische Seenplatte;115;Waren (M�ritz), Stadt;13071156;Waren (M�ritz), Stadt;18;18;18547;8818;47,5;726;24502;5160;4226;10423;1222;1712;701;x;x;x;x;x;x;x;x;x;x;994;x;x;x;x;x;x;x;x;x;x;64;x;x;
P;71;Mecklenburgische Seenplatte;115;Waren (M�ritz), Stadt;13071156;Waren (M�ritz), Stadt;18;18;18547;8818;47,5;2,9;97,1;21,1;17,2;42,5;5,0;7,0;2,9;x;x;x;x;x;x;x;x;x;x;4,1;x;x;x;x;x;x;x;x;x;x;0,3;x;x;
A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071008;Beggerow;1;1;472;186;39,4;12;530;231;102;91;9;44;32;x;x;x;x;x;x;x;x;x;x;7;x;x;x;x;x;x;x;x;x;x;14;x;0;
P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071008;Beggerow;1;1;472;186;39,4;2,2;97,8;43,6;19,2;17,2;1,7;8,3;6,0;x;x;x;x;x;x;x;x;x;x;1,3;x;x;x;x;x;x;x;x;x;x;2,6;x;0,0;
A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071014;Borrentin;3;3;750;304;40,5;57;846;289;125;238;38;55;30;x;x;x;x;x;x;x;x;x;x;11;x;x;x;x;x;x;x;x;x;x;58;x;2;
P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071014;Borrentin;3;3;750;304;40,5;6,3;93,7;34,2;14,8;28,1;4,5;6,5;3,5;x;x;x;x;x;x;x;x;x;x;1,3;x;x;x;x;x;x;x;x;x;x;6,9;x;0,2;
A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071064;Hohenbollentin;1;1;106;73;68,9;0;207;70;18;34;20;16;4;x;x;x;x;x;x;x;x;x;x;2;x;x;x;x;x;x;x;x;x;x;42;x;1;
P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071064;Hohenbollentin;1;1;106;73;68,9;0,0;100,0;33,8;8,7;16,4;9,7;7,7;1,9;x;x;x;x;x;x;x;x;x;x;1,0;x;x;x;x;x;x;x;x;x;x;20,3;x;0,5;
A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071065;Hohenmocker;2;2;474;230;48,5;12;654;384;87;85;19;36;20;x;x;x;x;x;x;x;x;x;x;1;x;x;x;x;x;x;x;x;x;x;17;x;5;
