City,State,Date,Linke,Gruene,SPD,FDP,CDU,AfD,Others
Gifhorn,NI,2021,2.1,15.8,27.1,5.0,30.8,10.4,21.3
Bad Harzburg,NI,2021,0,14.4,37.8,4.0,32.9,5.6,11.0
Goslar,NI,2021,4.4,8.8,43.1,6.0,25.5,4.7,16.7
Helmstedt,NI,2021,2.4,9.3,33.3,6.2,34.7,7.5,16.4
Northeim,NI,2021,2.3,11.3,34.7,11.8,28.0,6.0,14.2
Einbeck,NI,2021,2.3,7.6,37.2,6.2,27.0,5.3,22.0
Peine,NI,2021,2.0,11.2,38.6,3.9,29.6,5.7,16.7
Ilsede,NI,2021,2.0,9.5,34.0,3.6,29.5,0,23.4
Wolfenbüttel,NI,2021,2.1,18.1,30.5,7.2,26.1,5.0,18.1
Duderstadt,NI,2021,0,8.6,17.8,10.6,49.2,0,13.8
Göttingen,NI,2021,0,30.8,25.0,5.5,23.1,0,15.6
Hann. Münden,NI,2021,2.1,10.6,42.2,3.4,26.1,4.8,17.7
Osterode am Harz,NI,2021,0,11.5,47.4,6.4,32.4,2.2,2.2
Hannover,NI,2021,5.6,27.8,27.7,6.0,20.7,4.3,17.8
Barsinghausen,NI,2021,0,18.5,35.0,5.4,28.7,5.7,12.4
Burgdorf,NI,2021,6.1,16.5,28.8,8.7,26.2,4.4,19.8
Burgwedel,NI,2021,0,15.1,25.2,8.8,45.4,4.3,5.5
Garbsen,NI,2021,1.3,15.0,35.3,6.2,32.0,6.8,11.5
Isernhagen,NI,2021,0,18.3,27.4,12.1,34.5,0,7.7
Laatzen,NI,2021,4.2,16.7,35.8,8.5,30.5,0,8.5
Langenhagen,NI,2021,2.6,13.5,33.5,4.8,30.6,6.6,17.6
Lehrte,NI,2021,2.6,14.3,34.3,4.4,30.1,5.7,16.9
Ronnenberg,NI,2021,2.4,17.5,39.3,5.6,27.8,6.6,9.7
Seelze,NI,2021,2.1,13.4,38.8,3.8,33.6,5.9,10.5
Sehnde,NI,2021,2.1,14.9,33.8,4.5,37.3,6.2,9.5
Springe,NI,2021,1.8,16.0,28.1,9.1,21.0,3.7,25.8
Uetze,NI,2021,1.5,11.9,39.1,4.3,28.9,0,15.8
Wunstorf,NI,2021,0,16.4,40.2,5.3,31.7,5.0,6.4
Stuhr,NI,2021,0,20.2,28.9,10.8,32.5,2.2,7.6
Syke,NI,2021,1.9,15.9,23.2,5.3,24.1,0,31.5
Weyhe,NI,2021,1.8,17.4,40.9,8.9,26.2,0,6.7
Hameln,NI,2021,3.6,18.6,32.2,8.0,29.7,2.5,11.4
Hildesheim,NI,2021,4.1,24.3,26.7,5.0,27.0,4.1,17.1
Holzminden,NI,2021,2.0,16.6,20.6,12.9,31.8,0,18.2
Rinteln,NI,2021,0,10.4,40.5,3.4,32.1,0,13.6
Stadthagen,NI,2021,3.9,15.9,40.8,8.6,27.9,2.4,6.9
Lüneburg.Celle,NI,2021,1.3,12.1,23.6,6.2,34.1,5.2,24.1
Celle,NI,2021,3.1,14.4,24.8,6.1,31.1,7.4,23.6
Cuxhaven,NI,2021,2.2,12.9,34.3,5.8,26.6,5.4,20.4
Geestland,NI,2021,2.3,11.2,25.5,3.4,48.3,4.1,11.7
Neu Wulmstorf,NI,2021,1.9,10.4,43.5,4.6,22.0,4.5,19.4
Seevetal,NI,2021,1.6,15.8,22.0,7.0,32.7,4.4,22.6
Winsen (Luhe),NI,2021,0,22.4,23.0,7.8,38.9,5.9,7.8
Lüneburg,NI,2021,6.2,34.8,24.9,6.4,19.0,3.5,14.9
Lilienthal,NI,2021,6.2,23.7,21.7,3.3,38.1,2.0,13.2
Osterholz-Scharmbeck,NI,2021,6.0,16.3,37.1,4.7,22.0,2.3,19.9
Schwanewede,NI,2021,3.5,12.6,34.0,3.0,35.4,4.8,15.1
Rotenburg (Wümme),NI,2021,3.7,17.1,29.3,3.9,35.2,0,14.6
Soltau,NI,2021,1.7,12.7,25.4,5.3,30.9,5.4,25.7
Walsrode,NI,2021,0,0,0,0,0,0,0
Buxtehude,NI,2021,4.2,23.1,26.8,7.1,28.1,4.5,14.9
Stade,NI,2021,4.0,15.7,29.1,7.9,29.3,0,18.0
Uelzen,NI,2021,2.0,12.2,31.8,4.2,33.2,5.1,18.6
Achim,NI,2021,2.1,18.1,29.0,8.1,30.5,5.0,14.2
Verden (Aller),NI,2021,2.7,19.2,29.7,11.3,33.1,0,6.8
Bad Zwischenahn,NI,2021,3.6,14.5,31.4,6.5,34.8,2.3,12.8
Edewecht,NI,2021,0,14.0,32.0,6.3,38.5,0,9.1
Rastede,NI,2021,3.1,15.8,31.5,7.1,35.0,0,10.6
Westerstede,NI,2021,2.0,10.7,15.7,7.6,37.4,0,28.6
Aurich,NI,2021,4.9,12.5,33.6,6.5,23.7,0,23.8
Norden,NI,2021,0,10.7,42.8,4.6,21.3,0,20.5
Cloppenburg,NI,2021,1.7,10.6,23.1,4.3,41.4,6.2,20.6
Friesoythe,NI,2021,1.4,2.9,49.9,3.2,42.6,0,1.4
Haren (Ems),NI,2021,2.0,7.8,21.8,4.9,60.4,0,5.0
Lingen (Ems),NI,2021,0,13.3,19.2,8.1,48.2,0,11.2
Meppen,NI,2021,0,14.4,21.3,4.4,41.9,2.9,18.0
Papenburg,NI,2021,1.4,7.8,28.6,8.4,36.8,4.0,18.4
Schortens,NI,2021,1.2,14.5,34.5,6.4,31.3,0,13.3
Varel,NI,2021,0,13.2,39.7,4.3,17.6,0,25.2
Nordhorn,NI,2021,2.1,13.6,29.3,5.8,27.0,3.8,24.3
Moormerland,NI,2021,1.0,10.1,43.4,4.2,29.5,0,12.8
Westoverledingen,NI,2021,2.2,10.9,49.0,0,26.0,0,14.1
Ganderkesee,NI,2021,2.0,15.0,27.5,9.8,33.5,0,14.2
Wildeshausen,NI,2021,2.9,12.0,21.0,13.2,19.3,4.8,34.6
Bramsche,NI,2021,3.2,15.3,45.1,6.5,27.5,2.4,5.5
Georgsmarienhütte,NI,2021,3.4,17.1,27.8,5.0,37.3,0,12.8
Melle,NI,2021,1.8,19.1,29.2,7.4,35.6,1.2,8.7
Wallenhorst,NI,2021,0,15.2,29.0,8.2,23.4,2.9,24.2
Lohne (Oldenburg),NI,2021,0,7.0,18.6,0,54.0,3.5,20.4
Vechta,NI,2021,1.8,11.6,24.8,4.1,44.2,4.3,15.3
Nordenham.Norden,NI,2021,2.0,13.6,32.3,9.2,33.9,0,11.0
Wittmund,NI,2021,0,8.6,38.9,4.6,41.4,0,6.6
Braunschweig,NI,2021,3.9,22.7,29.5,5.9,22.0,4.3,20.0
Salzgitter,NI,2021,3.8,8.5,35.0,5.0,29.8,10.5,21.7
Wolfsburg,NI,2021,2.8,10.6,30.5,5.1,27.8,6.0,26.0
Delmenhorst,NI,2021,3.8,10.4,29.0,10.6,28.3,8.3,21.7
Emden,NI,2021,5.1,14.2,35.6,12.7,18.0,0,19.5
Oldenburg,NI,2021,8.0,31.2,29.0,5.3,17.8,2.7,16.7
Osnabrück,NI,2021,4.6,29.2,23.3,6.4,25.6,1.9,15.4
Wilhelmshaven,NI,2021,0,13.1,28.0,5.2,20.6,6.7,33.2
Gifhorn,NI,2016,3.1,11.5,25.8,4.1,37.2,10.7,21.4
Bad Harzburg,NI,2016,3.2,11.2,31.9,3.2,31.8,12.5,22.0
Goslar,NI,2016,5.4,6.7,37.6,7.0,26.1,9.3,22.7
Helmstedt,NI,2016,3.0,6.3,35.7,5.4,33.4,8.2,19.2
Northeim,NI,2016,2.4,7.9,34.3,11.1,29.0,9.6,17.7
Einbeck,NI,2016,1.0,5.0,43.1,4.9,29.5,3.4,17.5
Peine,NI,2016,3.5,7.7,45.4,2.6,31.7,0,12.6
Ilsede,NI,2016,0,0,0,0,0,0,0
Wolfenbüttel,NI,2016,4.1,13.5,32.4,5.9,31.7,10.8,16.6
Duderstadt,NI,2016,0,7.9,17.4,5.4,56.0,0,13.4
Göttingen,NI,2016,0,20.6,32.6,5.4,24.4,0,17.0
Hann. Münden,NI,2016,4.4,6.5,42.6,3.6,26.0,0,21.2
Osterode am Harz,NI,2016,0,10.3,47.1,8.4,34.2,0,0
Hannover,NI,2016,7.0,16.3,31.3,5.1,24.5,8.6,22.8
Barsinghausen,NI,2016,0,12.4,31.7,4.8,29.5,10.8,21.7
Burgdorf,NI,2016,6.4,9.6,30.6,6.3,30.9,9.3,22.7
Burgwedel,NI,2016,0,9.3,24.1,5.9,48.0,3.0,12.7
Garbsen,NI,2016,2.5,9.4,37.5,3.4,30.9,12.8,18.8
Isernhagen,NI,2016,0,11.8,24.2,13.1,35.9,9.9,14.9
Laatzen,NI,2016,5.6,9.7,37.5,7.4,33.8,0,11.7
Langenhagen,NI,2016,3.4,9.9,32.4,3.2,27.9,12.2,26.6
Lehrte,NI,2016,3.7,11.2,37.0,3.9,34.7,5.3,13.3
Ronnenberg,NI,2016,3.2,13.8,31.9,3.8,28.0,13.3,22.6
Seelze,NI,2016,4.8,9.2,41.4,4.3,32.9,0,12.2
Sehnde,NI,2016,2.5,8.3,35.5,2.9,39.7,11.1,13.5
Springe,NI,2016,3.0,10.0,30.6,7.2,35.0,8.6,17.3
Uetze,NI,2016,0,9.6,41.4,3.2,35.3,0,10.4
Wunstorf,NI,2016,2.7,9.7,38.6,5.4,32.8,10.2,13.4
Stuhr,NI,2016,0,12.0,29.8,8.7,39.8,0,9.7
Syke,NI,2016,3.4,11.8,25.2,5.1,26.3,0,31.6
Weyhe,NI,2016,0,14.7,43.7,10.4,28.3,0,3.0
Hameln,NI,2016,5.3,11.6,31.2,7.5,31.6,5.9,18.1
Hildesheim,NI,2016,4.3,15.7,30.1,3.9,31.5,9.3,18.9
Holzminden,NI,2016,4.2,12.1,28.7,12.6,36.3,0,10.4
Rinteln,NI,2016,0,8.5,37.2,3.6,31.0,0,19.8
Stadthagen,NI,2016,3.7,8.9,37.7,4.8,31.5,0,17.0
Lüneburg.Celle,NI,2016,1.2,7.6,27.4,4.5,37.5,6.4,23.0
Celle,NI,2016,2.1,7.4,29.4,4.7,35.7,9.4,22.8
Cuxhaven,NI,2016,2.4,9.7,32.5,3.0,33.6,8.6,21.2
Geestland,NI,2016,0,0,0,0,0,0,0
Neu Wulmstorf,NI,2016,2.3,7.3,41.1,3.3,22.6,10.9,25.7
Seevetal,NI,2016,2.2,10.5,25.2,5.1,33.8,8.9,25.4
Winsen (Luhe),NI,2016,3.2,16.1,20.5,4.6,39.3,9.5,19.5
Lüneburg,NI,2016,9.5,22.0,32.9,6.0,20.7,9.0,18.5
Lilienthal,NI,2016,5.3,16.3,26.6,4.3,37.9,0,14.9
Osterholz-Scharmbeck,NI,2016,9.2,9.0,37.7,2.9,26.4,0,24.0
Schwanewede,NI,2016,3.8,9.3,36.3,3.3,34.9,0,16.3
Rotenburg (Wümme),NI,2016,0,15.1,31.8,2.4,33.5,6.8,17.2
