Gifhorn,30.8,27.1,15.8,5.0,21.3,10.4,2.1
Bad Harzburg,32.9,37.8,14.4,4.0,11.0,5.6,0
Goslar,25.5,43.1,8.8,6.0,16.7,4.7,4.4
Helmstedt,34.7,33.3,9.3,6.2,16.4,7.5,2.4
Northeim,28.0,34.7,11.3,11.8,14.2,6.0,2.3
Einbeck,27.0,37.2,7.6,6.2,22.0,5.3,2.3
Peine,29.6,38.6,11.2,3.9,16.7,5.7,2.0
Ilsede,29.5,34.0,9.5,3.6,23.4,0,2.0
Wolfenbüttel,26.1,30.5,18.1,7.2,18.1,5.0,2.1
Duderstadt,49.2,17.8,8.6,10.6,13.8,0,0
Göttingen,23.1,25.0,30.8,5.5,15.6,0,0
Hann. Münden,26.1,42.2,10.6,3.4,17.7,4.8,2.1
Osterode am Harz,32.4,47.4,11.5,6.4,2.2,2.2,0
Hannover,20.7,27.7,27.8,6.0,17.8,4.3,5.6
Barsinghausen,28.7,35.0,18.5,5.4,12.4,5.7,0
Burgdorf,26.2,28.8,16.5,8.7,19.8,4.4,6.1
Burgwedel,45.4,25.2,15.1,8.8,5.5,4.3,0
Garbsen,32.0,35.3,15.0,6.2,11.5,6.8,1.3
Isernhagen,34.5,27.4,18.3,12.1,7.7,0,0
Laatzen,30.5,35.8,16.7,8.5,8.5,0,4.2
Langenhagen,30.6,33.5,13.5,4.8,17.6,6.6,2.6
Lehrte,30.1,34.3,14.3,4.4,16.9,5.7,2.6
Ronnenberg,27.8,39.3,17.5,5.6,9.7,6.6,2.4
Seelze,33.6,38.8,13.4,3.8,10.5,5.9,2.1
Sehnde,37.3,33.8,14.9,4.5,9.5,6.2,2.1
Springe,21.0,28.1,16.0,9.1,25.8,3.7,1.8
Uetze,28.9,39.1,11.9,4.3,15.8,0,1.5
Wunstorf,31.7,40.2,16.4,5.3,6.4,5.0,0
Stuhr,32.5,28.9,20.2,10.8,7.6,2.2,0
Syke,24.1,23.2,15.9,5.3,31.5,0,1.9
Weyhe,26.2,40.9,17.4,8.9,6.7,0,1.8
Hameln,29.7,32.2,18.6,8.0,11.4,2.5,3.6
Hildesheim,27.0,26.7,24.3,5.0,17.1,4.1,4.1
Holzminden,31.8,20.6,16.6,12.9,18.2,0,2.0
Rinteln,32.1,40.5,10.4,3.4,13.6,0,0
Stadthagen,27.9,40.8,15.9,8.6,6.9,2.4,3.9
Lüneburg.Celle,34.1,23.6,12.1,6.2,24.1,5.2,1.3
Celle,31.1,24.8,14.4,6.1,23.6,7.4,3.1
Cuxhaven,26.6,34.3,12.9,5.8,20.4,5.4,2.2
Geestland,48.3,25.5,11.2,3.4,11.7,4.1,2.3
Neu Wulmstorf,22.0,43.5,10.4,4.6,19.4,4.5,1.9
Seevetal,32.7,22.0,15.8,7.0,22.6,4.4,1.6
Winsen (Luhe),38.9,23.0,22.4,7.8,7.8,5.9,0
Lüneburg,19.0,24.9,34.8,6.4,14.9,3.5,6.2
Lilienthal,38.1,21.7,23.7,3.3,13.2,2.0,6.2
Osterholz-Scharmbeck,22.0,37.1,16.3,4.7,19.9,2.3,6.0
Schwanewede,35.4,34.0,12.6,3.0,15.1,4.8,3.5
Rotenburg (Wümme),35.2,29.3,17.1,3.9,14.6,0,3.7
Soltau,30.9,25.4,12.7,5.3,25.7,5.4,1.7
Walsrode,0,0,0,0,0,0,0
Buxtehude,28.1,26.8,23.1,7.1,14.9,4.5,4.2
Stade,29.3,29.1,15.7,7.9,18.0,0,4.0
