City,State,Date,Linke,Gruene,SPD,FDP,CDU,AfD,Others
Düsseldorf,NRW,2004,2.4390243902439024,12.195121951219512,30.48780487804878,6.097560975609756,45.1219512195122,0.0,3.658536585365857
Duisburg,NRW,2004,5.405405405405405,9.45945945945946,37.83783783783784,4.054054054054054,36.486486486486484,0.0,6.756756756756754
Essen,NRW,2004,2.4390243902439024,10.975609756097562,34.146341463414636,3.6585365853658534,39.02439024390244,0.0,9.756097560975608
Krefeld,NRW,2004,0,12.903225806451612,29.03225806451613,9.67741935483871,41.935483870967744,0.0,6.451612903225801
Mönchengladbach,NRW,2004,0,9.210526315789473,26.31578947368421,9.210526315789473,43.42105263157895,0.0,11.842105263157897
Mülheim an der Ruhr,NRW,2004,0,9.615384615384617,38.46153846153847,5.769230769230769,32.69230769230769,0.0,13.461538461538458
Oberhausen,NRW,2004,6.896551724137931,6.896551724137931,50.0,3.4482758620689653,32.758620689655174,0.0,0.0
Remscheid,NRW,2004,0,10.344827586206897,32.758620689655174,8.620689655172415,41.37931034482759,0.0,6.896551724137945
Solingen,NRW,2004,0,8.823529411764707,27.941176470588236,8.823529411764707,42.64705882352941,0.0,11.764705882352944
Wuppertal,NRW,2004,4.054054054054054,12.162162162162163,28.37837837837838,6.756756756756757,37.83783783783784,0.0,10.81081081081081
Aachen,NRW,2004,1.7241379310344827,17.24137931034483,32.758620689655174,5.172413793103448,37.93103448275862,0.0,5.1724137931034475
Bonn,NRW,2004,1.5151515151515151,16.666666666666664,28.78787878787879,9.090909090909092,37.878787878787875,0.0,6.060606060606055
Köln,NRW,2004,3.3333333333333335,16.666666666666664,31.11111111111111,7.777777777777778,32.22222222222222,0.0,8.888888888888902
Leverkusen,NRW,2004,0,9.090909090909092,27.27272727272727,6.0606060606060606,36.36363636363637,0.0,21.212121212121215
Bottrop,NRW,2004,0,5.172413793103448,41.37931034482759,3.4482758620689653,36.206896551724135,0.0,13.793103448275868
Gelsenkirchen,NRW,2004,3.0303030303030303,6.0606060606060606,42.42424242424242,3.0303030303030303,34.84848484848485,0.0,10.606060606060607
Münster,NRW,2004,1.3513513513513513,18.91891891891892,25.675675675675674,8.108108108108109,41.891891891891895,0.0,4.054054054054057
Bielefeld,NRW,2004,3.3333333333333335,15.0,31.666666666666664,3.3333333333333335,36.666666666666664,0.0,10.000000000000009
Bochum,NRW,2004,3.9473684210526314,11.842105263157894,40.78947368421053,3.9473684210526314,32.89473684210527,0.0,6.578947368421051
Dortmund,NRW,2004,2.272727272727273,11.363636363636363,40.909090909090914,3.4090909090909087,32.95454545454545,0.0,9.090909090909104
Hagen,NRW,2004,3.4482758620689653,6.896551724137931,36.206896551724135,5.172413793103448,37.93103448275862,0.0,10.344827586206895
Hamm,NRW,2004,3.4482758620689653,6.896551724137931,36.206896551724135,5.172413793103448,37.93103448275862,0.0,10.344827586206895
Herne,NRW,2004,3.0303030303030303,9.090909090909092,43.93939393939394,3.0303030303030303,31.818181818181817,0.0,9.090909090909104
