City,State,Date,Linke,Gruene,SPD,FDP,CDU,AfD,Others
Paderborn,NRW,2009,0,14.705882352941178,19.11764705882353,11.76470588235294,42.64705882352941,0.0,11.764705882352944
Neuss,NRW,2009,3.225806451612903,11.29032258064516,25.806451612903224,11.29032258064516,43.54838709677419,0.0,4.8387096774193505
Recklinghausen,NRW,2009,5.555555555555555,9.25925925925926,31.48148148148148,5.555555555555555,38.88888888888889,0.0,9.259259259259256
Bergisch Gladbach,NRW,2009,3.225806451612903,12.903225806451612,25.806451612903224,9.67741935483871,40.32258064516129,0.0,8.064516129032262
Siegen,NRW,2009,5.714285714285714,12.857142857142856,25.71428571428571,11.428571428571429,35.714285714285715,0.0,8.571428571428562
Moers,NRW,2009,5.357142857142857,8.928571428571429,39.285714285714285,10.714285714285714,28.57142857142857,0.0,7.142857142857151
Gütersloh,NRW,2009,3.4482758620689653,10.344827586206897,27.586206896551722,6.896551724137931,39.6551724137931,0.0,12.06896551724138
Düren,NRW,2009,4.0,10.0,28.000000000000004,6.0,46.0,0.0,5.999999999999995
Iserlohn,NRW,2009,6.0,10.0,32.0,8.0,38.0,0.0,6.000000000000005
Witten,NRW,2009,6.0606060606060606,13.636363636363635,33.33333333333333,6.0606060606060606,27.27272727272727,0.0,13.636363636363647
Ratingen,NRW,2009,0,10.0,20.0,8.333333333333332,31.666666666666664,0.0,30.000000000000004
Marl,NRW,2009,6.0,2.0,38.0,6.0,28.000000000000004,0.0,19.999999999999996
Lünen,NRW,2009,5.555555555555555,11.11111111111111,37.03703703703704,5.555555555555555,24.074074074074073,0.0,16.666666666666675
Minden,NRW,2009,3.4482758620689653,10.344827586206897,37.93103448275862,6.896551724137931,29.310344827586203,0.0,12.068965517241391
Velbert,NRW,2009,6.0606060606060606,9.090909090909092,24.242424242424242,7.575757575757576,34.84848484848485,0.0,18.181818181818187
Rheine,NRW,2009,0,11.363636363636363,34.090909090909086,9.090909090909092,45.45454545454545,0.0,0.0
Viersen,NRW,2009,3.4482758620689653,8.620689655172415,25.862068965517242,8.620689655172415,41.37931034482759,0.0,12.06896551724137
Gladbeck,NRW,2009,6.521739130434782,6.521739130434782,45.65217391304348,4.3478260869565215,26.08695652173913,0.0,10.869565217391308
Troisdorf,NRW,2009,4.0,10.0,30.0,8.0,44.0,0.0,4.0000000000000036
Arnsberg,NRW,2009,0,8.695652173913043,32.608695652173914,10.869565217391305,47.82608695652174,0.0,0.0
Detmold,NRW,2009,4.3478260869565215,10.869565217391305,39.130434782608695,8.695652173913043,28.26086956521739,0.0,8.69565217391306
Dorsten,NRW,2009,6.0,8.0,30.0,8.0,44.0,0.0,4.0000000000000036
Castrop-Rauxel,NRW,2009,4.3478260869565215,6.521739130434782,43.47826086956522,8.695652173913043,28.26086956521739,0.0,8.69565217391306
Bocholt,NRW,2009,2.1739130434782608,8.695652173913043,30.434782608695656,6.521739130434782,45.65217391304348,0.0,6.521739130434789
Lüdenscheid,NRW,2009,4.0,8.0,38.0,10.0,32.0,0.0,8.000000000000007
Lippstadt,NRW,2009,4.0,8.0,28.000000000000004,12.0,38.0,0.0,9.999999999999998
Herford,NRW,2009,4.545454545454546,9.090909090909092,34.090909090909086,9.090909090909092,38.63636363636363,0.0,4.545454545454552
Dinslaken,NRW,2009,5.357142857142857,10.714285714285714,37.5,5.357142857142857,30.357142857142854,0.0,10.71428571428572
Kerpen,NRW,2009,4.3478260869565215,10.869565217391305,32.608695652173914,8.695652173913043,39.130434782608695,0.0,4.347826086956519
Grevenbroich,NRW,2009,2.0,6.0,28.000000000000004,10.0,34.0,0.0,19.999999999999996
Dormagen,NRW,2009,2.272727272727273,6.8181818181818175,27.27272727272727,6.8181818181818175,40.909090909090914,0.0,15.909090909090907
Bergheim,NRW,2009,2.1739130434782608,6.521739130434782,30.434782608695656,6.521739130434782,43.47826086956522,0.0,10.869565217391308
Hürth,NRW,2009,4.545454545454546,9.090909090909092,40.909090909090914,6.8181818181818175,38.63636363636363,0.0,1.1102230246251565e-14
Herten,NRW,2009,6.8181818181818175,4.545454545454546,52.27272727272727,4.545454545454546,22.727272727272727,0.0,9.090909090909093
Wesel,NRW,2009,4.0,8.0,38.0,8.0,40.0,0.0,2.0000000000000018
Langenfeld ,NRW,2009,0,11.363636363636363,13.636363636363635,6.8181818181818175,56.81818181818182,0.0,11.363636363636353
Unna,NRW,2009,4.0,12.0,46.0,8.0,28.000000000000004,0.0,2.0000000000000018
Euskirchen,NRW,2009,2.0,12.0,22.0,14.000000000000002,44.0,0.0,6.000000000000005
Stolberg (Rhld.),NRW,2009,4.545454545454546,6.8181818181818175,38.63636363636363,9.090909090909092,36.36363636363637,0.0,4.545454545454541
Eschweiler,NRW,2009,2.0,6.0,50.0,8.0,28.000000000000004,0.0,6.000000000000005
Meerbusch,NRW,2009,0,12.962962962962962,16.666666666666664,22.22222222222222,42.592592592592595,0.0,5.555555555555558
Sankt Augustin,NRW,2009,0,12.0,28.000000000000004,10.0,44.0,0.0,6.000000000000005
Pulheim,NRW,2009,0,12.962962962962962,25.925925925925924,12.962962962962962,44.44444444444444,0.0,3.703703703703709
Hilden,NRW,2009,0,9.090909090909092,29.545454545454547,13.636363636363635,29.545454545454547,0.0,18.181818181818187
Bad Salzuflen,NRW,2009,4.166666666666666,8.333333333333332,33.33333333333333,10.416666666666668,35.41666666666667,0.0,8.333333333333325
Hattingen,NRW,2009,4.3478260869565215,13.043478260869565,41.30434782608695,8.695652173913043,32.608695652173914,0.0,1.1102230246251565e-14
Ahlen,NRW,2009,4.545454545454546,6.8181818181818175,31.818181818181817,6.8181818181818175,38.63636363636363,0.0,11.363636363636365
Menden (Sauerland),NRW,2009,3.8461538461538463,13.461538461538462,23.076923076923077,15.384615384615385,40.38461538461539,0.0,3.8461538461538436
Kleve,NRW,2009,2.083333333333333,12.5,22.916666666666664,10.416666666666668,47.91666666666667,0.0,4.1666666666666625
Frechen,NRW,2009,4.545454545454546,11.363636363636363,29.545454545454547,9.090909090909092,40.909090909090914,0.0,4.545454545454541
Gummersbach,NRW,2009,4.545454545454546,9.090909090909092,27.27272727272727,11.363636363636363,47.72727272727273,0.0,0.0
Ibbenbüren,NRW,2009,4.545454545454546,6.8181818181818175,36.36363636363637,6.8181818181818175,36.36363636363637,0.0,9.090909090909093
Bad Oeynhausen,NRW,2009,4.545454545454546,9.090909090909092,29.545454545454547,6.8181818181818175,34.090909090909086,0.0,15.909090909090917
Gronau (Westf.),NRW,2009,4.761904761904762,0,26.190476190476193,9.523809523809524,40.476190476190474,0.0,19.047619047619047
Willich,NRW,2009,0,10.416666666666668,18.75,12.5,58.333333333333336,0.0,0.0
Bergkamen,NRW,2009,0,9.090909090909092,56.81818181818182,4.545454545454546,25.0,0.0,4.545454545454541
Alsdorf,NRW,2009,5.263157894736842,7.894736842105263,42.10526315789473,5.263157894736842,28.947368421052634,0.0,10.526315789473696
Erftstadt,NRW,2009,0,10.0,34.0,18.0,38.0,0.0,0.0
Hennef (Sieg),NRW,2009,4.545454545454546,11.363636363636363,15.909090909090908,9.090909090909092,45.45454545454545,0.0,13.636363636363647
Herzogenrath,NRW,2009,6.8181818181818175,11.363636363636363,34.090909090909086,9.090909090909092,38.63636363636363,0.0,0.0
Bornheim,NRW,2009,2.272727272727273,13.636363636363635,25.0,9.090909090909092,40.909090909090914,0.0,9.090909090909083
Rheda-Wiedenbrück,NRW,2009,2.5,15.0,17.5,12.5,47.5,0.0,5.000000000000004
Dülmen,NRW,2009,2.272727272727273,4.545454545454546,31.818181818181817,9.090909090909092,45.45454545454545,0.0,6.818181818181812
Bünde,NRW,2009,4.545454545454546,13.636363636363635,31.818181818181817,11.363636363636363,34.090909090909086,0.0,4.545454545454541
Soest,NRW,2009,4.166666666666666,8.333333333333332,22.916666666666664,8.333333333333332,39.58333333333333,0.0,16.666666666666675
Schwerte,NRW,2009,5.263157894736842,10.526315789473683,34.21052631578947,5.263157894736842,39.473684210526315,0.0,5.263157894736848
Brühl,NRW,2009,4.0,14.000000000000002,22.0,8.0,44.0,0.0,7.9999999999999964
Erkelenz,NRW,2009,2.0,16.0,16.0,10.0,42.0,0.0,14.000000000000012
Erkrath,NRW,2009,0,15.217391304347828,23.91304347826087,6.521739130434782,34.78260869565217,0.0,19.565217391304344
Kaarst,NRW,2009,2.1739130434782608,13.043478260869565,13.043478260869565,10.869565217391305,47.82608695652174,0.0,13.043478260869556
Heinsberg,NRW,2009,2.272727272727273,6.8181818181818175,15.909090909090908,11.363636363636363,61.36363636363637,0.0,2.2727272727272707
Borken,NRW,2009,0,7.894736842105263,26.31578947368421,10.526315789473683,42.10526315789473,0.0,13.157894736842113
Kamen,NRW,2009,4.545454545454546,9.090909090909092,54.54545454545454,4.545454545454546,22.727272727272727,0.0,4.545454545454552
Monheim,NRW,2009,2.5,7.5,20.0,7.5,30.0,0.0,32.49999999999999
Siegburg,NRW,2009,2.272727272727273,13.636363636363635,18.181818181818183,9.090909090909092,54.54545454545454,0.0,2.2727272727272707
Nettetal,NRW,2009,0,9.090909090909092,20.454545454545457,11.363636363636363,47.72727272727273,0.0,11.363636363636353
Löhne,NRW,2009,4.545454545454546,6.8181818181818175,43.18181818181818,6.8181818181818175,31.818181818181817,0.0,6.818181818181834
Hückelhoven,NRW,2009,4.545454545454546,4.545454545454546,22.727272727272727,4.545454545454546,56.81818181818182,0.0,6.818181818181812
Königswinter,NRW,2009,2.083333333333333,10.416666666666668,16.666666666666664,10.416666666666668,43.75,0.0,16.666666666666675
Lemgo,NRW,2009,2.1739130434782608,8.695652173913043,28.26086956521739,8.695652173913043,34.78260869565217,0.0,17.391304347826097
Würselen,NRW,2009,0,11.363636363636363,31.818181818181817,11.363636363636363,29.545454545454547,0.0,15.909090909090917
Mettmann,NRW,2009,1.8518518518518516,14.814814814814813,20.37037037037037,14.814814814814813,35.18518518518518,0.0,12.962962962962965
Ahaus,NRW,2009,2.380952380952381,4.761904761904762,16.666666666666664,7.142857142857142,50.0,0.0,19.047619047619047
Haltern,NRW,2009,2.0,16.0,18.0,4.0,46.0,0.0,14.000000000000002
Niederkassel,NRW,2009,2.5,10.0,22.5,17.5,47.5,0.0,1.1102230246251565e-14
Greven,NRW,2009,2.0,6.0,28.000000000000004,10.0,34.0,0.0,19.999999999999996
Kamp-Lintfort,NRW,2009,4.545454545454546,9.090909090909092,52.27272727272727,4.545454545454546,25.0,0.0,4.545454545454552
Coesfeld,NRW,2009,0,7.894736842105263,13.157894736842104,7.894736842105263,42.10526315789473,0.0,28.947368421052634
Wesseling,NRW,2009,4.761904761904762,9.523809523809524,28.57142857142857,11.904761904761903,40.476190476190474,0.0,4.761904761904767
Warendorf,NRW,2009,0,13.636363636363635,20.454545454545457,11.363636363636363,43.18181818181818,0.0,11.363636363636353
Beckum,NRW,2009,0,10.526315789473683,31.57894736842105,7.894736842105263,39.473684210526315,0.0,10.526315789473683
Porta Westfalica,NRW,2009,2.5,10.0,42.5,10.0,32.5,0.0,2.499999999999991
