ERGART;WDATUM;LEER;LEER;LEER;SART;AGS;Name;A;B;C1;C2;Gültige Stimmen;D01 - CDU;D02 - DIE LINKE;D03 - SPD;D04 - FDP;D05 - WASG;D06 - GRÜNE;D07;D08;D09;D10;D11;D12;D13;D14;D15;D16;D17;D18;AGS 2014;NAME 2014
E;22.04.2007;;;;GEM;15001000;Dessau-Ro�lau, Stadt;80425;37150;984;36166;106004;28163;19918;17012;8004;;4404;;400;2119;;;;;5477;746;;19761;;15001000;Dessau-Ro�lau, Stadt
E;22.04.2007;;;;GEM;15082005;Aken (Elbe), Stadt;7930;2780;83;2697;8019;1765;1532;3358;767;;237;;;;;;;255;;;;105;;15082005;Aken (Elbe), Stadt
E;22.04.2007;;;;GEM;15082010;Altje�nitz;436;220;7;213;636;149;157;198;63;;8;;;;;;;36;;;;25;;15082301;Raguhn-Je�nitz, Stadt
E;22.04.2007;;;;GEM;15082015;Bitterfeld-Wolfen, Stadt;41355;13329;504;12825;37645;10117;6404;5506;2105;;691;;;;;;;1188;;;;11634;;15082015;Bitterfeld-Wolfen, Stadt
E;22.04.2007;;;;GEM;15082020;Bobbau;1503;613;14;599;1782;570;339;267;148;;48;;;;;;;79;;;;331;;15082015;Bitterfeld-Wolfen, Stadt
E;22.04.2007;;;;GEM;15082025;Bornum;477;225;10;215;640;137;37;23;18;;19;;;;;;;14;;;;392;;15082430;Zerbst/Anhalt, Stadt
E;22.04.2007;;;;GEM;15082030;Brehna, Stadt;2618;882;18;864;2580;1282;266;667;67;;25;;;;;;;60;;;;213;;15082340;Sandersdorf-Brehna, Stadt
E;22.04.2007;;;;GEM;15082035;Buhlendorf;198;122;5;117;349;111;47;66;17;;12;;;;;;;3;;;;93;;15082430;Zerbst/Anhalt, Stadt
E;22.04.2007;;;;GEM;15082040;Burgkemnitz;722;416;9;407;1204;473;200;225;73;;27;;;;;;;26;;;;180;;15082241;Muldestausee
E;22.04.2007;;;;GEM;15082045;Ch�rau;215;118;4;114;337;90;110;69;26;;22;;;;;;;9;;;;11;;15082256;Osternienburger Land
E;22.04.2007;;;;GEM;15082050;Deetz;633;383;10;373;1110;697;53;52;73;;13;;;;;;;29;;;;193;;15082430;Zerbst/Anhalt, Stadt
E;22.04.2007;;;;GEM;15082055;Diebzig;241;155;7;148;438;124;201;41;12;;27;;;;;;;24;;;;9;;15082256;Osternienburger Land
E;22.04.2007;;;;GEM;15082060;Dobritz;275;125;3;122;364;92;36;22;8;;6;;;;;;;5;;;;195;;15082430;Zerbst/Anhalt, Stadt
E;22.04.2007;;;;GEM;15082065;Dornbock;309;119;5;114;338;106;166;26;20;;7;;;;;;;6;;;;7;;15082256;Osternienburger Land
E;22.04.2007;;;;GEM;15082070;Drosa;540;205;5;200;598;359;103;30;15;;3;;;;;;;4;;;;84;;15082256;Osternienburger Land
E;22.04.2007;;;;GEM;15082075;Edderitz;1097;444;11;433;1299;245;428;456;56;;10;;;;;;;26;;;;78;;15082377;S�dliches Anhalt, Stadt
E;22.04.2007;;;;GEM;15082080;Elsnigk;637;214;6;208;616;140;184;189;52;;21;;;;;;;21;;;;9;;15082256;Osternienburger Land
E;22.04.2007;;;;GEM;15082085;Fra�dorf;213;108;2;106;318;84;139;42;26;;0;;;;;;;24;;;;3;;15082377;S�dliches Anhalt, Stadt
E;22.04.2007;;;;GEM;15082090;Friedersdorf;1547;698;14;684;1991;995;214;315;148;;34;;;;;;;53;;;;232;;15082241;Muldestausee
E;22.04.2007;;;;GEM;15082095;Gehrden;210;83;3;80;239;62;38;41;16;;20;;;;;;;3;;;;59;;15082430;Zerbst/Anhalt, Stadt
E;22.04.2007;;;;GEM;15082100;Glauzig;404;130;2;128;381;143;128;38;18;;5;;;;;;;8;;;;41;;15082377;S�dliches Anhalt, Stadt
E;22.04.2007;;;;GEM;15082105;Glebitzsch;571;208;7;201;596;237;71;138;33;;11;;;;;;;25;;;;81;;15082340;Sandersdorf-Brehna, Stadt
E;22.04.2007;;;;GEM;15082110;G�dnitz;213;105;4;101;298;112;47;23;22;;12;;;;;;;3;;;;79;;15082430;Zerbst/Anhalt, Stadt
E;22.04.2007;;;;GEM;15082115;G�rzig;1140;335;10;325;964;331;324;84;96;;4;;;;;;;22;;;;103;;15082377;S�dliches Anhalt, Stadt
E;22.04.2007;;;;GEM;15082120;Gossa;784;306;16;290;857;324;151;217;79;;6;;;;;;;32;;;;48;;15082241;Muldestausee
E;22.04.2007;;;;GEM;15082125;Grimme;148;62;1;61;183;78;9;29;5;;12;;;;;;;3;;;;47;;15082430;Zerbst/Anhalt, Stadt
E;22.04.2007;;;;GEM;15082130;Gr�bern;573;351;17;334;986;277;133;400;69;;12;;;;;;;49;;;;46;;15082241;Muldestausee
E;22.04.2007;;;;GEM;15082135;Gr�bzig, Stadt;2828;856;34;822;2455;1079;822;226;127;;30;;;;;;;105;;;;66;;15082377;S�dliches Anhalt, Stadt
E;22.04.2007;;;;GEM;15082140;Gro�badegast;579;211;1;210;629;284;202;59;37;;4;;;;;;;26;;;;17;;15082377;S�dliches Anhalt, Stadt
E;22.04.2007;;;;GEM;15082145;Gro�paschleben;794;243;20;223;660;195;183;97;79;;37;;;;;;;43;;;;26;;15082256;Osternienburger Land
E;22.04.2007;;;;GEM;15082150;G�tergl�ck;647;189;5;184;542;177;89;77;64;;16;;;;;;;20;;;;99;;15082430;Zerbst/Anhalt, Stadt
E;22.04.2007;;;;GEM;15082155;Hinsdorf;464;165;6;159;473;141;171;94;32;;2;;;;;;;27;;;;6;;15082377;S�dliches Anhalt, Stadt
E;22.04.2007;;;;GEM;15082160;Hohenlepte;191;73;2;71;213;68;48;37;11;;24;;;;;;;6;;;;19;;15082430;Zerbst/Anhalt, Stadt
E;22.04.2007;;;;GEM;15082165;Je�nitz (Anhalt), Stadt;3266;1064;36;1028;3045;938;554;573;449;;65;;;;;;;194;;;;272;;15082301;Raguhn-Je�nitz, Stadt
E;22.04.2007;;;;GEM;15082170;J�trichau;422;144;4;140;417;95;83;47;23;;11;;;;;;;12;;;;146;;15082430;Zerbst/Anhalt, Stadt
E;22.04.2007;;;;GEM;15082175;Kleinpaschleben;802;200;15;185;545;168;202;113;19;;11;;;;;;;22;;;;10;;15082256;Osternienburger Land
E;22.04.2007;;;;GEM;15082180;K�then (Anhalt), Stadt;25314;8725;260;8465;25156;5573;6559;6363;2546;;2477;;;;;;;706;;;;664;268;15082180;K�then (Anhalt), Stadt
E;22.04.2007;;;;GEM;15082185;Krina;639;223;9;214;622;344;80;97;45;;11;;;;;;;13;;;;32;;15082241;Muldestausee
E;22.04.2007;;;;GEM;15082190;Leps;266;136;1;135;405;130;30;37;14;;22;;;;;;;19;;;;153;;15082430;Zerbst/Anhalt, Stadt
E;22.04.2007;;;;GEM;15082195;Libbesdorf;354;137;5;132;385;104;141;81;24;;5;;;;;;;24;;;;6;;15082256;Osternienburger Land
E;22.04.2007;;;;GEM;15082200;Libehna;238;95;1;94;280;105;102;30;36;;0;;;;;;;4;;;;3;;15082377;S�dliches Anhalt, Stadt
E;22.04.2007;;;;GEM;15082205;Lindau, Stadt;993;319;7;312;927;196;118;233;185;;44;;;;;;;9;;;;142;;15082430;Zerbst/Anhalt, Stadt
E;22.04.2007;;;;GEM;15082210;Maasdorf;340;145;6;139;417;117;90;30;27;;0;;;;;;;18;;;;135;;15082377;S�dliches Anhalt, Stadt
E;22.04.2007;;;;GEM;15082215;Marke;199;119;6;113;336;208;29;49;14;;4;;;;;;;22;;;;10;;15082301;Raguhn-Je�nitz, Stadt
E;22.04.2007;;;;GEM;15082220;Meilendorf;211;101;3;98;293;86;133;26;27;;6;;;;;;;5;;;;10;;15082377;S�dliches Anhalt, Stadt
E;22.04.2007;;;;GEM;15082225;Micheln;663;185;9;176;522;143;185;124;34;;10;;;;;;;17;;;;9;;15082256;Osternienburger Land
E;22.04.2007;;;;GEM;15082230;Moritz;290;110;5;105;315;41;20;30;11;;3;;;;;;;3;;;;207;;15082430;Zerbst/Anhalt, Stadt
E;22.04.2007;;;;GEM;15082235;M�hlbeck;838;350;11;339;1000;499;135;143;63;;7;;;;;;;15;;;;138;;15082241;Muldestausee
E;22.04.2007;;;;GEM;15082240;Muldenstein;1968;751;19;732;2178;810;398;294;222;;28;;;;;;;74;;;;352;;15082241;Muldestausee
E;22.04.2007;;;;GEM;15082245;Nedlitz;593;215;8;207;614;89;63;22;50;;19;;;;;;;9;;;;362;;15082430;Zerbst/Anhalt, Stadt
E;22.04.2007;;;;GEM;15082250;Nutha;243;103;2;101;302;108;29;33;17;;26;;;;;;;6;;;;83;;15082430;Zerbst/Anhalt, Stadt
E;22.04.2007;;;;GEM;15082255;Osternienburg;1859;590;9;581;1716;461;442;664;69;;20;;;;;;;24;;;;36;;15082256;Osternienburger Land
E;22.04.2007;;;;GEM;15082260;Petersroda;527;212;6;206;616;222;145;152;27;;7;;;;;;;11;;;;52;;15082340;Sandersdorf-Brehna, Stadt
E;22.04.2007;;;;GEM;15082265;Piethen;248;77;1;76;228;63;79;29;23;;8;;;;;;;16;;;;10;;15082377;S�dliches Anhalt, Stadt
E;22.04.2007;;;;GEM;15082270;Plodda;416;193;4;189;557;223;104;108;63;;0;;;;;;;9;;;;50;;15082241;Muldestausee
E;22.04.2007;;;;GEM;15082275;Polenzko;283;115;6;109;323;68;15;33;25;;18;;;;;;;6;;;;158;;15082430;Zerbst/Anhalt, Stadt
E;22.04.2007;;;;GEM;15082280;Pouch;1512;674;14;660;1946;756;180;207;112;;34;;;;;;;61;;;;596;;15082241;Muldestausee
E;22.04.2007;;;;GEM;15082285;Prosigk;667;220;13;207;616;254;220;32;70;;9;;;;;;;28;;;;3;;15082377;S�dliches Anhalt, Stadt
E;22.04.2007;;;;GEM;15082290;Quellendorf;905;340;9;331;987;312;358;143;76;;43;;;;;;;30;;;;25;;15082377;S�dliches Anhalt, Stadt
E;22.04.2007;;;;GEM;15082295;Radegast, Stadt;1095;393;18;375;1111;421;328;126;175;;9;;;;;;;28;;;;24;;15082377;S�dliches Anhalt, Stadt
E;22.04.2007;;;;GEM;15082300;Raguhn, Stadt;3276;1297;51;1246;3653;1086;716;920;151;;84;;;;;;;238;;;;458;;15082301;Raguhn-Je�nitz, Stadt
E;22.04.2007;;;;GEM;15082305;Reppichau;424;231;7;224;666;295;177;107;36;;7;;;;;;;26;;;;18;;15082256;Osternienburger Land
E;22.04.2007;;;;GEM;15082310;Retzau;348;148;5;143;424;129;70;94;39;;4;;;;;;;17;;;;71;;15082301;Raguhn-Je�nitz, Stadt
E;22.04.2007;;;;GEM;15082315;Reuden;279;148;0;148;428;41;8;13;22;;15;;;;;;;1;;;;328;;15082430;Zerbst/Anhalt, Stadt
E;22.04.2007;;;;GEM;15082320;Reupzig;289;127;8;119;355;157;98;61;18;;6;;;;;;;9;;;;6;;15082377;S�dliches Anhalt, Stadt
E;22.04.2007;;;;GEM;15082325;Riesdorf;121;98;5;93;275;97;78;18;73;;6;;;;;;;2;;;;1;;15082377;S�dliches Anhalt, Stadt
E;22.04.2007;;;;GEM;15082330;Roitzsch;2335;819;30;789;2344;734;248;882;248;;49;;;;;;;70;;;;113;;15082340;Sandersdorf-Brehna, Stadt
E;22.04.2007;;;;GEM;15082335;R�sa;808;328;10;318;940;272;134;127;240;;14;;;;;;;34;;;;119;;15082241;Muldestausee
E;22.04.2007;;;;GEM;15082340;Sandersdorf;8601;3007;105;2902;8615;3932;1490;1353;513;;137;;;;;;;231;;;;959;;15082340;Sandersdorf-Brehna, Stadt
E;22.04.2007;;;;GEM;15082345;Scheuder;308;141;9;132;391;158;130;17;41;;9;;;;;;;29;;;;7;;15082377;S�dliches Anhalt, Stadt
E;22.04.2007;;;;GEM;15082350;Schierau;719;305;14;291;866;260;179;158;51;;23;;;;;;;143;;;;52;;15082301;Raguhn-Je�nitz, Stadt
E;22.04.2007;;;;GEM;15082355;Schlaitz;899;326;20;306;878;299;155;151;114;;39;;;;;;;46;;;;74;;15082241;Muldestausee
E;22.04.2007;;;;GEM;15082360;Schortewitz;626;236;6;230;684;319;214;74;39;;14;;;;;;;13;;;;11;;15082440;Z�rbig, Stadt
E;22.04.2007;;;;GEM;15082365;Schwemsal;564;212;6;206;617;305;56;64;55;;24;;;;;;;50;;;;63;;15082241;Muldestausee
E;22.04.2007;;;;GEM;15082370;Steutz;849;343;8;335;1000;155;92;75;58;;64;;;;;;;18;;;;538;;15082430;Zerbst/Anhalt, Stadt
E;22.04.2007;;;;GEM;15082375;Straguth;233;61;1;60;180;49;21;16;21;;6;;;;;;;4;;;;63;;15082430;Zerbst/Anhalt, Stadt
E;22.04.2007;;;;GEM;15082380;Thurland;384;149;5;144;429;214;56;59;24;;13;;;;;;;24;;;;39;;15082301;Raguhn-Je�nitz, Stadt
E;22.04.2007;;;;GEM;15082385;Tornau vor der Heide;414;195;12;183;543;177;140;84;37;;23;;;;;;;32;;;;50;;15082301;Raguhn-Je�nitz, Stadt
E;22.04.2007;;;;GEM;15082390;Trebbichau an der Fuhne;326;195;10;185;542;123;153;57;26;;5;;;;;;;9;;;;169;;15082377;S�dliches Anhalt, Stadt
E;22.04.2007;;;;GEM;15082395;Trinum;367;156;4;152;455;124;164;85;28;;15;;;;;;;9;;;;30;;15082256;Osternienburger Land
E;22.04.2007;;;;GEM;15082400;Walternienburg;469;169;7;162;479;150;55;74;36;;23;;;;;;;12;;;;129;;15082430;Zerbst/Anhalt, Stadt
E;22.04.2007;;;;GEM;15082405;Wei�andt-G�lzau;1626;606;16;590;1755;537;933;104;77;;29;;;;;;;53;;;;22;;15082377;S�dliches Anhalt, Stadt
E;22.04.2007;;;;GEM;15082410;Wieskau;302;118;10;108;319;142;53;41;34;;3;;;;;;;12;;;;34;;15082377;S�dliches Anhalt, Stadt
E;22.04.2007;;;;GEM;15082415;Wulfen;1005;319;21;298;878;336;329;97;46;;10;;;;;;;30;;;;30;;15082256;Osternienburger Land
E;22.04.2007;;;;GEM;15082420;Zabitz;454;162;4;158;474;215;142;38;42;;6;;;;;;;13;;;;18;;15082256;Osternienburger Land
E;22.04.2007;;;;GEM;15082425;Zehbitz;310;119;6;113;337;121;115;26;67;;5;;;;;;;1;;;;2;;15082377;S�dliches Anhalt, Stadt
E;22.04.2007;;;;GEM;15082430;Zerbst/Anhalt, Stadt;13758;3658;27;3631;10866;3024;1750;2765;1257;;598;;;;;;;266;;;;1206;;15082430;Zerbst/Anhalt, Stadt
E;22.04.2007;;;;GEM;15082435;Zernitz;219;104;3;101;299;52;33;21;21;;3;;;;;;;2;;;;167;;15082430;Zerbst/Anhalt, Stadt
E;22.04.2007;;;;GEM;15082440;Z�rbig, Stadt;8464;3261;110;3151;9343;2643;1023;1170;705;;181;;;;;;;290;;;;3331;;15082440;Z�rbig, Stadt
E;22.04.2007;;;;GEM;15083005;Ackendorf;342;134;3;131;389;158;64;101;21;3;36;;;;;;;;;;;6;;15083298;Hohe B�rde
E;22.04.2007;;;;GEM;15083010;Alleringersleben;389;181;11;170;506;358;38;56;5;;8;;;;;;;;;;;25;16;15083323;Ingersleben
E;22.04.2007;;;;GEM;15083015;Altbrandsleben;309;146;3;143;426;109;91;177;28;;17;;;;;;;;;;;4;;15083415;Oschersleben (Bode), Stadt
E;22.04.2007;;;;GEM;15083020;Altenhausen;326;127;3;124;369;197;77;46;12;;9;;;;;;;;;;;23;5;15083020;Altenhausen
E;22.04.2007;;;;GEM;15083025;Am Gro�en Bruch;1487;569;15;554;1628;356;189;1010;36;;25;;;;;;;;;;;12;;15083025;Am Gro�en Bruch
E;22.04.2007;;;;GEM;15083030;Angern;1150;431;22;409;1185;765;148;132;59;;51;;;;;;;;;;;30;;15083030;Angern
E;22.04.2007;;;;GEM;15083035;Ausleben;1694;566;28;538;1562;644;324;449;115;;17;;;;;;;;;;;13;;15083035;Ausleben
E;22.04.2007;;;;GEM;15083040;Barleben;8092;3576;86;3490;10199;3100;838;1186;4280;106;265;;;;;;;;;;;424;;15083040;Barleben
