Wahl,Ebene,Schlüssel,Bezeichnung,Ebene 1,Ortnummer,Ortname,WB_OSVM,WB_MSVM,WB_A3,Wahlberechtigte,Wähler,Wähler_MWS,Briefwähler,ungültige Stimmzettel,gültige Stimmzettel,gültige Stimmen,CDU,DIE LINKE,SPD,AfD,FDP,NPD,GRÜNE,DSU,PIRATEN,Aufbruch deutscher Patrioten,III. Weg,Blaue #TeamPetry,FREIE WÄHLER,Die Partei,Tierschutzpartei,Wählervereinigungen,Einzelvorschläge,,Wahlbeteiligung,ungültige Stimmzettel in %,gültige Stimmzettel in %,CDU in %,DIE LINKE in %,SPD in %,AfD in %,FDP in %,NPD in %,GRÜNE in %,DSU in %,PIRATEN in %,Aufbruch deutscher Patrioten in %,III. Weg in %,Blaue #TeamPetry in %,FREIE WÄHLER in %,Die Partei in %,Tierschutzpartei in %,Wählervereinigungen in %,Einzelvorschläge in %
GR19,SN,14,Sachsen,KS,14511000,"Chemnitz, Stadt","166,028","30,487",0,"196,515","120,385","28,063","27,893","1,837","118,548","346,690","69,195","58,009","40,357","62,053","25,623",x,"39,908",x,"6,817",x,x,x,x,"10,260",x,"34,468",x,x,61.3,1.5,98.5,20.0,16.7,11.6,17.9,7.4,x,11.5,x,2.0,x,x,x,x,3.0,x,9.9,x
GR19,LK,14521,Erzgebirgskreis,GE,14521010,Amtsberg,"2,630",376,0,"3,006","2,190",351,351,36,"2,154","6,220","2,836",459,859,"1,126",x,x,290,x,x,x,x,x,x,x,x,650,x,x,72.9,1.6,98.4,45.6,7.4,13.8,18.1,x,x,4.7,x,x,x,x,x,x,x,x,10.5,x
GR19,LK,14521,Erzgebirgskreis,GE,14521020,"Annaberg-Buchholz, Stadt","14,506","2,167",0,"16,673","9,762","1,933","1,931",194,"9,568","27,691","5,982","2,708","1,459","5,144",x,x,994,x,x,x,x,x,x,x,x,"11,404",x,x,58.5,2.0,98.0,21.6,9.8,5.3,18.6,x,x,3.6,x,x,x,x,x,x,x,x,41.2,x
GR19,LK,14521,Erzgebirgskreis,GE,14521035,"Aue-Bad Schlema, Stadt","14,749","2,332",0,"17,081","10,287","2,076","2,072",218,"10,069","29,126","6,859","3,178","1,187","3,168",x,"2,493",786,x,x,x,x,x,x,x,x,"11,455",x,x,60.2,2.1,97.9,23.5,10.9,4.1,10.9,x,8.6,2.7,x,x,x,x,x,x,x,x,39.3,x
GR19,LK,14521,Erzgebirgskreis,GE,14521040,Auerbach,"1,840",252,0,"2,092","1,390",233,233,88,"1,302","3,793",578,x,x,x,x,x,x,x,x,x,x,x,x,x,x,"3,215",x,x,66.4,6.3,93.7,15.2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,84.8,x
GR19,LK,14521,Erzgebirgskreis,GE,14521060,Bärenstein,"1,490",439,0,"1,929","1,399",408,408,29,"1,370","4,017",989,x,x,750,x,x,x,x,x,x,x,x,x,x,x,"2,278",x,x,72.5,2.1,97.9,24.6,x,x,18.7,x,x,x,x,x,x,x,x,x,x,x,56.7,x
GR19,LK,14521,Erzgebirgskreis,GE,14521080,Bockau,"1,678",199,0,"1,877","1,283",178,178,44,"1,239","3,580","3,027",x,553,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,68.4,3.4,96.6,84.6,x,15.4,x,x,x,x,x,x,x,x,x,x,x,x,x,x
GR19,LK,14521,Erzgebirgskreis,GE,14521090,Börnichen/Erzgeb.,719,94,0,813,529,90,90,23,506,"1,490",x,84,x,x,x,x,x,x,x,x,x,x,x,x,x,"1,406",x,x,65.1,4.3,95.7,x,5.6,x,x,x,x,x,x,x,x,x,x,x,x,x,94.4,x
GR19,LK,14521,Erzgebirgskreis,GE,14521110,Breitenbrunn/Erzgeb.,"3,872",556,0,"4,428","2,667",486,482,99,"2,568","7,429","3,922",490,672,x,x,x,175,x,x,x,x,x,x,x,x,"2,170",x,x,60.2,3.7,96.3,52.8,6.6,9.0,x,x,x,2.4,x,x,x,x,x,x,x,x,29.2,x
GR19,LK,14521,Erzgebirgskreis,GE,14521120,Burkhardtsdorf,"4,499",562,0,"5,061","3,295",523,520,85,"3,210","9,303","2,891",568,x,"1,446",x,x,364,x,x,x,x,x,x,x,x,"4,034",x,x,65.1,2.6,97.4,31.1,6.1,x,15.5,x,x,3.9,x,x,x,x,x,x,x,x,43.4,x
GR19,LK,14521,Erzgebirgskreis,GE,14521130,Crottendorf,"3,036",312,0,"3,348","2,381",286,286,91,"2,290","6,564","1,740",x,x,x,x,x,x,x,x,x,x,x,x,x,x,"4,824",x,x,71.1,3.8,96.2,26.5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,73.5,x
GR19,LK,14521,Erzgebirgskreis,GE,14521140,Deutschneudorf,745,93,0,838,565,82,81,19,546,"1,606",x,x,49,x,649,x,x,x,x,x,x,x,x,x,x,908,x,x,67.4,3.4,96.6,x,x,3.1,x,40.4,x,x,x,x,x,x,x,x,x,x,56.5,x
GR19,LK,14521,Erzgebirgskreis,GE,14521150,Drebach,"3,705",511,0,"4,216","2,948",463,463,145,"2,803","8,100","3,895",x,x,x,x,x,474,x,x,x,x,x,x,x,x,"3,731",x,x,69.9,4.9,95.1,48.1,x,x,x,x,x,5.9,x,x,x,x,x,x,x,x,46.1,x
GR19,LK,14521,Erzgebirgskreis,GE,14521160,"Ehrenfriedersdorf, Stadt","3,409",525,0,"3,934","2,548",472,472,69,"2,479","7,085","3,130",685,x,x,x,x,x,x,x,x,x,x,x,x,x,"3,270",x,x,64.8,2.7,97.3,44.2,9.7,x,x,x,x,x,x,x,x,x,x,x,x,x,46.2,x
GR19,LK,14521,Erzgebirgskreis,GE,14521170,"Eibenstock, Stadt","5,594",634,0,"6,228","3,865",620,620,65,"3,800","10,990","4,875",600,"1,358","1,750",x,x,x,x,x,x,x,x,x,x,x,"2,407",x,x,62.1,1.7,98.3,44.4,5.5,12.4,15.9,x,x,x,x,x,x,x,x,x,x,x,21.9,x
GR19,LK,14521,Erzgebirgskreis,GE,14521180,"Elterlein, Stadt","2,132",289,0,"2,421","1,722",191,191,47,"1,675","4,942","1,942",x,x,923,x,x,x,x,x,x,x,x,x,x,x,"2,077",x,x,71.1,2.7,97.3,39.3,x,x,18.7,x,x,x,x,x,x,x,x,x,x,x,42.0,x
GR19,LK,14521,Erzgebirgskreis,GE,14521200,Gelenau/Erzgeb.,"3,158",305,0,"3,463","2,533",288,286,62,"2,471","7,302","3,117",714,x,x,x,x,x,x,x,x,x,x,x,x,x,"3,471",x,x,73.1,2.4,97.6,42.7,9.8,x,x,x,x,x,x,x,x,x,x,x,x,x,47.5,x
GR19,LK,14521,Erzgebirgskreis,GE,14521210,"Geyer, Stadt","2,672",267,0,"2,939","1,941",247,247,48,"1,893","5,421","1,514","1,081",x,x,x,x,x,x,x,x,x,x,x,x,x,"2,826",x,x,66.0,2.5,97.5,27.9,19.9,x,x,x,x,x,x,x,x,x,x,x,x,x,52.1,x
GR19,LK,14521,Erzgebirgskreis,GE,14521220,Gornau/Erzgeb.,"2,836",314,0,"3,150","2,193",294,294,65,"2,128","6,176","3,106",x,399,x,x,x,345,x,x,x,x,x,x,x,x,"2,326",x,x,69.6,3.0,97.0,50.3,x,6.5,x,x,x,5.6,x,x,x,x,x,x,x,x,37.7,x
GR19,LK,14521,Erzgebirgskreis,GE,14521230,Gornsdorf,"1,362",257,0,"1,619","1,052",224,224,42,"1,010","2,896","1,316",549,x,x,x,x,x,x,x,x,x,x,x,x,x,"1,031",x,x,65.0,4.0,96.0,45.4,19.0,x,x,x,x,x,x,x,x,x,x,x,x,x,35.6,x
GR19,LK,14521,Erzgebirgskreis,GE,14521240,Großolbersdorf,"2,054",294,0,"2,348","1,718",283,283,41,"1,677","4,934","1,906",x,498,x,x,x,x,x,x,x,x,x,x,x,x,"2,530",x,x,73.2,2.4,97.6,38.6,x,10.1,x,x,x,x,x,x,x,x,x,x,x,x,51.3,x
GR19,LK,14521,Erzgebirgskreis,GE,14521250,Großrückerswalde,"2,560",216,0,"2,776","2,050",198,197,38,"2,012","5,902","3,010",191,x,x,x,x,x,x,x,x,x,x,x,x,x,"2,701",x,x,73.8,1.9,98.1,51.0,3.2,x,x,x,x,x,x,x,x,x,x,x,x,x,45.8,x
GR19,LK,14521,Erzgebirgskreis,GE,14521260,"Grünhain-Beierfeld, Stadt","4,434",518,0,"4,952","2,992",467,451,93,"2,899","8,350","3,110",611,292,x,x,x,261,x,x,x,x,x,x,x,x,"4,076",x,x,60.4,3.1,96.9,37.2,7.3,3.5,x,x,x,3.1,x,x,x,x,x,x,x,x,48.8,x
GR19,LK,14521,Erzgebirgskreis,GE,14521270,Grünhainichen,"2,474",353,0,"2,827","1,873",330,330,45,"1,828","5,380","1,095",x,x,x,x,x,x,x,x,x,x,x,x,x,x,"4,285",x,x,66.3,2.4,97.6,20.4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,79.6,x
GR19,LK,14521,Erzgebirgskreis,GE,14521280,Heidersdorf,603,60,0,663,441,58,58,15,426,"1,255",x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,"1,255",x,x,66.5,3.4,96.6,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,100.0,x
