KreisNr,GemeindeNr,Gemeindename,Zu vergebene Sitze,Mehrheitswahl,Wahlberechtiget,Wähler,Wahlbeteiligung,Ungültige Stimmabgaben,Gültige Stimmabgaben,Gültige Stimmen,CDU,SPD,DIE LINKE,FDP,GRÜNE,Sonstige
51,51000,"Erfurt, Stadt",50,,166273,106793,64.2,3627,103166,305629,17,14,13,-,6,-
52,52000,"Gera, Stadt",46,,98668,64010,64.9,2424,61586,181307,15,11,14,-,3,3
53,53000,"Jena, Stadt",46,,79402,53391,67.2,1499,51892,153069,10,12,9,7,5,3
54,54000,"Suhl, Stadt",42,,41697,29171,70,830,28341,84155,13,10,14,-,-,5
55,55000,"Weimar, Stadt",42,,48029,33629,70,1280,32349,96034,13,13,7,3,6,-
61,61001,Arenshausen,12,,745,624,83.8,25,599,1763,5,4,-,-,-,3
61,61002,Asbach-Sickenberg,6,x,78,70,89.7,2,68,372,-,-,-,-,-,6
61,61003,Berlingerode,12,,935,703,75.2,26,677,2008,5,-,-,7,-,-
61,61004,Bernterode (bei Heilbad Heiligenstadt),6,,229,189,82.5,16,173,514,4,-,-,-,-,2
61,61005,Bernterode (bei Worbis),12,,1191,1015,85.2,37,978,2921,8,4,-,-,-,-
61,61006,Beuren,12,,961,810,84.3,78,732,2167,10,-,-,-,-,2
61,61007,Birkenfelde,8,,444,364,82,25,339,1013,7,-,-,-,-,1
61,61008,Birkungen,12,,1009,838,83.1,31,807,2408,6,-,-,4,-,2
61,61009,Bischofferode,14,,1942,1457,75,46,1411,4190,6,3,-,3,-,2
61,61011,Bockelnhagen,8,,353,292,82.7,15,277,821,-,6,-,-,-,2
61,61012,Bodenrode-Westhausen,12,,846,756,89.4,26,730,2171,7,-,-,-,-,5
61,61013,Böseckendorf,6,x,188,147,78.2,19,128,575,6,-,-,-,-,-
61,61014,Bornhagen,6,,220,205,93.2,6,199,589,1,3,-,-,-,2
61,61015,Brehme,12,,878,788,89.7,24,764,2283,7,2,-,-,-,3
61,61016,Breitenbach,8,,663,568,85.7,23,545,1611,6,-,-,-,-,2
61,61017,Breitenworbis,14,,1679,1431,85.2,41,1390,4084,6,4,-,4,-,-
61,61018,Büttstedt,12,,718,640,89.1,33,607,1789,9,-,-,-,-,3
61,61019,Buhla,8,,501,394,78.6,23,371,1100,1,4,-,3,-,-
