KreisNr,GemeindeNr,Gemeindename,Anzahl Stimmbezirke,Zu vergebene Sitze,Mehrheitswahl,Wahlberechtiget,Wähler,Wahlbeteiligung,Ungültige Stimmabgaben,Gültige Stimmabgaben,Gültige Stimmen,CDU,DIE LINKE,SPD,FDP,GRÜNE,Sonstige
51,51000,Stadt Erfurt,174,50,,168053,80985,48.2,2297,78688,234224,11,10,17,3,4,5
52,52000,Stadt Gera,90,46,,85655,39652,46.3,1140,38512,113626,13,14,6,3,2,8
53,53000,Stadt Jena,96,46,,85661,46476,54.3,1096,45380,135091,9,9,11,5,5,7
54,54000,Stadt Suhl,35,36,,34306,16236,47.3,503,15733,46673,8,11,6,3,-,8
55,55000,Stadt Weimar,69,42,,51996,28098,54,755,27343,81342,10,8,6,3,6,9
56,56000,Stadt Eisenach,47,36,,35867,18043,50.3,397,17646,52265,12,7,6,2,3,6
61,61001,Arenshausen,1,12,,846,525,62.1,10,515,1542,4,-,1,-,-,7
61,61002,Asbach-Sickenberg,1,6,x,94,79,84,4,75,390,-,-,-,-,-,6
61,61003,Berlingerode,1,12,,1040,559,53.8,16,543,1628,7,-,-,5,-,-
61,61004,Bernterode (b. Heilb. Heiligenst.),1,6,x,232,146,62.9,1,145,739,-,-,-,-,-,6
61,61005,Bernterode (bei Worbis),1,12,,1125,633,56.3,28,605,1800,4,-,-,-,-,8
61,61007,Birkenfelde,1,8,x,487,312,64.1,6,306,1937,-,-,-,-,-,8
61,61009,Bischofferode,3,12,,1600,857,53.6,26,831,2441,5,-,-,-,-,7
61,61011,Bockelnhagen,2,6,,363,193,53.2,6,187,551,-,-,4,-,-,2
61,61012,Bodenrode-Westhausen,2,12,,987,679,68.8,45,634,1892,9,-,-,-,-,3
61,61014,Bornhagen,1,6,x,238,179,75.2,12,167,718,-,-,-,-,-,6
61,61015,Brehme,1,12,,958,664,69.3,18,646,1937,5,-,-,-,-,7
61,61017,Breitenworbis,1,14,,1828,925,50.6,49,876,2616,10,-,4,-,-,-
61,61018,Büttstedt,1,8,x,758,431,56.9,27,404,2665,8,-,-,-,-,-
61,61019,Buhla,2,8,,478,352,73.6,17,335,999,-,1,3,-,-,4
61,61021,Burgwalde,1,6,,205,146,71.2,9,137,405,-,-,-,-,-,6
61,61022,Deuna,1,12,,816,540,66.2,14,526,1536,8,-,-,-,-,4
61,61023,Dieterode,1,6,x,77,61,79.2,5,56,304,-,-,-,-,-,6
61,61024,Dietzenrode/Vatterode,1,6,,101,73,72.3,5,68,196,-,-,-,-,-,6
61,61025,"Dingelstädt, Stadt",5,16,,3817,2175,57,49,2126,6297,10,1,-,2,-,3
61,61026,Ecklingerode,1,8,,619,371,59.9,18,353,1052,2,-,-,-,-,6
61,61027,Effelder,1,12,x,1115,617,55.3,28,589,5220,-,-,-,-,-,12
61,61028,Eichstruth,1,6,x,72,61,84.7,-,61,342,-,-,-,-,-,6
61,61031,Ferna,1,8,,486,309,63.6,10,299,890,6,-,-,-,-,2
61,61032,Freienhagen,1,6,x,272,159,58.5,5,154,694,6,-,-,-,-,-
61,61033,Fretterode,1,6,x,147,103,70.1,-,103,557,-,-,-,-,-,6
61,61034,Geisleden,1,12,x,911,550,60.4,15,535,4199,12,-,-,-,-,-
61,61035,Geismar,3,12,,1023,618,60.4,22,596,1772,8,-,-,-,-,4
61,61036,Gerbershausen,1,8,x,541,367,67.8,12,355,2393,8,-,-,-,-,-
