KreisNr,GemeindeNr,Gemeindename,Anzahl Stimmbezirke,Zu vergebene Sitze,Mehrheitswahl,Wahlberechtiget,Wähler,Wahlbeteiligung,Ungültige Stimmabgaben,Gültige Stimmabgaben,Gültige Stimmen,CDU,DIE LINKE,SPD,AfD,GRÜNE,FDP,Sonstige
51,51000,"Erfurt, Stadt",176,50,,172389,100724,58.4,3232,97492,289922,10,8,9,7,6,3,7
52,52000,"Gera, Stadt",93,42,,78537,44228,56.3,1420,42808,126400,6,8,3,12,3,1,9
53,53000,"Jena, Stadt",114,46,,84990,53661,63.1,1121,52540,155905,6,9,6,5,9,6,5
54,54000,"Suhl, Stadt",36,36,,31916,17446,54.7,361,17085,50782,11,7,4,4,2,1,7
55,55000,"Weimar, Stadt",70,42,,51736,31841,61.5,1155,30686,91182,7,7,6,5,8,1,8
56,56000,"Eisenach, Stadt",47,36,,34446,19960,57.9,351,19609,57981,7,8,4,4,4,2,7
61,61001,Arenshausen,1,8,,825,532,64.5,21,511,1522,3,-,-,-,-,-,5
61,61002,Asbach-Sickenberg,1,6,x,82,70,85.4,1,69,300,-,-,-,-,-,-,6
61,61003,Berlingerode,1,12,,1015,621,61.2,15,606,1795,8,-,-,-,-,-,4
61,61007,Birkenfelde,1,8,x,477,330,69.2,7,323,2020,-,-,-,-,-,-,8
61,61012,Bodenrode-Westhausen,2,12,,926,660,71.3,10,650,1905,5,-,-,-,-,-,7
61,61014,Bornhagen,1,6,x,205,169,82.4,9,160,670,-,-,-,-,-,-,6
61,61015,Brehme,1,12,,915,632,69.1,14,618,1834,5,-,-,-,-,-,7
61,61017,Breitenworbis,2,16,,2753,1740,63.2,36,1704,5058,7,-,2,-,-,-,7
61,61018,Büttstedt,1,8,x,713,445,62.4,22,423,1962,7,-,-,-,-,-,1
61,61019,Buhla,2,6,,422,265,62.8,14,251,747,-,-,4,-,-,-,2
61,61021,Burgwalde,1,6,,197,144,73.1,12,132,394,-,-,-,-,-,-,6
61,61023,Dieterode,1,6,x,62,52,83.9,-,52,287,-,-,-,-,-,-,6
61,61024,Dietzenrode/Vatterode,1,6,x,103,93,90.3,1,92,464,-,-,-,-,-,-,6
61,61026,Ecklingerode,1,8,,593,380,64.1,17,363,1089,1,-,-,-,-,-,7
61,61027,Effelder,1,12,x,1010,654,64.8,57,597,5047,-,-,-,-,-,-,12
61,61028,Eichstruth,1,6,x,71,64,90.1,3,61,312,-,-,-,-,-,-,6
61,61031,Ferna,1,8,x,491,348,70.9,14,334,2117,8,-,-,-,-,-,-
61,61032,Freienhagen,1,6,x,237,191,80.6,17,174,910,-,-,-,-,-,-,6
