KreisNr,GemeindeNr,Gemeindename,Anzahl Stimmbezirke,Zu vergebene Sitze,Mehrheitswahl,Wahlberechtiget,Wähler,Wahlbeteiligung,Ungültige Stimmabgaben,Gültige Stimmabgaben,Gültige Stimmen,DIE LINKE,AfD,CDU,SPD,GRÜNE,FDP,Sonstige
51,51000,"Erfurt, Stadt",210,50,,169887,100530,59.2,3251,97279,289086,8,10,12,8,4,1,7
52,52000,"Gera, Stadt",114,42,,75091,44012,58.6,1533,42479,124756,5,15,7,2,1,-,12
53,53000,"Jena, Stadt",137,46,,82605,52054,63,1521,50533,150734,8,6,8,6,7,4,7
54,54000,"Suhl, Stadt",40,36,,30226,17339,57.4,539,16800,49777,4,9,13,2,1,1,6
55,55000,"Weimar, Stadt",81,42,,50968,30776,60.4,1123,29653,88373,6,6,8,6,6,1,9
61,61001,Arenshausen,1,12,,814,521,64,8,513,1529,-,-,3,-,-,-,9
61,61002,Asbach-Sickenberg,1,6,x,94,63,67,2,61,282,-,-,-,-,-,-,6
61,61003,Berlingerode,1,12,,1019,594,58.3,25,569,1697,-,-,9,-,-,-,3
61,61012,Bodenrode-Westhausen,2,12,,902,646,71.6,26,620,1837,-,-,8,-,-,-,4
61,61014,Bornhagen,1,6,x,203,164,80.8,8,156,713,-,-,-,-,-,-,6
61,61015,Brehme,1,12,,862,585,67.9,22,563,1681,-,-,4,-,-,-,8
61,61017,Breitenworbis,2,16,,2686,1822,67.8,55,1767,5277,-,-,7,-,-,-,9
61,61018,Büttstedt,1,8,,698,494,70.8,24,470,1396,-,-,6,-,-,-,2
61,61019,Buhla,2,6,,406,256,63.1,11,245,718,-,-,-,-,-,-,6
61,61021,Burgwalde,1,6,,188,138,73.4,6,132,396,-,-,-,-,-,-,6
61,61023,Dieterode,1,6,x,58,43,74.1,-,43,229,-,-,-,-,-,-,6
61,61024,Dietzenrode/Vatterode,1,6,x,100,90,90,3,87,420,-,-,-,-,-,-,6
61,61026,Ecklingerode,1,8,,578,375,64.9,12,363,1085,-,-,2,-,-,-,6
61,61027,Effelder,1,12,x,989,684,69.2,8,676,5809,-,-,-,-,-,-,12
61,61031,Ferna,1,8,x,435,297,68.3,10,287,1752,-,-,8,-,-,-,-
61,61032,Freienhagen,1,6,x,241,163,67.6,6,157,767,-,-,6,-,-,-,-
61,61033,Fretterode,1,6,,148,110,74.3,1,109,326,-,-,-,-,-,-,6
61,61034,Geisleden,1,8,x,833,600,72,12,588,3386,-,-,8,-,-,-,-
61,61035,Geismar,3,12,,906,637,70.3,27,610,1774,-,-,5,-,-,-,7
61,61036,Gerbershausen,1,8,x,517,379,73.3,9,370,2133,-,-,8,-,-,-,-
61,61037,Gernrode,1,12,,1241,933,75.2,13,920,2745,-,-,7,-,-,-,5
61,61041,Großbartloff,1,8,,766,606,79.1,11,595,1783,-,-,5,-,-,-,3
61,61044,Haynrode,1,8,,571,319,55.9,22,297,878,-,-,3,-,-,-,5
61,61045,"Heilbad Heiligenstadt, Stadt",26,24,,14984,9476,63.2,168,9308,27720,1,3,11,1,1,1,6
61,61047,Heuthen,1,8,,600,466,77.7,14,452,1355,-,-,3,-,-,-,5
61,61048,Hohengandern,1,8,,471,364,77.3,14,350,1045,-,-,2,-,-,-,6
61,61056,Kella,1,6,,408,292,71.6,12,280,837,-,-,-,-,-,-,6
61,61057,Kirchgandern,1,8,,488,363,74.4,20,343,1022,-,-,5,-,-,-,3
61,61058,Kirchworbis,1,12,x,1076,725,67.4,41,684,5905,-,-,-,-,-,-,12
61,61062,Krombach,1,6,x,146,105,71.9,-,105,569,-,-,-,-,-,-,6
61,61063,Küllstedt,1,12,,1092,834,76.4,19,815,2434,-,2,7,-,-,-,3
