Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City
DEBB060,NO2,2013,26.602,ug/m3,Traffic,Urban,BB,Barnim,Eberswalde
DEBB021,NO2,2013,19.136,ug/m3,Background,Urban,BB,Potsdam,Potsdam
DEBB065,NO2,2019,6.784,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig
DEBB029,NO2,2019,9.617,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder
DEBB029,NO2,2023,6.411,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder
DEBB048,NO2,2014,14.902,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin
DEBB064,NO2,2014,14.124,ug/m3,Background,Urban,BB,Cottbus,Cottbus
DEBB064,NO2,2022,9.568,ug/m3,Background,Urban,BB,Cottbus,Cottbus
DEBB044,NO2,2019,25.78,ug/m3,Traffic,Urban,BB,Cottbus,Cottbus
DEBB044,NO2,2020,22.025,ug/m3,Traffic,Urban,BB,Cottbus,Cottbus
DEBB049,NO2,2013,24.076,ug/m3,Traffic,Urban,BB,Brandenburg an der Havel,Brandenburg an der Havel
DEBB049,NO2,2016,28.251,ug/m3,Traffic,Urban,BB,Brandenburg an der Havel,Brandenburg an der Havel
DEBB049,NO2,2018,26.155,ug/m3,Traffic,Urban,BB,Brandenburg an der Havel,Brandenburg an der Havel
DEBB055,NO2,2025,5.5,ug/m3,Background,Suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel
DEBB007,NO2,2017,11.676,ug/m3,Background,Suburban,BB,Elbe-Elster,Elsterwerda
DEBB007,NO2,2020,11.217,ug/m3,Background,Suburban,BB,Elbe-Elster,Elsterwerda
DEBB053,NO2,2016,9.354,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz
DEBB053,NO2,2024,5.189,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz
DEBB067,NO2,2013,11.666,ug/m3,Background,Suburban,BB,Havelland,Nauen
DEBB067,NO2,2017,10.612,ug/m3,Background,Suburban,BB,Havelland,Nauen
DEBB067,NO2,2020,10.725,ug/m3,Background,Suburban,BB,Havelland,Nauen
DEBB075,NO2,2016,14.384,ug/m3,Background,Suburban,BB,Potsdam,Potsdam
DEBB054,NO2,2014,41.021,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam
DEBB054,NO2,2017,34.28,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam
DEBB054,NO2,2025,12.273,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam
DEBB086,NO2,2014,14.561,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow
DEBB086,NO2,2020,12.583,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow
DEBB029,NO2,2020,8.45,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder
DEBB029,NO2,2021,8.894,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder
DEBB029,NO2,2022,8.019,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder
DEBB068,NO2,2013,25.125,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin
DEBB068,NO2,2014,26.808,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin
DEBB068,NO2,2017,24.148,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin
DEBB068,NO2,2020,20.078,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin
DEBB065,NO2,2018,7.357,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig
DEBE056,NO2,2013,12.671,ug/m3,Background,Rural,BE,Berlin,Berlin
DEBE056,NO2,2015,12.847,ug/m3,Background,Rural,BE,Berlin,Berlin
DEBE056,NO2,2016,13.489,ug/m3,Background,Rural,BE,Berlin,Berlin
DEBE056,NO2,2017,12.799,ug/m3,Background,Rural,BE,Berlin,Berlin
DEBE056,NO2,2019,10.992,ug/m3,Background,Rural,BE,Berlin,Berlin
DEBB032,NO2,2023,7.11,ug/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt
DEBB060,NO2,2016,25.777,ug/m3,Traffic,Urban,BB,Barnim,Eberswalde
DEBB060,NO2,2018,22.921,ug/m3,Traffic,Urban,BB,Barnim,Eberswalde
DEBB060,NO2,2021,22.566,ug/m3,Traffic,Urban,BB,Barnim,Eberswalde
DEBB073,NO2,2020,26.975,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam
DEBB083,NO2,2017,9.484,ug/m3,Background,Suburban,BB,Spree-Neiße,Spremberg
DEBB073,NO2,2018,32.313,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam
DEBB073,NO2,2021,24.793,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam
DEBB066,NO2,2018,7.707,ug/m3,Background,Rural,BB,Dahme-Spreewald,Lieberose/Oberspreewald
DEBB066,NO2,2019,6.557,ug/m3,Background,Rural,BB,Dahme-Spreewald,Lieberose/Oberspreewald
DEBB066,NO2,2024,4.053,ug/m3,Background,Rural,BB,Dahme-Spreewald,Lieberose/Oberspreewald
DEBB066,NO2,2025,3.727,ug/m3,Background,Rural,BB,Dahme-Spreewald,Lieberose/Oberspreewald
DEBB044,NO2,2013,32.703,ug/m3,Traffic,Urban,BB,Cottbus,Cottbus
DEBB044,NO2,2024,16.46,ug/m3,Traffic,Urban,BB,Cottbus,Cottbus
DEBE069,NO2,2017,46.975,ug/m3,Traffic,Urban,BE,Berlin,Berlin
DEBB045,NO2,2015,37.081,ug/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder)
DEBB045,NO2,2018,34.49,ug/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder)
DEBB045,NO2,2020,27.755,ug/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder)
DEBB045,NO2,2024,27.267,ug/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder)
DEBB048,NO2,2020,11.279,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin
DEBB048,NO2,2025,6.932,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin
DEBB055,NO2,2020,10.843,ug/m3,Background,Suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel
DEBB055,NO2,2024,7.459,ug/m3,Background,Suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel
DEBB048,NO2,2024,7.32,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin
DEBB075,NO2,2013,14.144,ug/m3,Background,Suburban,BB,Potsdam,Potsdam
DEBB075,NO2,2023,8.04,ug/m3,Background,Suburban,BB,Potsdam,Potsdam
