Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City
DEBB007,PM10,2018,20.131,ug/m3,Background,Suburban,BB,Elbe-Elster,Elsterwerda
DEBB007,PM10,2019,16.065,ug/m3,Background,Suburban,BB,Elbe-Elster,Elsterwerda
DEBB060,PM10,2020,14.066,ug/m3,Traffic,Urban,BB,Barnim,Eberswalde
DEBB021,PM10,2015,20.442,ug/m3,Background,Urban,BB,Potsdam,Potsdam
DEBB021,PM10,2024,14.614,ug/m3,Background,Urban,BB,Potsdam,Potsdam
DEBB021,PM10,2013,19.435,ug/m3,Background,Urban,BB,Potsdam,Potsdam
DEBB045,PM10,2016,26.318,ug/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder)
DEBB021,PM10,2016,19.738,ug/m3,Background,Urban,BB,Potsdam,Potsdam
DEBB053,PM10,2019,17.52,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz
DEBB032,PM10,2013,20.145,ug/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt
DEBB032,PM10,2016,20.738,ug/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt
DEBB032,PM10,2022,16.791,ug/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt
DEBB054,PM10,2020,15.945,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam
DEBB065,PM10,2016,14.542,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig
DEBB065,PM10,2023,9.894,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig
DEBB054,PM10,2014,29.083,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam
DEBB029,PM10,2013,19.398,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder
DEBB029,PM10,2018,19.133,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder
DEBB029,PM10,2019,16.562,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder
DEBB044,PM10,2015,23.261,ug/m3,Traffic,Urban,BB,Cottbus,Cottbus
DEBB042,PM10,2014,26.202,ug/m3,Background,Suburban,BB,Frankfurt (Oder),Frankfurt (Oder)
DEBB048,PM10,2017,16.411,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin
DEBB048,PM10,2020,13.529,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin
DEBB048,PM10,2018,18.051,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin
DEBB064,PM10,2013,21.6,ug/m3,Background,Urban,BB,Cottbus,Cottbus
DEBB064,PM10,2015,18.635,ug/m3,Background,Urban,BB,Cottbus,Cottbus
DEBB007,PM10,2016,18.708,ug/m3,Background,Suburban,BB,Elbe-Elster,Elsterwerda
DEBB049,PM10,2016,18.659,ug/m3,Traffic,Urban,BB,Brandenburg an der Havel,Brandenburg an der Havel
DEBB049,PM10,2017,21.497,ug/m3,Traffic,Urban,BB,Brandenburg an der Havel,Brandenburg an der Havel
DEBB044,PM10,2015,21.217,ug/m3,Traffic,Urban,BB,Cottbus,Cottbus
DEBB044,PM10,2021,16.607,ug/m3,Traffic,Urban,BB,Cottbus,Cottbus
DEBB044,PM10,2022,18.879,ug/m3,Traffic,Urban,BB,Cottbus,Cottbus
DEBB044,PM10,2021,18.543,ug/m3,Traffic,Urban,BB,Cottbus,Cottbus
DEBB055,PM10,2025,9.591,ug/m3,Background,Suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel
DEBB064,PM10,2013,21.643,ug/m3,Background,Urban,BB,Cottbus,Cottbus
DEBB048,PM10,2022,16.011,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin
DEBB048,PM10,2023,12.47,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin
DEBB049,PM10,2019,18.288,ug/m3,Traffic,Urban,BB,Brandenburg an der Havel,Brandenburg an der Havel
DEBB049,PM10,2020,13.873,ug/m3,Traffic,Urban,BB,Brandenburg an der Havel,Brandenburg an der Havel
DEBB049,PM10,2024,18.272,ug/m3,Traffic,Urban,BB,Brandenburg an der Havel,Brandenburg an der Havel
DEBB066,PM10,2016,16.144,ug/m3,Background,Rural,BB,Dahme-Spreewald,Lieberose/Oberspreewald
DEBB053,PM10,2020,13.505,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz
DEBB053,PM10,2016,17.698,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz
DEBB067,PM10,2021,15.334,ug/m3,Background,Suburban,BB,Havelland,Nauen
DEBB064,PM10,2014,21.271,ug/m3,Background,Urban,BB,Cottbus,Cottbus
DEBB064,PM10,2021,15.331,ug/m3,Background,Urban,BB,Cottbus,Cottbus
DEBB064,PM10,2023,12.905,ug/m3,Background,Urban,BB,Cottbus,Cottbus
DEBB054,PM10,2015,22.667,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam
DEBB054,PM10,2016,21.167,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam
DEBB054,PM10,2017,20.267,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam
DEBB054,PM10,2018,21.291,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam
DEBB087,PM10,2014,25.305,ug/m3,Traffic,Urban,BB,Cottbus,Cottbus
DEBB055,PM10,2013,17.492,ug/m3,Background,Suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel
DEBB055,PM10,2017,16.295,ug/m3,Background,Suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel
DEBB055,PM10,2021,13.003,ug/m3,Background,Suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel
DEBB075,PM10,2020,12.365,ug/m3,Background,Suburban,BB,Potsdam,Potsdam
DEBB068,PM10,2024,18.151,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin
DEBB068,PM10,2025,15.136,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin
DEBB086,PM10,2018,21.028,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow
DEBB029,PM10,2020,12.95,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder
DEBB054,PM10,2015,27.592,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam
DEBB060,PM10,2021,14.861,ug/m3,Traffic,Urban,BB,Barnim,Eberswalde
DEBB073,PM10,2014,25.831,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam
DEBB073,PM10,2017,21.343,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam
DEBB092,PM10,2015,19.601,ug/m3,Background,Suburban,BB,Frankfurt (Oder),Frankfurt (Oder)
DEBB032,PM10,2014,21.425,ug/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt
DEBB032,PM10,2015,22.221,ug/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt
DEBB032,PM10,2025,10.659,ug/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt
