City,Year,Index
Simmerath,2016,0.20934439834024895
Muldestausee,2002,0.2196390041493776
Speyer,2001,0.24687551867219917
Limburg a.d. Lahn,2018,0.21109958506224066
Duderstadt,2010,0.1972323651452282
Eggenstein-Leopoldshafen,2006,0.23463070539419087
Rinteln,2002,0.22991089108910892
Burg,2015,0.19919087136929461
Ulm,2005,0.20143153526970956
Bad Kreuznach(Verbandsfreie Geme,2016,0.24440663900414938
Bautzen,2017,0.2723795379537954
Tauberbischofsheim,2007,0.23656016597510374
Friedrichshafen,2002,0.2232780082987552
Brandenburg an der Havel,2006,0.23217326732673269
Wesel,2007,0.24704290429042905
Löcknitz-Penkun,2003,0.2823465346534653
Elsterwerda,2011,0.26105445544554456
Simmerath,2020,0.2849727722772277
Wesel,2025,0.25214851485148515
Eggenstein-Leopoldshafen,2023,0.2995029702970297
Bad Kreuznach(Verbandsfreie Geme,2020,0.29175841584158413
Solling (Landkreis Northeim),2006,0.26985346534653465
Brandenburg an der Havel,2023,0.27309900990099006
Mühlhausen/Thüringen,2011,0.2517049504950495
Sonnenbühl,2011,0.20241908713692947
Bremen,2021,0.2220414937759336
Köln,2012,0.19916182572614108
Dreisamtal,2001,0.1966597510373444
Freudenstadt,2010,0.20516597510373444
Radebeul,2009,0.21223236514522822
Edertal,2016,0.21733609958506225
Solling (Landkreis Northeim),2023,0.19657676348547717
Staufen-Münstertal,2010,0.39957425742574254
Ansbach,2007,0.2255850622406639
Hanau,2003,0.20300414937759337
Wuppertal,2003,0.22512863070539418
Burghausen,2019,0.21441078838174274
Edertal,2020,0.23091584158415843
Glashütten,2006,0.1891831683168317
Prüm,2020,0.18893775933609958
Aschaffenburg,2012,0.21000414937759335
Nordhausen,2021,0.19987966804979254
Magdeburg,2024,0.2148712871287129
Weiden i.d. OPf.,2004,0.2271908713692946
Eggenstein-Leopoldshafen,2009,0.2413960396039604
Pirmasens,2014,0.2772673267326733
Berlin,1998,0.2026307053941909
Kenzingen-Herbolzheim,2001,0.2083811881188119
Dillenburg,2003,0.20828712871287128
Dallgow-Döberitz,2025,0.24212871287128712
Brandenburg an der Havel,2009,0.21241584158415838
Glashütten,2023,0.23038613861386134
Baden-Baden,2001,0.30234439834024895
Bergen auf Rügen,2016,0.21029045643153527
Freiburg im Breisgau,2010,0.2322655601659751
Cottbus,2024,0.19558091286307053
Osnabrück,2017,0.20585892116182575
Emden,2016,0.21834439834024896
Göttingen,2025,0.2202116182572614
Krefeld,2019,0.21530290456431533
Filderstadt,2024,0.19686721991701245
Hügelland/Täler,2004,0.23884232365145228
Neuruppin,2005,0.20875247524752474
Solling (Landkreis Northeim),2009,0.20210373443983404
Luckenwalde,2003,0.17743153526970956
Ulm,2002,0.21449377593360994
Solingen,2017,0.21517821782178218
Bergen auf Rügen,2020,0.2692871287128713
Ludwigshafen am Rhein,2012,0.18119087136929463
Kehl,2021,0.20692116182572615
Emden,2020,0.2551980198019802
Mainz,1998,0.21426732673267326
Augsburg,2010,0.19205394190871367
Bad Belzig,2021,0.25504950495049505
Trier,2019,0.24275247524752475
Dresden,2008,0.2497029702970297
Elsterwerda,2015,0.21652475247524752
Darmstadt,2022,0.20050495049504952
Harzgerode,2024,0.22112871287128713
Fürth,2007,0.2731782178217822
Senftenberg,2003,0.25180912863070537
Fürth,2025,0.2274356846473029
Wiesloch,1999,0.23939004149377593
Tübingen,2016,0.3303112033195021
Gärtringen/Ehningen,2022,0.2609709543568465
Konstanz,2012,0.24425311203319502
Schwerte,2021,0.26489211618257263
Güstrow-Land,2018,0.26436929460580916
Bebra,2015,0.25516597510373445
Nürnberg,2004,0.24141908713692947
Marburg,2022,0.24360580912863072
Hof,2006,0.2379460580912863
Rehlingen-Siersburg,2021,0.2716514522821577
Glashütten,2009,0.3083402489626556
Lüneburg,2005,0.23520746887966806
Torgau,2003,0.24889626556016597
Darmstadt,2013,0.2593941908713693
Wetzlar,2010,0.23798340248962654
Weil am Rhein,2010,0.23024896265560166
Berlin,2012,0.23775103734439834
Greiz,2005,0.2534149377593361
Tübingen,2020,0.2533692946058091
Emden,2013,0.22868464730290455
Gärtringen/Ehningen,2013,0.19368464730290455
Nidda,2004,0.28965560165975107
Bösel,2004,0.17887966804979252
