Air Quality Station EoI Code,Longitude,Latitude,geometry,state,district,town_city
DEBB045,14.5386,52.3373,POINT (14.5386 52.3373),Brandenburg,Frankfurt (Oder),Frankfurt (Oder)
DEBB054,13.0375,52.3939,POINT (13.0375 52.3939),Brandenburg,Potsdam,Potsdam
DEBB032,14.6382,52.1463,POINT (14.6382 52.1463),Brandenburg,Oder-Spree,Eisenhüttenstadt
DEBB086,13.4243,52.3497,POINT (13.4243 52.3497),Brandenburg,Teltow-Fläming,Blankenfelde-Mahlow
DEBB099,13.8483,52.4819,POINT (13.8483 52.4819),Brandenburg,Märkisch-Oderland,Rüdersdorf bei Berlin
DEBB110,13.0488,52.5395,POINT (13.0488 52.5395),Brandenburg,Havelland,Dallgow-Döberitz
DEBE065,13.4699,52.5141,POINT (13.4699 52.5141),Berlin,Berlin,Berlin
DEBB087,14.3255,51.7541,POINT (14.3255 51.7541),Brandenburg,Cottbus,Cottbus
DEBW019,9.979,48.3968,POINT (9.979 48.3968),Baden-Württemberg,Ulm,Ulm
DEBW080,8.3872,49.008,POINT (8.3872 49.008),Baden-Württemberg,Karlsruhe (Stadtkreis),Karlsruhe
DEBE061,13.3183,52.4636,POINT (13.3183 52.4636),Berlin,Berlin,Berlin
DEBW098,8.472,49.4926,POINT (8.472 49.4926),Baden-Württemberg,Mannheim,Mannheim
DEBW022,7.8023,48.5782,POINT (7.8023 48.5782),Baden-Württemberg,Ortenaukreis,Kehl
DEBW033,8.6655,48.889,POINT (8.6655 48.889),Baden-Württemberg,Pforzheim,Pforzheim
DEBW122,7.8599,47.9882,POINT (7.8599 47.9882),Baden-Württemberg,Freiburg im Breisgau,Freiburg im Breisgau
DEBW125,8.5263,49.0037,POINT (8.5263 49.0037),Baden-Württemberg,Karlsruhe,Pfinztal
DEBB112,13.6212,52.324,POINT (13.6212 52.324),Brandenburg,Dahme-Spreewald,Wildau
DEBW147,9.2108,48.4893,POINT (9.2108 48.4893),Baden-Württemberg,Reutlingen,Reutlingen
DEBW029,10.0963,48.8479,POINT (10.0963 48.8479),Baden-Württemberg,Ostalbkreis,Aalen
DEBW152,9.2259,49.146,POINT (9.2259 49.146),Baden-Württemberg,Heilbronn (Stadtkreis),Heilbronn
DEBW156,8.3906,48.2291,POINT (8.3906 48.2291),Baden-Württemberg,Rottweil,Schramberg
DEBY001,10.5723,49.3049,POINT (10.5723 49.3049),Bayern,Ansbach (Kreisfreie Stadt),Ansbach
DEBB088,12.3702,52.524,POINT (12.3702 52.524),Brandenburg,Havelland,Premnitz
DEBY028,11.8792,48.9095,POINT (11.8792 48.9095),Bayern,Kelheim,Kelheim
DEBY021,11.4288,48.7694,POINT (11.4288 48.7694),Bayern,Ingolstadt,Ingolstadt
DEBY035,9.6889,47.5575,POINT (9.6889 47.5575),Bayern,Lindau (Bodensee),Lindau (Bodensee)
DEBY063,12.1016,49.0152,POINT (12.1016 49.0152),Bayern,Regensburg (Kreisfreie Stadt),Regensburg
DEBE034,13.4308,52.4895,POINT (13.4308 52.4895),Berlin,Berlin,Berlin
DEBY037,11.5649,48.1373,POINT (11.5649 48.1373),Bayern,München (Kreisfreie Stadt),München
DEBY014,10.9593,50.2606,POINT (10.9593 50.2606),Bayern,Coburg (Kreisfreie Stadt),Coburg
DEBW099,9.1807,48.7831,POINT (9.1807 48.7831),Baden-Württemberg,Stuttgart,Stuttgart
DEBY006,10.895,48.3646,POINT (10.895 48.3646),Bayern,Augsburg (Kreisfreie Stadt),Augsburg
DEHB001,8.8158,53.0772,POINT (8.8158 53.0772),Bremen,Bremen,Bremen
DEBY009,10.8877,49.8983,POINT (10.8877 49.8983),Bayern,Bamberg (Kreisfreie Stadt),Bamberg
DEBY012,12.8293,48.1772,POINT (12.8293 48.1772),Bayern,Altötting,Burghausen
DEHB006,8.8252,53.0787,POINT (8.8252 53.0787),Bremen,Bremen,Bremen
DEHB012,8.7351,53.1317,POINT (8.7351 53.1317),Bremen,Bremen,Bremen
DEHB014,8.7756,53.0994,POINT (8.7756 53.0994),Bremen,Bremen,Bremen
DEHE001,8.6646,49.8723,POINT (8.6646 49.8723),Hessen,Darmstadt,Darmstadt
DEBY110,10.8962,48.3702,POINT (10.8962 48.3702),Bayern,Augsburg (Kreisfreie Stadt),Augsburg
DEBY120,11.0361,49.4405,POINT (11.0361 49.4405),Bayern,Nürnberg,Nürnberg
DEBY088,12.5382,48.0217,POINT (12.5382 48.0217),Bayern,Traunstein,Trostberg
DEBY119,9.9477,49.7905,POINT (9.9477 49.7905),Bayern,Würzburg (Kreisfreie Stadt),Würzburg
DEBY099,10.9031,48.326,POINT (10.9031 48.326),Bayern,Augsburg (Kreisfreie Stadt),Augsburg
DEBY043,11.5147,48.179,POINT (11.5147 48.179),Bayern,München (Kreisfreie Stadt),München
DEBY111,11.5701,49.9436,POINT (11.5701 49.9436),Bayern,Bayreuth (Kreisfreie Stadt),Bayreuth
DEBY115,11.5365,48.1496,POINT (11.5365 48.1496),Bayern,München (Kreisfreie Stadt),München
DEHE018,8.4515,50.0103,POINT (8.4515 50.0103),Hessen,Groß-Gerau,Raunheim
DEBY068,10.2321,50.0484,POINT (10.2321 50.0484),Bayern,Schweinfurt (Kreisfreie Stadt),Schweinfurt
DEBY039,11.5547,48.1545,POINT (11.5547 48.1545),Bayern,München (Kreisfreie Stadt),München
DEBY056,10.9847,49.4722,POINT (10.9847 49.4722),Bayern,Fürth (Kreisfreie Stadt),Fürth
DEHE041,8.6919,50.1246,POINT (8.6919 50.1246),Hessen,Frankfurt am Main,Frankfurt am Main
DEHB005,8.5694,53.5625,POINT (8.5694 53.5625),Bremen,Bremerhaven,Bremerhaven
DEBY198,11.4346,48.7426,POINT (11.4346 48.7426),Bayern,Ingolstadt,Ingolstadt
DEHH033,9.998,53.6383,POINT (9.998 53.6383),Hamburg,Hamburg,Hamburg
DEBY200,13.4694,48.5766,POINT (13.4694 48.5766),Bayern,Passau (Kreisfreie Stadt),Passau
DEBY075,12.1594,49.679,POINT (12.1594 49.679),Bayern,Weiden in der Oberpfalz,Weiden i.d. OPf.
DEHH068,10.0539,53.5923,POINT (10.0539 53.5923),Hamburg,Hamburg,Hamburg
DEHB013,8.6951,53.1177,POINT (8.6951 53.1177),Bremen,Bremen,Bremen
DEHE061,8.6686,50.5841,POINT (8.6686 50.5841),Hessen,Gießen,Gießen
DEHE062,8.7705,50.8072,POINT (8.7705 50.8072),Hessen,Marburg-Biedenkopf,Marburg
DEHE040,8.6538,49.8695,POINT (8.6538 49.8695),Hessen,Darmstadt,Darmstadt
DEBY053,11.0884,49.4459,POINT (11.0884 49.4459),Bayern,Nürnberg,Nürnberg
DEHE116,8.7849,50.1015,POINT (8.7849 50.1015),Hessen,Offenbach am Main,Offenbach am Main
DEBY032,11.4426,50.1031,POINT (11.4426 50.1031),Bayern,Kulmbach,Kulmbach
DEHE131,8.0599,50.3864,POINT (8.0599 50.3864),Hessen,Limburg-Weilburg,Limburg a.d. Lahn
DEHE135,8.5763,50.0755,POINT (8.5763 50.0755),Hessen,Frankfurt am Main,Frankfurt am Main
DEHE159,8.6349,50.173,POINT (8.6349 50.173),Hessen,Frankfurt am Main,Frankfurt am Main
DEHE037,8.2303,50.0772,POINT (8.2303 50.0772),Hessen,Wiesbaden,Wiesbaden
DEHE059,9.6849,50.55,POINT (9.6849 50.55),Hessen,Fulda,Fulda
DEBY118,13.422,48.5736,POINT (13.422 48.5736),Bayern,Passau (Kreisfreie Stadt),Passau
DEHE063,8.642,49.6432,POINT (8.642 49.6432),Hessen,Bergstraße,Heppenheim (Bergstraße)
DEHE042,8.6844,50.533,POINT (8.6844 50.533),Hessen,Gießen,Linden
DEHH059,9.9906,53.5079,POINT (9.9906 53.5079),Hamburg,Hamburg,Hamburg
DEHE049,9.4911,51.3121,POINT (9.4911 51.3121),Hessen,Kassel (Kreisfreie Stadt),Kassel
DEHE160,8.5659,49.965,POINT (8.5659 49.965),Hessen,Groß-Gerau,Mörfelden-Walldorf
DEBY067,12.1281,49.322,POINT (12.1281 49.322),Bayern,Schwandorf,Schwandorf
DEHH064,9.9446,53.5644,POINT (9.9446 53.5644),Hamburg,Hamburg,Hamburg
DENI048,9.7155,52.3595,POINT (9.7155 52.3595),Niedersachsen,Region Hannover,Hannover
DEHE094,8.8322,49.8278,POINT (8.8322 49.8278),Hessen,Darmstadt-Dieburg,Reinheim
DENI067,8.0415,52.2703,POINT (8.0415 52.2703),Niedersachsen,Osnabrück (Kreisfreie Stadt),Osnabrück
DENI070,10.4559,52.1537,POINT (10.4559 52.1537),Niedersachsen,Salzgitter,Salzgitter
DEMV022,12.0996,54.0926,POINT (12.0996 54.0926),Mecklenburg-Vorpommern,Rostock (Kreisfreie Stadt),Rostock
DEHH026,9.9572,53.5606,POINT (9.9572 53.5606),Hamburg,Hamburg,Hamburg
DEMV023,11.3983,53.6318,POINT (11.3983 53.6318),Mecklenburg-Vorpommern,Schwerin,Schwerin
DEMV004,12.0647,53.8178,POINT (12.0647 53.8178),Mecklenburg-Vorpommern,Rostock,Güstrow-Land
DEHE150,8.5945,50.1135,POINT (8.5945 50.1135),Hessen,Frankfurt am Main,Frankfurt am Main
DEMV058,13.2679,53.5588,POINT (13.2679 53.5588),Mecklenburg-Vorpommern,Mecklenburgische Seenplatte,Neubrandenburg
DEHH070,9.943,53.5557,POINT (9.943 53.5557),Hamburg,Hamburg,Hamburg
DENI075,10.5406,52.2667,POINT (10.5406 52.2667),Niedersachsen,Braunschweig,Braunschweig
DEMV025,13.081,54.3192,POINT (13.081 54.3192),Mecklenburg-Vorpommern,Vorpommern-Rügen,Stralsund
DEHH080,9.9879,53.5474,POINT (9.9879 53.5474),Hamburg,Hamburg,Hamburg
DENI066,9.9502,52.1508,POINT (9.9502 52.1508),Niedersachsen,Hildesheim,Hildesheim
DEMV059,11.3979,53.6305,POINT (11.3979 53.6305),Mecklenburg-Vorpommern,Schwerin,Schwerin
DENI071,10.4228,51.6137,POINT (10.4228 51.6137),Niedersachsen,Osterode am Harz,Bad Lauterberg im Harz
DENI157,10.7937,52.4279,POINT (10.7937 52.4279),Niedersachsen,Wolfsburg,Wolfsburg
DENI068,9.9283,51.5302,POINT (9.9283 51.5302),Niedersachsen,Göttingen,Göttingen
DENI143,8.2121,53.1428,POINT (8.2121 53.1428),Niedersachsen,Oldenburg (Kreisfreie Stadt),Oldenburg (Oldb)
DERP003,8.4259,49.4555,POINT (8.4259 49.4555),Rheinland-Pfalz,Ludwigshafen am Rhein,Ludwigshafen am Rhein
DERP007,8.2168,50.0176,POINT (8.2168 50.0176),Rheinland-Pfalz,Mainz,Mainz
