Air Quality Station EoI Code,Longitude,Latitude
DEBB045,14.5386,52.3373
DEBB054,13.0375,52.3939
DEBB032,14.6382,52.1463
DEBB086,13.4243,52.3497
DEBB099,13.8483,52.4819
DEBB110,13.0488,52.5395
DEBE065,13.4699,52.5141
DEBB087,14.3255,51.7541
DEBW019,9.979,48.3968
DEBW080,8.3872,49.008
DEBE061,13.3183,52.4636
DEBW098,8.472,49.4926
DEBW022,7.8023,48.5782
DEBW033,8.6655,48.889
DEBW122,7.8599,47.9882
DEBW125,8.5263,49.0037
DEBB112,13.6212,52.324
DEBW147,9.2108,48.4893
DEBW029,10.0963,48.8479
DEBW152,9.2259,49.146
DEBW156,8.3906,48.2291
DEBY001,10.5723,49.3049
DEBB088,12.3702,52.524
DEBY028,11.8792,48.9095
DEBY021,11.4288,48.7694
DEBY035,9.6889,47.5575
DEBY063,12.1016,49.0152
DEBE034,13.4308,52.4895
DEBY037,11.5649,48.1373
DEBY014,10.9593,50.2606
DEBW099,9.1807,48.7831
DEBY006,10.895,48.3646
DEHB001,8.8158,53.0772
DEBY009,10.8877,49.8983
DEBY012,12.8293,48.1772
DEHB006,8.8252,53.0787
DEHB012,8.7351,53.1317
DEHB014,8.7756,53.0994
DEHE001,8.6646,49.8723
DEBY110,10.8962,48.3702
DEBY120,11.0361,49.4405
DEBY088,12.5382,48.0217
DEBY119,9.9477,49.7905
DEBY099,10.9031,48.326
DEBY043,11.5147,48.179
DEBY111,11.5701,49.9436
DEBY115,11.5365,48.1496
DEHE018,8.4515,50.0103
DEBY068,10.2321,50.0484
DEBY039,11.5547,48.1545
DEBY056,10.9847,49.4722
DEHE041,8.6919,50.1246
DEHB005,8.5694,53.5625
DEBY198,11.4346,48.7426
DEHH033,9.998,53.6383
DEBY200,13.4694,48.5766
DEBY075,12.1594,49.679
DEHH068,10.0539,53.5923
DEHB013,8.6951,53.1177
DEHE061,8.6686,50.5841
DEHE062,8.7705,50.8072
DEHE040,8.6538,49.8695
DEBY053,11.0884,49.4459
DEHE116,8.7849,50.1015
DEBY032,11.4426,50.1031
DEHE131,8.0599,50.3864
DEHE135,8.5763,50.0755
DEHE159,8.6349,50.173
DEHE037,8.2303,50.0772
DEHE059,9.6849,50.55
DEBY118,13.422,48.5736
DEHE063,8.642,49.6432
DEHE042,8.6844,50.533
DEHH059,9.9906,53.5079
DEHE049,9.4911,51.3121
DEHE160,8.5659,49.965
DEBY067,12.1281,49.322
DEHH064,9.9446,53.5644
DENI048,9.7155,52.3595
DEHE094,8.8322,49.8278
DENI067,8.0415,52.2703
DENI070,10.4559,52.1537
DEMV022,12.0996,54.0926
DEHH026,9.9572,53.5606
DEMV023,11.3983,53.6318
DEMV004,12.0647,53.8178
DEHE150,8.5945,50.1135
DEMV058,13.2679,53.5588
DEHH070,9.943,53.5557
DENI075,10.5406,52.2667
DEMV025,13.081,54.3192
DEHH080,9.9879,53.5474
DENI066,9.9502,52.1508
DEMV059,11.3979,53.6305
DENI071,10.4228,51.6137
DENI157,10.7937,52.4279
DENI068,9.9283,51.5302
DENI143,8.2121,53.1428
DERP003,8.4259,49.4555
DERP007,8.2168,50.0176
DERP010,8.2611,50.001
DERP011,8.2658,50.0099
DERP012,8.2689,49.9991
DERP020,6.6467,49.7542
DERP021,7.4814,50.4247
DERP022,7.8662,49.8412
DERP023,8.3648,49.6288
DENI076,8.2175,53.1518
DERP009,8.274,49.995
DERP001,8.4023,49.515
DERP041,8.4439,49.4785
DESL017,6.8677,49.2543
DESL003,6.7335,49.3579
DERP002,8.4386,49.4823
DERP019,7.7673,49.446
DERP024,7.5966,50.3544
DESL020,7.0032,49.2307
DERP025,8.2535,49.0523
DESL012,6.9876,49.2335
DEST103,11.6327,52.1208
DEST105,11.8503,52.6021
DEST075,11.9834,51.4752
DEST108,11.961,51.1972
DETH072,10.6931,50.6115
DEST011,10.7901,51.8394
DEUB004,7.904,47.9129
DEST092,12.5983,51.8675
DEST015,12.3029,51.6512
DEUB030,13.0323,53.1423
DEST076,11.6234,52.132
DEUB044,10.9807,47.4144
DEST133,11.9839,51.4758
DETH020,11.0379,50.9795
DETH094,10.4658,51.2085
DENW058,6.8738,50.8762
DEST077,11.6115,52.1279
DETH025,10.4149,50.5715
DENW098,7.6184,51.9748
DENW100,6.4589,51.17
DENW060,6.9677,50.8266
DESN036,13.9357,50.959
DESH019,10.1156,54.3264
DESH022,9.4381,54.7814
DESH024,9.9808,54.0724
DESH026,10.691,53.8729
DEBB044,14.328,51.7566
DEST080,11.983,51.3873
DESN017,13.3468,50.9163
DEST097,11.5119,51.6259
DESL013,6.7536,49.3226
DETH039,11.3232,50.9794
DESN061,13.7414,51.0649
DETH043,11.0194,50.9849
DETH009,12.0749,50.8779
DESN047,12.493,50.72
DEST029,11.739,51.8035
DETH018,10.7914,51.4972
DESN001,12.9973,50.5709
DESN050,14.2543,51.4369
DENW094,6.0938,50.7547
DESN051,13.675,51.1195
DENW099,6.0959,50.7748
DENW053,6.8846,51.0193
DETH024,10.917,50.685
DENW050,6.8041,51.1035
DENW021,6.9769,51.526
DENW080,7.0526,51.1838
DENW023,7.2239,51.5276
DESH010,10.675,53.8667
DENW096,6.4256,51.1546
DEST031,12.0616,51.296
DETH041,11.5971,50.9335
DESN006,12.4931,51.125
DEST030,12.2514,51.8434
DEST002,11.8648,52.2684
DESH025,9.5118,53.928
DENW082,6.7825,51.2132
DENW040,6.763,51.3853
DENW113,7.3032,51.5806
DENW133,7.4636,51.3628
DENW042,6.6402,51.3377
DETH036,12.2052,50.6559
DENW043,7.0305,51.4512
DENW059,6.9851,50.8899
DESN014,13.7299,51.0512
DESN011,12.9173,50.8325
DENW101,7.4643,51.5196
DENW115,6.5574,51.3076
DEST044,11.0574,51.897
DENW071,6.7324,51.2492
DEST072,12.0045,51.4853
DEST073,12.2419,51.831
DESN060,12.9305,50.8464
DENW066,6.1958,51.3269
DENW068,8.148,51.5707
DENW056,6.9888,50.9693
DEST022,11.9784,51.4832
DEST014,12.3217,51.623
DEST068,12.3891,51.6294
DESN019,12.5421,50.826
DESN002,12.7023,50.5878
DENW072,6.8012,51.2507
DEST069,11.1739,52.8552
DEST070,11.1478,51.6572
DENW078,6.8199,51.3034
DESH027,10.1352,54.3047
DETH075,11.5786,50.9248
DENW067,8.5484,52.0232
DESN012,12.3376,51.5302
DENI074,9.367,52.104
DEST052,11.5114,51.6422
DEST071,11.3004,51.4784
DENW002,7.3314,51.6414
DESN005,12.3848,51.2003
DENW112,6.7719,51.4377
DESN025,12.3772,51.3442
DENW079,7.005,51.0289
DESN004,14.4438,51.1757
DESN075,12.1381,50.4861
DEST057,11.6426,52.1034
DENW024,6.981,51.4965
DENW143,6.551,50.9359
DEST090,12.0321,51.3214
DENW026,7.0928,51.4556
DEST074,11.9725,51.4378
DENW036,6.6482,51.4595
DESN034,13.3373,50.6616
DENW095,7.6116,51.9365
DENW034,6.7484,51.524
DEST066,12.6637,51.8709
DEST089,11.1723,52.5931
DESN059,12.2974,51.3179
DESN045,14.8228,50.8924
DETH031,10.6932,50.6115
DENW028,6.966,51.4065
DENW081,6.8745,51.862
DENW046,6.8556,51.2329
DENW077,7.4761,51.3609
DENW047,6.6939,51.1826
DEST028,12.1413,51.0546
DESN024,12.4687,50.3548
DEBE044,13.4089,52.5168
DEBW073,7.568,47.819
DEBW083,7.8549,47.9997
DEBE064,13.434,52.4817
DEBE066,13.5295,52.4853
DEBE067,13.333,52.5066
DEBE068,13.4188,52.5136
DEBE027,13.3681,52.3984
DEBE033,13.2599,52.5325
DEBW001,8.4184,49.0101
DEBW096,9.9801,48.393
DEBW006,8.478,49.4758
DEBW007,8.5258,49.432
DEBW038,9.4857,47.6601
DEBW009,8.6767,49.4195
DEBW039,8.4636,48.0487
DEBY052,10.0083,48.3971
DEBW026,9.4145,48.7087
DEBB030,12.3418,52.5316
DEBW034,9.3008,48.8321
DEBW042,9.2278,48.6781
DEBW035,9.0139,48.6911
DEBY061,13.4564,48.5722
DEBW041,7.7891,47.5631
DEBW016,9.2278,49.1991
DEBY077,9.9564,49.8047
DEBW047,8.7412,48.71
DEHE050,9.2712,51.3608
DEBW050,10.1563,48.6638
DEBY003,9.1508,49.9715
DEBB055,12.5523,52.4204
DEBW048,9.7225,48.2784
DENI028,10.2385,51.5076
DEBW049,7.8489,48.1191
DENI036,8.4755,53.4943
DENI038,8.0529,52.2553
DEBY020,11.8975,50.3206
DEBW024,9.1728,48.8992
DEBW025,9.334,48.7274
DEBB024,13.9995,51.5208
DENI054,9.7061,52.3629
DEBE010,13.3493,52.543
DEHE010,8.67,50.5876
DEBW053,9.693,49.2797
DEHH015,10.0212,53.5233
DEBY027,9.0067,50.0687
DEBW056,9.7332,49.1079
DEBB026,14.3757,51.559
DEBB029,14.2851,53.0643
DEBB006,14.3228,51.7408
DEBE026,13.2755,52.4092
DEBE032,13.2251,52.4732
DEBE011,13.396,52.5509
DEHE014,9.481,51.3401
DEBY089,11.648,48.1732
DEBY114,11.5923,48.1427
DEBE063,13.4417,52.4675
DEBW054,8.6199,48.1697
DEHH048,9.9427,53.5555
DEBE015,13.3391,52.519
DEBW065,9.6084,47.777
DEBE018,13.3488,52.4858
DEBW076,8.2202,48.7731
DEBW008,8.6559,49.5533
DEBW010,8.7001,49.3007
DEBW014,9.2655,48.7523
DEBW040,8.2231,47.618
DEHE005,8.5425,50.1018
DEBY033,12.1571,48.5398
DEBY031,10.3066,47.7251
DENI008,10.5246,52.2633
DEBB021,13.0599,52.4014
DEBW072,8.5828,49.1232
DEBW060,8.8077,47.9857
DENI016,10.4813,51.9016
DENI020,10.8164,52.4408
DEHE019,8.5788,49.5461
DEHE020,8.5006,50.5672
DEBW021,7.8271,48.5621
DENI042,9.9498,51.5511
DENI052,9.623,52.8294
DEBW011,9.1725,48.8256
DEHE011,8.9216,50.1358
DEHE013,9.4834,51.3142
DEBW046,9.8003,48.0899
