Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,State,District,City,Yearly Difference,Yearly Mean Difference,Normalized Difference
DEUB022,NO2,1991,12.035,ug/m3,Background,rural,13.9906,53.0301,BB,Uckermark,Angermünde,,0.9342689655172414,
DEUB022,NO2,1992,9.719,ug/m3,Background,rural,13.9906,53.0301,BB,Uckermark,Angermünde,-2.3160000000000007,-1.0975261707988981,2.1102002499987456
DEUB022,NO2,1993,11.214,ug/m3,Background,rural,13.9906,53.0301,BB,Uckermark,Angermünde,1.495000000000001,-0.7908950000000001,-1.890263562166913
DEUB022,NO2,1994,12.59,ug/m3,Background,rural,13.9906,53.0301,BB,Uckermark,Angermünde,1.3759999999999994,-1.157483606557377,-1.1887857350243953
DEUB022,NO2,1995,10.605,ug/m3,Background,rural,13.9906,53.0301,BB,Uckermark,Angermünde,-1.9849999999999994,0.1543577777777777,-12.859734239357339
DEUB022,NO2,1996,14.033,ug/m3,Background,rural,13.9906,53.0301,BB,Uckermark,Angermünde,3.427999999999999,0.7144365482233502,4.7981867788324895
DEUB022,NO2,1997,11.98,ug/m3,Background,rural,13.9906,53.0301,BB,Uckermark,Angermünde,-2.052999999999999,-0.11527164685908312,17.81010383680684
DEUB022,NO2,1998,12.655,ug/m3,Background,rural,13.9906,53.0301,BB,Uckermark,Angermünde,0.6749999999999989,-0.8097793851717903,-0.8335603651564943
DEUB022,NO2,1999,15.383,ug/m3,Background,rural,13.9906,53.0301,BB,Uckermark,Angermünde,2.7279999999999998,-0.7536177924217464,-3.6198720723320337
DEBB065,NO2,2003,13.801,ug/m3,Background,rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,,1.3405232323232323,
DEBB069,NO2,2004,27.449,ug/m3,Traffic,urban,12.5892,52.1421,BB,Potsdam-Mittelmark,Bad Belzig,13.648000000000001,-1.5027035490605427,-9.082297042908051
DEBB065,NO2,2004,8.708,ug/m3,Background,rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-18.741,-1.5027035490605427,12.471521752721262
DEBB069,NO2,2005,29.095,ug/m3,Traffic,urban,12.5892,52.1421,BB,Potsdam-Mittelmark,Bad Belzig,20.387,0.6459007633587787,31.563672248945196
DEBB065,NO2,2005,8.815,ug/m3,Background,rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-20.28,0.6459007633587787,-31.39801212579627
DEBB069,NO2,2006,28.449,ug/m3,Traffic,urban,12.5892,52.1421,BB,Potsdam-Mittelmark,Bad Belzig,19.634,0.8364034090909092,23.474318476702873
DEBB065,NO2,2006,13.023,ug/m3,Background,rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-15.426000000000002,0.8364034090909092,-18.443253377896433
DEBB069,NO2,2007,8.794,ug/m3,Traffic,urban,12.5892,52.1421,BB,Potsdam-Mittelmark,Bad Belzig,-4.228999999999999,-0.7747332015810277,5.458653367855821
DEBB065,NO2,2007,10.091,ug/m3,Background,rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,1.2969999999999988,-0.7747332015810277,-1.6741247146155107
DEBB065,NO2,2008,7.77,ug/m3,Background,rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-2.3209999999999997,-0.079443579766537,29.21570260077385
DEBB065,NO2,2009,7.928,ug/m3,Background,rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,0.15800000000000036,0.6680853658536585,0.23649672343610298
DEBB065,NO2,2010,9.657,ug/m3,Background,rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,1.729,0.352208395802099,4.909025510486414
DEBB065,NO2,2011,8.86,ug/m3,Background,rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-0.7970000000000006,-0.683602825745683,1.1658816640066145
DEBB065,NO2,2012,8.658,ug/m3,Background,rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-0.20199999999999996,-0.5621236476043275,0.3593515427804693
DEBB065,NO2,2013,8.26,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-0.3979999999999997,-0.32974,1.20701158488506
DEBB065,NO2,2014,7.26,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-1.0,-0.3822794117647059,2.615887670705905
DEBB065,NO2,2015,6.67,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-0.5899999999999999,-0.4012747252747253,1.4703143827363343
DEBB065,NO2,2016,7.117,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,0.44700000000000006,-0.16673524150268335,-2.6808969475886495
DEBB065,NO2,2017,6.569,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-0.548,-1.1344442446043168,0.4830559127135747
DEBB065,NO2,2018,7.357,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,0.7880000000000003,-0.18402233676975938,-4.282088869384976
DEBB065,NO2,2019,6.784,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-0.5730000000000004,-1.1148950715421304,0.5139497111664714
DEBB065,NO2,2020,5.957,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-0.827,-1.55124882629108,0.5331188562297224
DEBB065,NO2,2021,5.978,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,0.020999999999999908,-0.16980398162327712,-0.12367201168810037
DEBB065,NO2,2022,5.969,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-0.008999999999999453,-0.18509020217729394,0.0486249401325876
DEBB065,NO2,2023,3.936,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-2.0330000000000004,-1.092686591276252,1.8605517961243283
DEBB065,NO2,2024,4.462,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,0.5259999999999998,-0.477192842942346,-1.102279734031029
DEBB065,NO2,2025,4.699,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,0.2370000000000001,1.655818407960199,0.14313163741908158
DEBB039,NO2,1997,22.195,ug/m3,Background,suburban,13.5821,52.6805,BB,Barnim,Bernau bei Berlin,,-0.11527164685908312,
DEBB039,NO2,1998,25.987,ug/m3,Background,suburban,13.5821,52.6805,BB,Barnim,Bernau bei Berlin,3.791999999999998,-0.8097793851717903,-4.6827568958124886
DEBB050,NO2,1999,17.872,ug/m3,Background,suburban,13.5838,52.6842,BB,Barnim,Bernau bei Berlin,-8.114999999999998,-0.7536177924217464,10.768057869125531
DEBB050,NO2,2000,16.435,ug/m3,Background,suburban,13.5838,52.6842,BB,Barnim,Bernau bei Berlin,-1.4370000000000012,-0.9063713163064833,1.585442935083009
DEBB050,NO2,2001,14.619,ug/m3,Background,suburban,13.5838,52.6842,BB,Barnim,Bernau bei Berlin,-1.815999999999999,-0.17605811965811963,10.31477561799716
DEBB050,NO2,2002,15.203,ug/m3,Background,suburban,13.5838,52.6842,BB,Barnim,Bernau bei Berlin,0.5839999999999996,0.11708754863813228,4.987720784939266
DEBB050,NO2,2003,19.857,ug/m3,Background,suburban,13.5838,52.6842,BB,Barnim,Bernau bei Berlin,4.654,1.3405232323232323,3.471778696393237
DEBB050,NO2,2004,20.352,ug/m3,Background,suburban,13.5838,52.6842,BB,Barnim,Bernau bei Berlin,0.495000000000001,-1.5027035490605427,-0.3294062892907015
DEBB050,NO2,2005,18.021,ug/m3,Background,suburban,13.5838,52.6842,BB,Barnim,Bernau bei Berlin,-2.3309999999999995,0.6459007633587787,-3.6089135239265824
DEBB050,NO2,2006,20.742,ug/m3,Background,suburban,13.5838,52.6842,BB,Barnim,Bernau bei Berlin,2.721,0.8364034090909092,3.2532148607063522
DEBB068,NO2,2006,37.329,ug/m3,Traffic,urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,16.587,0.8364034090909092,19.8313395422772
DEBB068,NO2,2007,28.641,ug/m3,Traffic,urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,-8.688000000000002,-0.7747332015810277,11.214183130747552
DEBB050,NO2,2007,15.383,ug/m3,Background,suburban,13.5838,52.6842,BB,Barnim,Bernau bei Berlin,-13.258,-0.7747332015810277,17.112988023417472
DEBB068,NO2,2008,27.589,ug/m3,Traffic,urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,12.206,-0.079443579766537,-153.64363030807652
DEBB050,NO2,2008,16.208,ug/m3,Background,suburban,13.5838,52.6842,BB,Barnim,Bernau bei Berlin,-11.381,-0.079443579766537,143.2589018954792
DEBB068,NO2,2009,27.134,ug/m3,Traffic,urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,10.926000000000002,0.6680853658536585,16.354197470018075
DEBB050,NO2,2009,16.4,ug/m3,Background,suburban,13.5838,52.6842,BB,Barnim,Bernau bei Berlin,-10.734000000000002,0.6680853658536585,-16.06680904660205
DEBB068,NO2,2010,28.593,ug/m3,Traffic,urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,12.193000000000001,0.352208395802099,34.61870910894208
DEBB050,NO2,2010,19.483,ug/m3,Background,suburban,13.5838,52.6842,BB,Barnim,Bernau bei Berlin,-9.11,0.352208395802099,-25.865368652707478
DEBB068,NO2,2011,28.51,ug/m3,Traffic,urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,9.027000000000001,-0.683602825745683,-13.205036111653328
DEBB068,NO2,2012,24.375,ug/m3,Traffic,urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,-4.135000000000002,-0.5621236476043275,7.356032818798225
DEBB068,NO2,2013,25.125,ug/m3,Traffic,Urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,0.75,-0.32974,-2.2745193182507433
DEBB068,NO2,2014,26.808,ug/m3,Traffic,Urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,1.6829999999999998,-0.3822794117647059,-4.402538949798037
DEBB068,NO2,2015,28.23,ug/m3,Traffic,Urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,1.4220000000000006,-0.4012747252747253,-3.5437068682221504
DEBB068,NO2,2016,26.755,ug/m3,Traffic,Urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,-1.4750000000000014,-0.16673524150268335,8.846360173810428
DEBB068,NO2,2017,24.148,ug/m3,Traffic,Urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,-2.6069999999999993,-1.1344442446043168,2.2980415409567314
DEBB068,NO2,2018,23.78,ug/m3,Traffic,Urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,-0.36799999999999855,-0.18402233676975938,1.9997572384944982
DEBB068,NO2,2019,22.654,ug/m3,Traffic,Urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,-1.1260000000000012,-1.1148950715421304,1.0099605144388255
DEBB068,NO2,2020,20.078,ug/m3,Traffic,Urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,-2.5760000000000005,-1.55124882629108,1.66059754975546
DEBB068,NO2,2021,19.234,ug/m3,Traffic,Urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,-0.8439999999999976,-0.16980398162327712,4.970437041178899
DEBB068,NO2,2022,18.451,ug/m3,Traffic,Urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,-0.7830000000000013,-0.18509020217729394,4.230369791535385
DEBB068,NO2,2023,16.377,ug/m3,Traffic,Urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,-2.0740000000000016,-1.092686591276252,1.8980739917175893
DEBB068,NO2,2024,14.855,ug/m3,Traffic,Urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,-1.5219999999999985,-0.477192842942346,3.1894862266068924
DEBB068,NO2,2025,15.547,ug/m3,Traffic,Urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,0.6920000000000002,1.655818407960199,0.4179202240253352
DEBB086,NO2,2010,17.17,ug/m3,Background,suburban,13.4243,52.3497,BB,Teltow-Fläming,Blankenfelde-Mahlow,,0.352208395802099,
