Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,State,District,City,Yearly Difference,Yearly Mean Difference,Normalized Difference
DEBB065,PM2.5,2014,13.194,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,,0.06082446808510636,
DEBB065,PM2.5,2014,12.911,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-0.28300000000000125,0.06082446808510636,-4.652732837778772
DEBB065,PM2.5,2016,10.942,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-1.9689999999999994,-0.3780966183574879,5.207663608718982
DEBB065,PM2.5,2017,11.113,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,0.17099999999999937,-0.13064018691588775,-1.308938727331255
DEBB065,PM2.5,2017,9.712,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-1.4009999999999998,-0.13064018691588775,10.724112029187689
DEBB065,PM2.5,2018,11.969,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,2.2569999999999997,0.39106666666666656,5.771394476645074
DEBB065,PM2.5,2019,9.542,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-2.4269999999999996,-1.4410343347639487,1.6842069209943973
DEBB065,PM2.5,2019,8.4,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-1.1419999999999995,-1.4410343347639487,0.7924863221160284
DEBB065,PM2.5,2020,8.028,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-0.3719999999999999,-0.7710038167938932,0.4824878838433091
DEBB065,PM2.5,2021,8.407,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,0.37899999999999956,0.1843343949044586,2.0560460254660398
DEBB065,PM2.5,2021,8.849,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,0.44200000000000017,0.1843343949044586,2.39781620911871
